n_ingroup_kept	outgroup_used	stem_len_inferred	stem_fraction	crown_fraction	target_type	target_label	L_backbone	position_bound	dropped_n	crown_target	T_target	backbone_index
106	Stenamma_alas	0.0259736384047779	0.211644598416174	0.788355401583826	clade	Bazboltonia,Gnamptogenys	0.143961	1.43961e-07	12	0.752575104115898	0.954614001	1
601	Proceratium_google	0.0199862500342763	0.117556036127685	0.882443963872315	clade	Platythyrea,Leptogenys	0.127997	0.00181670027632402	55	0.947182701276324	1.073363001	1
121	Pheidole_longispinosa	0	1e-08	0.99999999	clade	Rostromyrmex,Leptothorax	0.04498206502	0.044982020037935	64	0.60891899492281	0.608919001012	1
22	NA	0	1e-08	0.99999999	tip	Acropyga	0.2619890006	0.261988738610999	NA	NA	NA	1
110	NA	0	1e-08	0.99999999	tip	Camponotus	0.1788240006	0.178823821775999	NA	NA	NA	1
16	NA	0	1e-08	0.99999999	tip	Colobopsis	0.3514710006	0.351470649128999	NA	NA	NA	1
65	NA	0	1e-08	0.99999999	tip	Cephalotes	0.3021820006	0.302181698417999	NA	NA	NA	1
108	Metapone_madagascarica	0.0611684433270887	0.61620627394224	0.38379372605776	clade	Crematogaster_macracantha,Crematogaster_kelleri	0.201052279841129	2.01052279841129e-07	16	0.158674563147557	0.413437094914044	1
31	Crematogaster_lotti	0.00397855971746385	0.381722138326026	0.618277861673974	clade	Crematogaster_scutellaris,Crematogaster_pilosa	0.0343745940797757	3.43745940797757e-08	8	0.0682285199862901	0.110352519822662	1
30	NA	0	1e-08	0.99999999	tip	Dorymyrmex	0.3165890006	0.316588684010999	NA	NA	NA	1
80	NA	0	1e-08	0.99999999	tip	Formica	0.1529880006	0.152987847611999	NA	NA	NA	1
21	NA	0	1e-08	0.99999999	tip	Lasius	0.1316660006	0.131665868934	NA	NA	NA	1
49	NA	0	1e-08	0.99999999	tip	Messor	0.2869820006	0.286981713617999	NA	NA	NA	1
62	NA	0	1e-08	0.99999999	tip	Myrmecia	0.4397800006	0.439779560819999	NA	NA	NA	1
68	NA	0	1e-08	0.99999999	tip	Myrmica	0.2164580006	0.216457784141999	NA	NA	NA	1
36	NA	0	1e-08	0.99999999	tip	Nylanderia	0.3315670006	0.331566669032999	NA	NA	NA	1
241	NA	0	1e-08	0.99999999	tip	Pheidole	0.4765630006	0.476562524036999	NA	NA	NA	1
81	NA	0	1e-08	0.99999999	tip	Polyrhachis	0.2514180006	0.251417749181999	NA	NA	NA	1
100	NA	0	1e-08	0.99999999	tip	Pseudomyrmex	0.4373400006	0.437339563259999	NA	NA	NA	1
35	NA	0	1e-08	0.99999999	tip	Stenamma	0.4328000006	0.432799567799999	NA	NA	NA	1
115	NA	0	1e-08	0.99999999	tip	Strumigenys	0.3582020006	0.358201642397999	NA	NA	NA	1
