n_ingroup_kept	outgroup_used	stem_len_inferred	stem_fraction	crown_fraction	target_type	target_label	L_backbone	position_bound	backbone_index
22	Formicinae_genus_01_ZA02	0.322158088059268	0.322158088059268	0.677841911940732	tip	Acropyga	0.2619890006	0.177587125074146	1
16	Aenictogiton_UG_M189	0.734190551731895	0.734190551731895	0.265809448268105	tip	Aenictus	0.5084050006	0.135138852706232	1
51	Odontomachus_fulgidus_EX2667_MCZ-ENT00760009	0.235020452936065	0.235020452936065	0.764979547063935	tip	Anochetus	0.2622000006	0.200577637699152	1
110	Overbeckia_my01_D2498	0.170426959624931	0.170426959624931	0.829573040375069	tip	Camponotus	0.1788240006	0.148347569869775	1
65	Procryptocerus_scabriusculus_JSC229A	0.579190216046052	0.579190216046052	0.420809783953948	tip	Cephalotes	0.3021820006	0.127161142387258	1
16	Lathidris_montivagus_nr_D2826	0.341514709263256	0.341514709263256	0.658485290736744	tip	Colobopsis	0.3514710006	0.231438484015625	1
108	Metapone_madagascarica	0.0611684433270887	0.61620627394224	0.38379372605776	tip	Crematogaster	0.4026830006	0.154547209220393	1
8	Austroponera_castanea_EX2322_CASENT0618835	0.82543083499591	0.82543083499591	0.17456916500409	tip	Diacamma	0.5278270006	0.0921423187613551	1
10	Aenictogiton_UG_M189	0.757895647278555	0.757895647278555	0.242104352721445	tip	Dorylus	0.3571980006	0.0864791907286575	1
30	Forelius_damiani_D3046	0.316166662530728	0.316166662530728	0.683833337469272	tip	Dorymyrmex	0.3165890006	0.216494112886359	1
11	Rhytidoponera_victoriae_RHY08	0.667036517788084	0.667036517788084	0.332963482211916	tip	Ectatomma	0.4157380006	0.138425572367596	1
80	Iberoformica_subrufa_D1135	0.429721423558056	0.429721423558056	0.570278576441944	tip	Formica	0.1529880006	0.0872457791948672	1
17	Typhlomyrmex_reichenspergeri_GAB79	0.234610968796333	0.234610968796333	0.765389031203667	tip	Gnamptogenys	0.3732180006	0.285656963907004	1
13	Acanthoponera_minor_MIN01	0.045715080764438	0.045715080764438	0.954284919235562	tip	Heteroponera	0.1282463142	0.122383523588605	1
18	Alfaria_minuta_GAB122	0.337212136895414	0.337212136895414	0.662787863104586	tip	Holcoponera	0.0416427056099999	0.0276002798651452	1
46	Psalidomyrmex_reichenspergeri_EX2350_CASENT0639782	0.398590336204174	0.398590336204174	0.601409663795826	tip	Hypoponera	0.5157480006	0.310175831644216	1
21	Myrmecocystus_mexicanus	0.0977426870615368	0.0977426870615368	0.902257312938463	tip	Lasius	0.1316660006	0.11879661190671	1
112	Myopias_my05_EX2994_CASENT0386216	0.170193110160035	0.170193110160035	0.829806889839965	tip	Leptogenys	0.3188850006	0.264612970564501	1
7	Parasyscia_MG_M212	0.679458630910978	0.679458630910978	0.320541369089022	tip	Lioponera	0.4184810006	0.134140472870068	1
49	Aphaenogaster_leveillei	0.179884997712882	0.179884997712882	0.820115002287118	tip	Messor	0.2869820006	0.235358244078431	1
62	Nothomyrmecia__9893	0.576809274319648	0.576809274319648	0.423190725680352	tip	Myrmecia	0.4397800006	0.186110817593619	1
36	Paratrechina_longicornis_Ny072	0.495950240493917	0.495950240493917	0.504049759506083	tip	Nylanderia	0.3315670006	0.167126266912583	1
41	Anochetus_altisquamis_EX2914_CASENT0381057	0.17163181202621	0.17163181202621	0.82836818797379	tip	Odontomachus	0.2622000006	0.217198139383749	1
241	Cephalotes_setulifer_CASENT0283451	0.54609372463709	0.54609372463709	0.45390627536291	tip	Pheidole	0.4765630006	0.216314936578118	1
81	Camponotous_sp_CSM0644_AU_QL_7	0.542653516807185	0.443889869213098	0.556110130786902	tip	Polyrhachis	0.2514180006	0.139816097195847	1
7	Holcoponera_gracilis_GAB196	0.628446230321099	0.628446230321099	0.371553769678901	tip	Poneracantha	0.1971087225	0.0732364888814674	1
100	Myrcidris_epicharis	0.423713211861256	0.423713211861256	0.576286788138744	tip	Pseudomyrmex	0.4373400006	0.25203326427037	1
19	Ectatomma_tuberculatum_ECTA07	0.58694747502503	0.58694747502503	0.41305252497497	tip	Rhytidoponera	0.4157380006	0.171721630875876	1
35	Aphaenogaster_honduriana_EX388	0.104982728872726	0.104982728872726	0.895017271127274	tip	Stenamma	0.4328000006	0.387363475480895	1
9	Gnamptogenys_volcano_EX1409	0.704892414529465	0.704892414529465	0.295107585470535	tip	Stictoponera	0.4997643152	0.147484240363008	1
115	Pilotrochus_besmerus	0.484183706682105	0.484183706682105	0.515816293317895	tip	Strumigenys	0.3582020006	0.184766428208546	1
80	Harpagoxenus_sublaevis_D1116	0.476122086262485	0.476122086262484	0.523877913737516	tip	Temnothorax	0.3604670006	0.188840700245548	1
5	Gnamptogenys_volcano_EX1409	0.12232821462395	0.12232821462395	0.87767178537605	tip	Typhlomyrmex	0.3732180006	0.327562908921082	1
