step	function_raw	new_label	pre_dropped	sister_input	shape1	shape2	min_frac	max_frac	include_terminal	include_stem	edge_index	edge_length	chosen_frac	position_from_child	attach_age	where_node	new_tip_length	tree_depth	edge_type	reference	doi
1	graft sister to clade	Poneracantha	FALSE	Gnamptogenys,Typhlomyrmex	1	1	0.1	0.9	NA	NA	259	0.129201	0.809037270955741	0.104528424444753	0.794669575555247	410	0.477746424444753	1.272416	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
2	graft sister to tip	Alfaria	FALSE	Poneracantha	1	1	0.1	0.9	NA	NA	263	0.4777464244	0.412580213695764	0.197108721871339	1.07530727808866	130	0.19710872191134	1.272416	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
3	graft sister to tip	Holcoponera	FALSE	Alfaria	1	1	0.1	0.9	NA	NA	265	0.1971087219	0.211267693154514	0.0416427049764476	1.23077329498355	131	0.0416427050164478	1.272416	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
4	graft sister to clade	Stictoponera	FALSE	Alfaria,Gnamptogenys	1	1	0.1	0.9	NA	NA	259	0.02467257556	0.892403394915163	0.0220178901910449	0.772651685368955	413	0.499764314631045	1.272416	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
5	graft sister to clade	Bazboltonia	FALSE	Acanthoponera,Heteroponera	1	1	0.1	0.9	NA	NA	252	0.439067	0.367132993414998	0.161195982019743	0.739634017980257	411	0.532781982019743	1.272416	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
6	graft sister to tip	Aulacopone	FALSE	Heteroponera	1	1	0.1	0.9	NA	NA	255	0.371583	0.345126966573298	0.128243313620206	1.14416968637979	125	0.128246313620206	1.272416	NA	Taylor (1980)	NA
7	graft sister to tip	Uwari	FALSE	Opisthopsis	1	1	0.1	0.9	NA	NA	305	0.329607	0.673813133127987	0.222093525370917	1.05032047462908	148	0.222095525370917	1.272416	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
8	graft sister to tip	Overbeckia	FALSE	Calomyrmex	1	1	0.1	0.9	NA	NA	313	0.0893900000000001	0.666147327795625	0.0595469096316509	1.21286509036835	151	0.0595509096316513	1.272416	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
9	graft sister to clade	Lathidris	FALSE	Dinomyrmex,Calomyrmex	1	1	0.1	0.9	NA	NA	308	0.031839	0.671021372266114	0.0213646494715808	0.953281350528419	445	0.319134649471581	1.272416	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
10	graft sister to clade	Retalimyrma	FALSE	Camponotus,Calomyrmex	1	1	0.1	0.9	NA	NA	312	0.072594	0.750621768273413	0.0544906366460402	1.03910136335396	449	0.23331463667604	1.27241600003	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
11	graft sister to tip	Alloformica	FALSE	Proformica	1	1	0.1	0.9	NA	NA	355	0.174589	0.64671003613621	0.112908458498985	1.15950554150102	175	0.112910458548985	1.27241600005	NA	Agosti (1994)	NA
12	graft sister to clade	Metalasius	FALSE	Paraparatrechina,Paratrechina	1	1	0.1	0.9	NA	NA	281	0.106526	0.772763197682798	0.0823193723963577	0.824522627603642	433	0.447893372446358	1.27241600005	NA	Boudinot et al (2022)	https://doi.org/10.1111/syen.12522
13	graft within clade random	Bregmatomyrma	FALSE	Anoplolepis,Lepisiota	1	1	0.1	0.9	TRUE	TRUE	344	0.321848	0.251521158032119	0.0809515816703216	1.19146241832968	169	0.0809535817203217	1.27241600005	terminal	Bolton (2003)	NA
14	graft sister to tip	Chronoxenus	FALSE	Bothriomyrmex	1	1	0.1	0.9	NA	NA	424	0.55196	0.168273467198014	0.0928802229546159	1.17953377704538	211	0.0928822230046162	1.27241600005	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
15	graft sister to clade	Arnoldius	FALSE	Bothriomyrmex,Chronoxenus	1	1	0.1	0.9	NA	NA	424	0.459079777	0.863383789360523	0.396362037485044	0.783171739514956	506	0.489244260535044	1.27241600005	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
16	graft sister to clade	Loweriella	FALSE	Arnoldius,Chronoxenus	1	1	0.1	0.9	NA	NA	424	0.06271773951	0.687850662507117	0.0431404386729023	0.740031300837098	507	0.532384699212902	1.27241600005	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
17	graft sister to tip	Ravavy	FALSE	Loweriella	1	1	0.1	0.9	NA	NA	430	0.5323846992	0.494154503941536	0.26308029693924	1.00933570310076	214	0.26308029694924	1.27241600005	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
18	graft sister to tip	Aptinoma	FALSE	Tapinoma	1	1	0.1	0.9	NA	NA	436	0.398057	0.292263491638005	0.116337528690949	1.15607747130905	217	0.11633852874095	1.27241600005	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
19	graft sister to tip	Nebothriomyrmex	FALSE	Anonychomyrma	1	1	0.1	0.9	NA	NA	406	0.212456	0.692952145077288	0.14722184093454	1.12519215906546	199	0.147223840984541	1.27241600005	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
20	graft sister to clade	Doleromyrma	FALSE	Anonychomyrma,Nebothriomyrmex	1	1	0.1	0.9	NA	NA	406	0.0652341590700001	0.25411812774837	0.0165771823681078	1.10861497670189	505	0.163801023368108	1.27241600007	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
21	graft within clade random	Ecphorella	FALSE	Tapinoma,Technomyrmex	1	1	0.1	0.9	TRUE	TRUE	440	0.2817194713	0.650540554337203	0.183269941027086	0.972807530272914	520	0.299608469827086	1.2724160001	internal	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
22	graft within clade random	Anillidris	FALSE	Leptomyrmex,Froggattella	1	1	0.1	0.9	TRUE	TRUE	425	0.316587	0.498402021639049	0.157787600824642	1.11462639917536	210	0.157789600924642	1.2724160001	terminal	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
23	graft sister to tip	Ankylomyrma	FALSE	Tatuidris	1	1	0.4	0.6	NA	NA	588	0.95433	0.503001752169803	0.480029662148208	0.792382337851792	294	0.480033662248208	1.2724160001	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
24	graft sister to tip	Belonopelta	FALSE	Thaumatomyrmex	1	1	0.1	0.9	NA	NA	565	0.468677	0.287632169947028	0.134806582514263	1.13760541748574	282	0.134810582614263	1.2724160001	NA	Fisher et al (2025)	NA
25	graft sister to tip	Wadeura	FALSE	Parvaponera	1	1	0.1	0.9	NA	NA	550	0.259152	0.652250718511641	0.169032078203729	1.10338192179627	273	0.169034078303729	1.2724160001	NA	Fisher et al (2025)	NA
26	graft sister to clade	Sritoponera	FALSE	Parvaponera,Wadeura	1	1	0.1	0.9	NA	NA	550	0.0901199217999999	0.496363270282745	0.0447322191022733	1.05864970269773	581	0.213766297402274	1.2724160001	NA	Fisher et al (2025)	NA
27	graft sister to clade	Austroponera	FALSE	Pseudoponera,Sritoponera	1	1	0.1	0.9	NA	NA	549	0.14875	0.496853209473193	0.0739069149091374	0.939355085090862	581	0.333060915009138	1.2724160001	NA	Fisher et al (2025)	NA
28	graft sister to clade	Emeryopone	FALSE	Cryptopone,Wadeura	1	1	0.1	0.9	NA	NA	544	0.0710999999999999	0.299039842374623	0.0212617327928357	0.794427267207164	579	0.477988732892836	1.2724160001	NA	Fisher et al (2025)	NA
29	graft sister to clade	Ponera	TRUE	Emeryopone,Wadeura	1	1	0.1	0.9	NA	NA	544	0.04983826721	0.221286071650684	0.011028514368778	0.783398752841222	579	0.489017247268778	1.27241600011	NA	Fisher et al (2025)	NA
30	graft sister to tip	Boloponera	FALSE	Plectroctena	1	1	0.1	0.9	NA	NA	538	0.316383	0.866514179855585	0.27415035576525	0.99826364423475	267	0.27415235590525	1.27241600014	NA	Fisher et al (2025)	NA
31	graft sister to clade	Loboponera	FALSE	Boloponera,Plectroctena	1	1	0.1	0.9	NA	NA	538	0.0422326442299999	0.889000048674643	0.0375448227761288	0.960718821453871	579	0.311697178686129	1.27241600014	NA	Fisher et al (2025)	NA
32	graft sister to clade	NewGenus	FALSE	Odontomachus,Leptogenys	1	1	0.1	0.9	NA	NA	508	0.119002	0.334804306179285	0.0398423820439473	0.735005617956053	564	0.537410382197947	1.272416000154	NA	Fisher et al (2025)	NA
33	graft sister to tip	Ophthalmopone	FALSE	Megaponera	1	1	0.1	0.9	NA	NA	520	0.430636	0.493161947466433	0.212373288409155	1.06003971159085	257	0.212376288569155	1.27241600016	NA	Fisher et al (2025)	NA
34	graft sister to tip	Buniapone	FALSE	Paltothyreus	1	1	0.1	0.9	NA	NA	513	0.461301	0.448344128020108	0.206821594599804	1.0655924054002	253	0.206823594799804	1.2724160002	NA	Fisher et al (2025)	NA
35	graft sister to tip	Promyopias	FALSE	Buniapone	1	1	0.1	0.9	NA	NA	515	0.2068235948	0.185730894654989	0.038413531297965	1.23400246890203	254	0.0384135312979652	1.2724160002	NA	Fisher et al (2025)	NA
36	graft sister to clade	Asphinctopone	FALSE	Buniapone,Paltothyreus	1	1	0.1	0.9	NA	NA	513	0.2544794054	0.273503117077053	0.0696009106088149	0.995991494791185	573	0.276424505408815	1.2724160002	NA	Fisher et al (2025)	NA
37	graft sister to tip	Corrieopone	FALSE	Asphinctopone	1	1	0.1	0.9	NA	NA	519	0.2764245054	0.484648015350103	0.133968587936244	1.13844741226376	256	0.133968587946244	1.27241600021	NA	Fisher et al (2025)	NA
38	graft sister to clade	Subiridopone	FALSE	Asphinctopone,Corrieopone	1	1	0.1	0.9	NA	NA	519	0.1424559175	0.843958002142608	0.120226811526692	1.01822060077331	578	0.254195399436692	1.27241600021	NA	Fisher et al (2025)	NA
39	graft sister to tip	Xiphopelta	FALSE	Brachyponera	1	1	0.1	0.9	NA	NA	537	0.37843	0.365203682333231	0.138204029505365	1.13420997049464	265	0.138206029715365	1.27241600021	NA	Fisher et al (2025)	NA
40	graft sister to tip	Euponera	FALSE	Hagensia	1	1	0.1	0.9	NA	NA	540	0.42573	0.522472223080695	0.222432099532144	1.04998190046786	267	0.222434099742144	1.27241600021	NA	Fisher et al (2025)	NA
41	graft sister to tip	Dolioponera	FALSE	Euponera	1	1	0.1	0.9	NA	NA	542	0.2224340997	0.46458419598639	0.103339367369081	1.16907663283092	268	0.103339367379081	1.27241600021	NA	Fisher et al (2025)	NA
42	graft sister to clade	Boltonopone	FALSE	Euponera,Dolioponera	1	1	0.1	0.9	NA	NA	542	0.1190947323	0.181135608628392	0.0215722968195959	1.1475043359804	593	0.124911664229596	1.27241600021	NA	Fisher et al (2025)	NA
43	graft sister to clade	Feroponera	FALSE	Boltonopone,Euponera	1	1	0.1	0.9	NA	NA	542	0.0975224354799999	0.65130337625742	0.0635166914889703	1.08398764449103	594	0.188428355718971	1.27241600021	NA	Fisher et al (2025)	NA
44	graft sister to clade	Fisheropone	FALSE	Feroponera,Euponera	1	1	0.1	0.9	NA	NA	542	0.0340057439899999	0.18305132035166	0.00622479633691002	1.07776284815309	595	0.19465315205691	1.27241600021	NA	Fisher et al (2025)	NA
45	graft sister to clade	Makebapone	FALSE	Fisheropone,Euponera	1	1	0.1	0.9	NA	NA	542	0.0277809476499999	0.17966032307595	0.00499113403015505	1.07277171411984	596	0.199644286130155	1.27241600025	NA	Fisher et al (2025)	NA
46	graft sister to clade	Odontoponera	TRUE	Brachyponera,Xiphopelta	1	1	0.1	0.9	NA	NA	536	0.2402259705	0.794708692654967	0.190909666957826	0.943300303542174	593	0.329115696707826	1.27241600025	NA	Fisher et al (2025)	NA
47	graft sister to tip	Streblognathus	FALSE	Phrynoponera	1	1	0.1	0.9	NA	NA	555	0.414328	0.490733135119081	0.203324478407618	1.06908852159238	275	0.203327478657618	1.27241600025	NA	Fisher et al (2025)	NA
48	graft sister to clade	Bothroponera	TRUE	Pseudoneoponera,Streblognathus	1	1	0.1	0.9	NA	NA	552	0.068872	0.878626483678818	0.0605127631839276	0.797572236816072	601	0.474843763483928	1.2724160003	NA	Fisher et al (2025)	NA
49	graft within clade random	Igaponera	FALSE	Simopelta,Neoponera	6	2	0.8	0.9	TRUE	TRUE	602	0.209156	0.896454327297397	0.187498801280214	1.08491419871979	298	0.187501801596215	1.272416000316	terminal	Fisher et al (2025)	NA
50	graft sister to tip	Probolomyrmex	FALSE	Proceratium	1	1	0.1	0.9	NA	NA	633	0.664537	0.675793779082596	0.449089970570211	0.823322029429789	316	0.449093970890211	1.27241600032	NA	Vizueta et al (2025)	https://doi.org/10.1016/j.cell.2025.05.030
51	graft sister to clade	Diaphoromyrma	FALSE	Allomerus,Lachnomyrmex	1	1	0.1	0.9	NA	NA	83	0.0742889999999999	0.793008881062269	0.0589118367652349	0.806820163234765	372	0.465595837085235	1.27241600032	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
52	graft sister to tip	Phalacromyrmex	FALSE	Pilotrochus	1	1	0.1	0.9	NA	NA	72	0.3582	0.77595042437315	0.277945442010462	0.994468557989538	31	0.277947442340462	1.27241600033	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
53	graft sister to tip	Ishakidris	FALSE	Phalacromyrmex	1	1	0.5	0.9	NA	NA	74	0.2779474423	0.72578757610172	0.20173080043059	1.07068519985941	32	0.20173080047059	1.27241600033	NA	Bolton (1984)	NA
54	graft sister to tip	Mesostruma	FALSE	Epopostruma	1	1	0.1	0.9	NA	NA	21	0.107237	0.329358749650419	0.035319444236262	1.23709355576374	3	0.0353224445962619	1.27241600036	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
55	graft sister to tip	Talaridris	FALSE	Eurhopalothrix	1	1	0.1	0.9	NA	NA	85	0.292782	0.139756049215794	0.0409180556014985	1.2314949443985	37	0.0409210559614985	1.27241600036	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
56	graft sister to tip	Paramycetophylax	FALSE	Cyphomyrmex	1	1	0.8	0.9	NA	NA	35	0.298416	0.878034337912686	0.262019494982552	1.01039350501745	11	0.262022495342552	1.27241600036	NA	Hanish et al (2022)	https://doi.org/10.1093/isd/ixab029
57	graft sister to tip	Secostruma	FALSE	Dilobocondyla	1	1	0.1	0.9	NA	NA	209	0.469334	0.143317503109574	0.067263777004429	1.20515122299557	100	0.0672647773644288	1.27241600036	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
58	graft within clade random	Formosimyrma	FALSE	Ocymyrmex,Leptothorax	6	2	0.8	0.9	TRUE	TRUE	174	0.442973	0.820283954055049	0.363363643979627	0.909050356020373	82	0.363365644339627	1.27241600036	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
59	graft within clade random	Peronomyrmex	FALSE	Ocymyrmex,Leptothorax	6	2	0.1	0.9	TRUE	TRUE	189	0.111621	0.104321403987706	0.0116444594345117	1.26076954056549	90	0.0116464597945118	1.27241600036	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
60	graft within clade random	Gaoligongidris	FALSE	Ocymyrmex,Leptothorax	6	2	0.1	0.9	TRUE	TRUE	136	0.372582	0.673232365772128	0.250834261304111	1.02157873869589	64	0.250837261664111	1.27241600036	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
61	graft sister to clade	Rostromyrmex	FALSE	Ocymyrmex,Leptothorax	1	1	0.1	0.9	NA	NA	124	0.089498	0.497395863384008	0.044515934981142	0.708479065018858	401	0.563936935381142	1.2724160004	NA	Blaimer et al (2018)	https://doi.org/10.1093/isd/ixy013
62	graft sister to tip	Erromyrma	FALSE	Monomorium	1	1	0.8	0.9	NA	NA	119	0.283399	0.868155419034883	0.246034377599067	1.02637762240093	54	0.246038378019067	1.27241600042	NA	Sparks et al (2019)	https://doi.org/10.1071/IS16080
63	graft sister to tip	Epelysidris	FALSE	Erromyrma	1	1	0.8	0.9	NA	NA	121	0.246038378	0.836590063176118	0.20583326219477	1.06658273820523	55	0.20583326221477	1.27241600042	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
64	graft sister to clade	Tyrannomyrmex	FALSE	Epelysidris,Erromyrma	1	1	0.8	0.9	NA	NA	121	0.0402051158100001	0.857695300620981	0.0344837388911594	1.03209899931884	405	0.240317001101159	1.27241600042	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
65	graft sister to tip	Unicumyrmex	FALSE	Tyrannomyrmex	1	1	0.8	0.9	NA	NA	125	0.2403170011	0.853220766666345	0.205043455921499	1.0673725444975	57	0.205043455922499	1.27241600042	NA	Chung et al (2025)	https://doi.org/10.25849/myrmecol.news_035:029
66	graft sister to tip	Chelaner	FALSE	Adelomyrmex	1	1	0.8	0.9	NA	NA	118	0.283399	0.840225671627559	0.238119115113579	1.03429288488642	53	0.238123115533579	1.27241600042	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
67	graft sister to tip	Baracidris	FALSE	Adelomyrmex	1	1	0.1	0.9	NA	NA	119	0.2381191151	0.204673345014453	0.0487366357993985	1.2236753641906	53	0.0487406362293987	1.27241600042	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
68	graft within clade random	Cryptomyrmex	FALSE	Adelomyrmex,Baracidris	1	1	0.1	0.9	TRUE	TRUE	120	0.0487366358000001	0.640491178072989	0.0312153852788563	1.24119661471114	53	0.0312193857088563	1.27241600042	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
69	graft sister to tip	Austromorium	FALSE	Oxyepoecus	1	1	0.8	0.9	NA	NA	113	0.358891	0.864301292249002	0.310189955076536	0.962222044923464	51	0.310193955496536	1.27241600042	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
70	graft within clade random	Bariamyrma	FALSE	Adelomyrmex,Rogeria	6	2	0.1	0.9	TRUE	TRUE	131	0.2058332622	0.447226546145976	0.092054098935665	1.18036190147333	59	0.0920540989466652	1.27241600042	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
71	graft within clade random	Bondroitia	FALSE	Adelomyrmex,Stegomyrmex	1	1	0.1	0.9	TRUE	TRUE	114	0.3101899551	0.548766358569264	0.170221812124991	1.10219018789501	51	0.170225812563991	1.272416000459	terminal	Bolton (1987)	NA
72	graft sister to tip	Kempfidris	FALSE	Solenopsis	1	1	0.1	0.9	NA	NA	119	0.354051	0.834273547492921	0.295375383763416	0.977036616236584	54	0.295379384283416	1.27241600052	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
73	graft sister to tip	Tropidomyrmex	FALSE	Kempfidris	1	1	0.1	0.9	NA	NA	121	0.2953793843	0.712270990759134	0.210390166705184	1.06202583383482	55	0.210390166705184	1.27241600054	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
74	graft within clade random	Syllophopsis	FALSE	Adelomyrmex,Monomorium	1	1	0.1	0.9	TRUE	TRUE	127	0.1893824793	0.101007353514433	0.0191290230360949	1.20454634115391	419	0.0678696593760948	1.27241600053	internal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
75	graft within clade random	Xymmer	FALSE	Adetomyrma,Myopopone	6	2	0.8	0.9	TRUE	TRUE	668	0.380556	0.857055603712797	0.326157652326527	0.946255347673473	332	0.326160652896527	1.27241600057	terminal	Ward and Fisher (2016)	https://doi.org/10.1111%2Fsyen.12186
76	graft within clade random	Mystrium	FALSE	Adetomyrma,Myopopone	6	2	0.8	0.9	TRUE	TRUE	671	0.380556	0.877515423600562	0.333943759543735	0.938469240456265	334	0.333946760113735	1.27241600057	terminal	Ward and Fisher (2016)	https://doi.org/10.1111%2Fsyen.12186
