raw	clean
Crematogaster_sordidula	Crematogaster_sordidula
Crematogaster_macracantha	Crematogaster_macracantha
Crematogaster_telolafy	Crematogaster_telolafy
Crematogaster_longispina	Crematogaster_longispina
Crematogaster_acuta	Crematogaster_acuta
Crematogaster_modiglianii	Crematogaster_modiglianii
Crematogaster_flavitarsis	Crematogaster_flavitarsis
Crematogaster_fruhstorferi	Crematogaster_fruhstorferi
Crematogaster_alafara	Crematogaster_alafara
Crematogaster_rogenhoferi_cf	Crematogaster_rogenhoferi
Crematogaster_meijerei	Crematogaster_meijerei
Crematogaster_aberrans	Crematogaster_aberrans
Crematogaster_emeryana	Crematogaster_emeryana
Crematogaster_malala	Crematogaster_malala
Crematogaster_lotti	Crematogaster_lotti
Crematogaster_kelleri	Crematogaster_kelleri
