raw	clean
Aenictus_silvestrii_M221	Aenictus_silvestrii
Aenictus_yamanei_M265	Aenictus_yamanei
Aenictus_latifemoratus_M266	Aenictus_latifemoratus
Aenictus_bobaiensis_M197	Aenictus_bobaiensis
Aenictus_levior_M231	Aenictus_levior
Aenictus_camposi_M222	Aenictus_camposi
Aenictus_fergusoni_M223	Aenictus_fergusoni
Aenictus_hodgsoni_M198	Aenictus_hodgsoni
Aenictus_laeviceps_M269	Aenictus_laeviceps
Aenictus_rotundicollis_M232	Aenictus_rotundicollis
Aenictus_currax_M245	Aenictus_currax
Aenictus_cornutus_M230	Aenictus_cornutus
Aenictus_gracilis_M199	Aenictus_gracilis
Aenictus_turneri_M135	Aenictus_turneri
Aenictus_fuchuanensis_M201	Aenictus_fuchuanensis
Aenictus_hoelldobleri_M200	Aenictus_hoelldobleri
