raw	clean
Dorylus_laevigatus_M157	Dorylus_laevigatus
Dorylus_conradti_M178	Dorylus_conradti
Dorylus_orientalis_M244	Dorylus_orientalis
Dorylus_fimbriatus_M288	Dorylus_fimbriatus
Dorylus_cf_fulvus_M149	Dorylus_fulvus
Dorylus_fulvus_M179	Dorylus_fulvus
Dorylus_spininodis_M292	Dorylus_spininodis
Dorylus_kohli_M180	Dorylus_kohli
Dorylus_affinis_M177	Dorylus_affinis
Dorylus_braunsi_M289	Dorylus_braunsi
Dorylus_mayri_M291	Dorylus_mayri
Dorylus_molestus_M290	Dorylus_molestus
Dorylus_rubellus_M287	Dorylus_rubellus
