raw	clean
Ectatomma_tuberculatum_ECTA07	Ectatomma_tuberculatum
Ectatomma_muticum_ECTA04	Ectatomma_muticum
Ectatomma_edentatum_ECTA05	Ectatomma_edentatum
Ectatomma_goninion_ECTA11	Ectatomma_goninion
Ectatomma_gibbum_EX814	Ectatomma_gibbum
Ectatomma_ruidum_ECTA02	Ectatomma_ruidum
Ectatomma_lugens_ECTA15	Ectatomma_lugens
Ectatomma_permagnum_ECTA03	Ectatomma_permagnum
Ectatomma_opaciventre_ECTA09	Ectatomma_opaciventre
Ectatomma_brunneum_ECTA16	Ectatomma_brunneum
Ectatomma_planidens_ECTA19	Ectatomma_planidens
