raw	clean
Myrmica_serica	Myrmica_serica
Myrmica_wheeleri	Myrmica_wheeleri
Myrmica_rupestris	Myrmica_rupestris
Myrmica_aimonissabaudiae	Myrmica_aimonissabaudiae
Myrmica_ruginodis	Myrmica_ruginodis
Myrmica_punctiventris	Myrmica_punctiventris
Myrmica_alaskensis	Myrmica_alaskensis
Myrmica_incompleta	Myrmica_incompleta
Myrmica_rugiventris	Myrmica_rugiventris
Myrmica_punctinops	Myrmica_punctinops
Myrmica_salina	Myrmica_salina
Myrmica_karavajevi	Myrmica_karavajevi
Myrmica_rugulosa	Myrmica_rugulosa
Myrmica_hellenica	Myrmica_hellenica
Myrmica_tulinae	Myrmica_tulinae
Myrmica_scabrinodis	Myrmica_scabrinodis
Myrmica_vandeli	Myrmica_vandeli
Myrmica_aloba	Myrmica_aloba
Myrmica_hirsuta	Myrmica_hirsuta
Myrmica_sabuleti	Myrmica_sabuleti
Myrmica_schencki	Myrmica_schencki
Myrmica_kasczenkoi	Myrmica_kasczenkoi
Myrmica_crassirugis	Myrmica_crassirugis
Myrmica_latifrons	Myrmica_latifrons
Myrmica_monticola	Myrmica_monticola
Myrmica_discontinua	Myrmica_discontinua
Myrmica_tahoensis	Myrmica_tahoensis
Myrmica_lobifrons	Myrmica_lobifrons
Myrmica_fracticornis	Myrmica_fracticornis
Myrmica_hamulata	Myrmica_hamulata
Myrmica_striolagaster	Myrmica_striolagaster
Myrmica_americana	Myrmica_americana
Myrmica_brevispinosa	Myrmica_brevispinosa
Myrmica_sulcinodis	Myrmica_sulcinodis
Myrmica_lobicornis	Myrmica_lobicornis
Myrmica_anatolica	Myrmica_anatolica
Myrmica_angulinodis	Myrmica_angulinodis
