raw	clean
Vitsika_producta	Vitsika_producta
Vitsika_brevis	Vitsika_brevis
Vitsika_crebra	Vitsika_crebra
Vitsika_suspicax	Vitsika_suspicax
Vitsika_breviscapa	Vitsika_breviscapa
Vitsika_procera	Vitsika_procera
Vitsika_labes	Vitsika_labes
Vitsika_venustas	Vitsika_venustas
Vitsika_disjuncta	Vitsika_disjuncta
Vitsika_tenuis	Vitsika_tenuis
Vitsika_acclivitas	Vitsika_acclivitas
Vitsika_astuta	Vitsika_astuta
Vitsika_obscura	Vitsika_obscura
Vitsika_incisura	Vitsika_incisura
Vitsika_manifesta	Vitsika_manifesta
Vitsika_miranda	Vitsika_miranda
