Code,Taxon,Specimen,NewLabel
CS0159,Pheidole.desertorum,CASENT0339762,Pheidole_desertorum_CASENT0339762
CS0224,Pheidole.xerophila,CASENT0339764,Pheidole_xerophila_CASENT0339764
CS0301,Pheidole.dentata,CASENT0339768,Pheidole_dentata_CASENT0339768
CS0399,Pheidole.xanthogaster,CASENT0339769,Pheidole_xanthogaster_CASENT0339769
CS0402,Pheidole.tristicula,CASENT0339770,Pheidole_tristicula_CASENT0339770
CS0410,Pheidole.astur,CASENT0339771,Pheidole_astur_CASENT0339771
CS0506,Pheidole.vorax,CASENT0339773,Pheidole_vorax_CASENT0339773
CS0507,Pheidole.cramptoni,CASENT0339774,Pheidole_cramptoni_CASENT0339774
PH1,Pheidole.epem070,CASENT0282484,Pheidole_epem070_CASENT0282484
PH1001,Pheidole.jtl190,CASENT0636642,Pheidole_jtl190_CASENT0636642
PH1002,Pheidole.wardi,CASENT0636641,Pheidole_wardi_CASENT0636641
PH1003,Pheidole.roushae,CASENT0636640,Pheidole_roushae_CASENT0636640
PH1009,Pheidole.jtl177,CASENT0636634,Pheidole_jtl177_CASENT0636634
PH1012,Pheidole.jtl178,CASENT0636631,Pheidole_jtl178_CASENT0636631
PH1015,Pheidole.mackayi,CASENT0636628,Pheidole_mackayi_CASENT0636628
PH1016,Pheidole.pubiventris,CASENT0636627,Pheidole_pubiventris_CASENT0636627
PH1018,Pheidole.fossimandibula,CASENT0636625,Pheidole_fossimandibula_CASENT0636625
PH1020,Pheidole.jtl134,CASENT0636623,Pheidole_jtl134_CASENT0636623
PH104,Pheidole.epem034,CASENT0199500,Pheidole_epem034_CASENT0199500
PH1043,Pheidole.mooreorum,CASENT0636600,Pheidole_mooreorum_CASENT0636600
PH1044,Pheidole.nebulosa,CASENT0636599,Pheidole_nebulosa_CASENT0636599
PH1048,Pheidole.arachnion,CASENT0636595,Pheidole_arachnion_CASENT0636595
PH1049,Pheidole.rogeri,CASENT0636594,Pheidole_rogeri_CASENT0636594
PH1050,Pheidole.psilogaster,CASENT0636593,Pheidole_psilogaster_CASENT0636593
PH1051,Pheidole.otisi,CASENT0636592,Pheidole_otisi_CASENT0636592
PH1053,Pheidole.tanyscapa,CASENT0636590,Pheidole_tanyscapa_CASENT0636590
PH1054,Pheidole.kukrana,CASENT0636589,Pheidole_kukrana_CASENT0636589
PH1057,Pheidole.deceptrix,CASENT0636586,Pheidole_deceptrix_CASENT0636586
PH1058,Pheidole.jtl196,CASENT0636585,Pheidole_jtl196_CASENT0636585
PH1059,Pheidole.jtl202,CASENT0636584,Pheidole_jtl202_CASENT0636584
PH1061,Pheidole.jtl170,CASENT0636582,Pheidole_jtl170_CASENT0636582
PH1066,Pheidole.jtl198,CASENT0636577,Pheidole_jtl198_CASENT0636577
PH1067,Pheidole.citrina,CASENT0636576,Pheidole_citrina_CASENT0636576
PH107,Pheidole.epem033,CASENT0199468,Pheidole_epem033_CASENT0199468
PH1074,Pheidole.oaxacana,CASENT0636651,Pheidole_oaxacana_CASENT0636651
PH1076,Pheidole.jtl200,CASENT0636653,Pheidole_jtl200_CASENT0636653
PH1077,Pheidole.jtl201,CASENT0636654,Pheidole_jtl201_CASENT0636654
PH1078,Pheidole.mantilla,CASENT0636655,Pheidole_mantilla_CASENT0636655
PH1079,Pheidole.perpusilla,CASENT0635824,Pheidole_perpusilla_CASENT0635824
PH108,Pheidole.epem040,CASENT0199512,Pheidole_epem040_CASENT0199512
PH1081,Pheidole.hizemops,CASENT0635826,Pheidole_hizemops_CASENT0635826
PH1082,Pheidole.amabilis,CASENT0635827,Pheidole_amabilis_CASENT0635827
PH1083,Pheidole.hasticeps,CASENT0635828,Pheidole_hasticeps_CASENT0635828
PH1084,Pheidole.renae,CASENT0635829,Pheidole_renae_CASENT0635829
PH1085,Pheidole.carinote,CASENT0635830,Pheidole_carinote_CASENT0635830
PH1087,Pheidole.lustrata,CASENT0635832,Pheidole_lustrata_CASENT0635832
PH1088,Pheidole.carapuna,CASENT0635833,Pheidole_carapuna_CASENT0635833
PH1089,Pheidole.jtl189,CASENT0635834,Pheidole_jtl189_CASENT0635834
PH109,Pheidole.epem046,CASENT0199522,Pheidole_epem046_CASENT0199522
PH1091,Pheidole.angusticeps,CASENT0635836,Pheidole_angusticeps_CASENT0635836
PH1097,Pheidole.rhinomontana,CASENT0635842,Pheidole_rhinomontana_CASENT0635842
PH1098,Pheidole.harrisonfordi,CASENT0635843,Pheidole_harrisonfordi_CASENT0635843
PH110,Pheidole.distincta,CASENT0199467,Pheidole_distincta_CASENT0199467
PH1101,Pheidole.chocoensis,CASENT0635846,Pheidole_chocoensis_CASENT0635846
PH1102,Pheidole.jtl224,CASENT0635847,Pheidole_jtl224_CASENT0635847
PH1103,Pheidole.gulo,CASENT0635848,Pheidole_gulo_CASENT0635848
PH1104,Pheidole.jtl212,CASENT0635849,Pheidole_jtl212_CASENT0635849
PH1107,Pheidole.punctatissima,CASENT0635852,Pheidole_punctatissima_CASENT0635852
PH1109,Pheidole.spathipilosa,CASENT0635854,Pheidole_spathipilosa_CASENT0635854
PH1110,Pheidole.scrobifera,CASENT0635855,Pheidole_scrobifera_CASENT0635855
PH1111,Pheidole.synarmata,CASENT0635856,Pheidole_synarmata_CASENT0635856
PH1112,Pheidole.colobopsis,CASENT0635857,Pheidole_colobopsis_CASENT0635857
PH1113,Pheidole.walkeri,CASENT0635858,Pheidole_walkeri_CASENT0635858
PH1114,Pheidole.jtl211,CASENT0635859,Pheidole_jtl211_CASENT0635859
PH1116,Pheidole.jtl218,CASENT0635861,Pheidole_jtl218_CASENT0635861
PH1118,Pheidole.bicornis,CASENT0635863,Pheidole_bicornis_CASENT0635863
PH1119,Pheidole.specularis,CASENT0635864,Pheidole_specularis_CASENT0635864
PH1120,Pheidole.exarata,CASENT0635865,Pheidole_exarata_CASENT0635865
PH1121,Pheidole.acamata,CASENT0635866,Pheidole_acamata_CASENT0635866
PH1122,Pheidole.jtl223,CASENT0635867,Pheidole_jtl223_CASENT0635867
PH1123,Pheidole.ectatommoides,CASENT0635868,Pheidole_ectatommoides_CASENT0635868
PH1124,Pheidole.eowilsoni,CASENT0635869,Pheidole_eowilsoni_CASENT0635869
PH1132,Pheidole.antillana,CASENT0635877,Pheidole_antillana_CASENT0635877
PH1133,Pheidole.laudatana,CASENT0635878,Pheidole_laudatana_CASENT0635878
PH1135,Pheidole.jtl158,CASENT0635880,Pheidole_jtl158_CASENT0635880
PH1137,Pheidole.jtl226,CASENT0635882,Pheidole_jtl226_CASENT0635882
PH1138,Pheidole.tuxtlasana,CASENT0635883,Pheidole_tuxtlasana_CASENT0635883
PH1139,Pheidole.jtl214,CASENT0635884,Pheidole_jtl214_CASENT0635884
PH1140,Pheidole.ceibana,CASENT0635885,Pheidole_ceibana_CASENT0635885
PH1141,Pheidole.brandaoi,CASENT0635886,Pheidole_brandaoi_CASENT0635886
PH1142,Pheidole.beloceps,CASENT0635887,Pheidole_beloceps_CASENT0635887
PH1143,Pheidole.rectitrudis,CASENT0635888,Pheidole_rectitrudis_CASENT0635888
PH1144,Pheidole.glomericeps,CASENT0635889,Pheidole_glomericeps_CASENT0635889
PH1145,Pheidole.rugiceps,CASENT0635890,Pheidole_rugiceps_CASENT0635890
PH1146,Pheidole.karolmorae,CASENT0635891,Pheidole_karolmorae_CASENT0635891
PH1147,Pheidole.jtl225,CASENT0635892,Pheidole_jtl225_CASENT0635892
PH1148,Pheidole.jtl221,CASENT0635893,Pheidole_jtl221_CASENT0635893
PH115,Pheidole.epem051,CASENT0199497,Pheidole_epem051_CASENT0199497
PH1150,Pheidole.veteratrix,CASENT0738553,Pheidole_veteratrix_CASENT0738553
PH1152,Pheidole.nemoralis,CASENT0738743,Pheidole_nemoralis_CASENT0738743
PH1153,Pheidole.longispinosa,CASENT0738744,Pheidole_longispinosa_CASENT0738744
PH1158,Pheidole.oswaldi,CASENT0738749,Pheidole_oswaldi_CASENT0738749
PH1159,Pheidole.oculata,CASENT0738750,Pheidole_oculata_CASENT0738750
PH1160,Pheidole.mg029,CASENT0738751,Pheidole_mg029_CASENT0738751
PH1163,Pheidole.mg021,CASENT0738754,Pheidole_mg021_CASENT0738754
PH1164,Pheidole.mg117,CASENT0738755,Pheidole_mg117_CASENT0738755
PH1166,Pheidole.mg021,CASENT0738757,Pheidole_mg021_CASENT0738757
PH1168,Pheidole.gf013,CASENT0738759,Pheidole_gf013_CASENT0738759
PH1169,Pheidole.mg014,CASENT0738760,Pheidole_mg014_CASENT0738760
PH1170,Pheidole.mg024,CASENT0738761,Pheidole_mg024_CASENT0738761
PH1171,Pheidole.mg071,CASENT0738762,Pheidole_mg071_CASENT0738762
PH1177,Pheidole.mg015,CASENT0738768,Pheidole_mg015_CASENT0738768
PH1179,Pheidole.sikorae,CASENT0738770,Pheidole_sikorae_CASENT0738770
PH1180,Pheidole.mg083,CASENT0738771,Pheidole_mg083_CASENT0738771
PH1184,Pheidole.mg018,CASENT0738775,Pheidole_mg018_CASENT0738775
PH1185,Pheidole.mg132,CASENT0738776,Pheidole_mg132_CASENT0738776
PH1186,Pheidole.mg130,CASENT0738777,Pheidole_mg130_CASENT0738777
PH1187,Pheidole.longispinosa.scabrata,CASENT0738778,Pheidole_longispinosa_scabrata_CASENT0738778
PH1193,Pheidole.mg068,CASENT0738784,Pheidole_mg068_CASENT0738784
PH1196,Pheidole.annemariae,CASENT0738787,Pheidole_annemariae_CASENT0738787
PH1200,Pheidole.mg125,CASENT0738791,Pheidole_mg125_CASENT0738791
PH1204,Pheidole.lucida,CASENT0738795,Pheidole_lucida_CASENT0738795
