raw	clean
Anochetus_hohenbergiae_EX2897_CASENT0919827	Anochetus_hohenbergiae
Anochetus_orchidicola_EX2284_CASENT0649096	Anochetus_orchidicola
Anochetus_altisquamis_EX3079_DZUP549114	Anochetus_altisquamis
Anochetus_altisquamis_EX2914_CASENT0381057	Anochetus_altisquamis
Anochetus_my06_EX2915_CASENT0385982	Anochetus_my
Anochetus_tua_EX2265_CASENT0616825	Anochetus_tua
Anochetus_yerburyi_D1987_USNMENT01118251	Anochetus_yerburyi
Anochetus_ph02_EX2908_CASENT0266422	Anochetus_ph
Anochetus_cato_EX2895_CASENT0923409	Anochetus_cato
Anochetus_isolatus_EX3026_CASENT0650204	Anochetus_isolatus
Anochetus_ph04_EX2910_CASENT0266398	Anochetus_ph
Anochetus_princeps_EX2226_CASENT0634783	Anochetus_princeps
Anochetus_muzziolii_EX2900_CASENT0923411	Anochetus_muzziolii
Anochetus_mixtus_EX2673_ENT00000657	Anochetus_mixtus
Anochetus_rugosus_EX2227_CASENT0635363	Anochetus_rugosus
Anochetus_rugosus_EX2916_CASENT0387827	Anochetus_rugosus
Anochetus_horridus_EX2223_CASENT0646123	Anochetus_horridus
Anochetus_kempfi_D2900_LACMENT542503	Anochetus_kempfi
Anochetus_emarginatus_EX2286a_CASENT0646105	Anochetus_emarginatus
Anochetus_testaceus_EX2902_CASENT0729163	Anochetus_testaceus
Anochetus_micans_EX2280_CASENT0637250	Anochetus_micans
Anochetus_striatulus_EX2276_CASENT0637826	Anochetus_striatulus
Anochetus_inermis_EX2898_CASENT0768091	Anochetus_inermis
Anochetus_simoni_EX2228_JTLC000015234	Anochetus_simoni
Anochetus_bispinosus_EX2221_CASENT0646026	Anochetus_bispinosus
Anochetus_targionii_D2070_CASENT0882096	Anochetus_targionii
Anochetus_targionii_EX2906_CASENT0372252	Anochetus_targionii
Anochetus_diegensis_EX2222_CASENT0646183	Anochetus_diegensis
Anochetus_pe02_EX2905_CASENT0373229	Anochetus_pe
Anochetus_minans_EX2224_CASENT0640998	Anochetus_minans
Anochetus_mayri_EX2271_CASENT0633416	Anochetus_mayri
Anochetus_pe01_EX2904_CASENT0373286	Anochetus_pe
Anochetus_neglectus_EX2913_CASENT0379431	Anochetus_neglectus
Anochetus_neglectus_EX3080_DZUP549116	Anochetus_neglectus
Anochetus_siphneus_D2442_CASENT0815716	Anochetus_siphneus
Anochetus_myops_EX2917_CASENT0387787	Anochetus_myops
Anochetus_myops_EX2225_CASENT0634708	Anochetus_myops
Anochetus_talpa_D2422_CASENT0817421	Anochetus_talpa
Anochetus_talpa_EX2945_CASENT0781688	Anochetus_talpa
Anochetus_talpa_D2069_CASENT0842143	Anochetus_talpa
Anochetus_afr01_EX2929_CASENT0845774	Anochetus_afr
Anochetus_afr01_EX2936_CASENT0845816	Anochetus_afr
Anochetus_afr01_EX2944_CASENT0779894	Anochetus_afr
Anochetus_afr01_EX2949_CASENT0066941	Anochetus_afr
Anochetus_afrc_za02_D2445_CASENT0253635	Anochetus_afrc
Anochetus_punctaticeps_EX2926_CASENT0395033	Anochetus_punctaticeps
Anochetus_katonae_nr1_D2423_CASENT0820826	Anochetus_katonae
Anochetus_afrc_tz04_D2444_CASENT0250446	Anochetus_afrc
Anochetus_afrc_tz04_EX2946_CASENT0785536	Anochetus_afrc
Anochetus_afrc_tz04_EX2947_CASENT0785467	Anochetus_afrc
Anochetus_katonae_nr2_EX2927_CASENT0066876	Anochetus_katonae
Anochetus_katonae_EX2935_CASENT0845820	Anochetus_katonae
Anochetus_katonae_D2443_CASENT0819017	Anochetus_katonae
Anochetus_katonae_EX2943_CASENT0354305	Anochetus_katonae
Anochetus_katonae_EX2922_CASENT0217178	Anochetus_katonae
Anochetus_katonae_EX2940_CASENT0352837	Anochetus_katonae
Anochetus_th01_EX2911_CASENT0284344	Anochetus_th
Anochetus_boltoni_MAMI0509_CASENT0006943	Anochetus_boltoni
Anochetus_goodmani_BBX435_CASENT0347692	Anochetus_goodmani
Anochetus_paripungens_EX2901_CASENT0746783	Anochetus_paripungens
Anochetus_renatae_EX2552_CASENT0887807	Anochetus_renatae
Anochetus_rectangularis_EX2219_JTLC000008642	Anochetus_rectangularis
Anochetus_rectangularis_D2068_CASENT0260505	Anochetus_rectangularis
Anochetus_angolensis_EX2919_CASENT0810436	Anochetus_angolensis
Anochetus_bytinskii_EX2894_CASENT0281026	Anochetus_bytinskii
Anochetus_afr05_EX2932_CASENT0845813	Anochetus_afr
Anochetus_afr05_D2446_CASENT0821692	Anochetus_afr
Anochetus_ug01_EX2937_CASENT0923412	Anochetus_ug
Anochetus_ug01_EX2939_CASENT0354210	Anochetus_ug
Anochetus_traegaordhi_D2447_CASENT0817564	Anochetus_traegaordhi
Anochetus_traegaordhi_D2437_CASENT0253634	Anochetus_traegaordhi
Anochetus_ghilianii_EX2921_CASENT0270573	Anochetus_ghilianii
Anochetus_ghilianii_EX2903_CASENT0906625	Anochetus_ghilianii
Anochetus_turneri_EX2554_CASENT0887808	Anochetus_turneri
Anochetus_graeffei_EX2912_CASENT0287021	Anochetus_graeffei
Anochetus_graeffei_EX2896_CASENT0752719	Anochetus_graeffei
Anochetus_pubescens_MAMI0513_CASENT0147365	Anochetus_pubescens
Anochetus_sedilloti_EX2934_CASENT0061604	Anochetus_sedilloti
Anochetus_levaillanti_D2418_CASENT0818927	Anochetus_levaillanti
Anochetus_levaillanti_EX2923_CASENT0810450	Anochetus_levaillanti
Anochetus_ph03_EX2909_CASENT0267973	Anochetus_ph
Anochetus_pattersoni_MAMI0558_CASENT0172609	Anochetus_pattersoni
Anochetus_ph01_EX2907_CASENT0265935	Anochetus_ph
Anochetus_fuliginosus_D2421_CASENT0250071	Anochetus_fuliginosus
Anochetus_fuliginosus_EX2920_CASENT0403899	Anochetus_fuliginosus
Anochetus_pellucidus_D2441_CASENT0814954	Anochetus_pellucidus
Anochetus_pellucidus_EX2925_CASENT0010767	Anochetus_pellucidus
Anochetus_casc_mz11_EX2948_CASENT0786292	Anochetus_casc
Anochetus_afr02_EX2930_CASENT0845779	Anochetus_afr
Anochetus_bequaerti_EX2220_CASENT0639665	Anochetus_bequaerti
Anochetus_bequaerti_EX2938_CASENT0845817	Anochetus_bequaerti
Anochetus_bequaerti_EX2933_CASENT0845784	Anochetus_bequaerti
Anochetus_bequaerti_EX2918_CASENT0810444	Anochetus_bequaerti
Anochetus_africanus_D2420_CASENT0815784	Anochetus_africanus
Anochetus_obscuratus_EX2924_CASENT0845765	Anochetus_obscuratus
Anochetus_africanus_EX2931_CASENT0406755	Anochetus_africanus
Anochetus_africanus_EX2941_CASENT0352973	Anochetus_africanus
