raw	clean
Bothroponera_fugax_D2448_CASENT0250518	Bothroponera_fugax
Bothroponera_sculpturata_D2450_CASENT0815957	Bothroponera_sculpturata
Bothroponera_pachyderma_D2426_CASENT0815722	Bothroponera_pachyderma
Bothroponera_talpa_EX2323_CASENT0629608	Bothroponera_talpa
Bothroponera_cavernosa_D2435_CASENT0888202	Bothroponera_cavernosa
Bothroponera_granosa_D2451_CASENT0250375	Bothroponera_granosa
Bothroponera_berthoudi_D2449_CASENT0888218	Bothroponera_berthoudi
Bothroponera_pumicosa_D2821_CASENT0249201	Bothroponera_pumicosa
Bothroponera_strigulosa_D2427_CASENT0888212	Bothroponera_strigulosa
Bothroponera_strigulosa_D2436_CASENT0821449	Bothroponera_strigulosa
Bothroponera_perroti_BBX469_CASENT0347712	Bothroponera_perroti
Bothroponera_comorensis_MAMI0516_CASENT0212399	Bothroponera_comorensis
Bothroponera_tavaratra_MAMI0519_CASENT0370687	Bothroponera_tavaratra
Bothroponera_planicornis_MAMI0518_CASENT0247233	Bothroponera_planicornis
Bothroponera_cambouei_MAMI0382_CASENT0299201	Bothroponera_cambouei
Bothroponera_masoala_MAMI0517_BLF00882-5--1	Bothroponera_masoala
Bothroponera_vazimba_BBX471_CASENT0347714	Bothroponera_vazimba
Bothroponera_wasmannii_D0400_CASENT0076787	Bothroponera_wasmannii
Bothroponera_wasmannii_BBX472_CASENT0347715	Bothroponera_wasmannii
Bothroponera_silvestrii_nr_EX3636_JTLC000000507	Bothroponera_silvestrii
Bothroponera_silvestrii_D2428_CASENT0250493	Bothroponera_silvestrii
Bothroponera_silvestrii_D2429_CASENT0888216	Bothroponera_silvestrii
Bothroponera_afrc_mz01_D2432_CASENT0888222	Bothroponera_afrc
Bothroponera_kruegeri_EX2557_CASENT0887812	Bothroponera_kruegeri
Bothroponera_crassa_D2071_CASENT0882111	Bothroponera_crassa
Bothroponera_ilgii_D2425_CASENT0816349	Bothroponera_ilgii
Bothroponera_soror_EX2366_CASENT0639768	Bothroponera_soror
Bothroponera_soror_EX2735_CASENT0090552	Bothroponera_soror
