raw	clean
Leptogenys_parvula_D2101_CASENT0882105	Leptogenys_parvula
Leptogenys_yerburyi_nr_D2622_CASENT0270546	Leptogenys_yerburyi
Leptogenys_myops_D2180_CASENT0882184	Leptogenys_myops
Leptogenys_myops_EX2852_CASENT0384495	Leptogenys_myops
Leptogenys_th04_EX2856_CASENT0273252	Leptogenys_th
Leptogenys_borneensis_D2092_CASENT0882106	Leptogenys_borneensis
Leptogenys_borneensis_EX2369_CASENT0634243	Leptogenys_borneensis
Leptogenys_birmana_EX2665_MCZ-ENT00763498	Leptogenys_birmana
Leptogenys_processionalis_EX2321_CASENT0616523	Leptogenys_processionalis
Leptogenys_mutabilis_group_EX2693_ENT00000950	Leptogenys_mutabilis
Leptogenys_breviceps_EX2827_CASENT0923401	Leptogenys_breviceps
Leptogenys_fallax_D2098_CASENT0270552	Leptogenys_fallax
Leptogenys_fortior_EX2569_CASENT0887822	Leptogenys_fortior
Leptogenys_saussurei_MAMI0577_CASENT0162147	Leptogenys_saussurei
Leptogenys_acutirostris_BBX459_CASENT0162102	Leptogenys_acutirostris
Leptogenys_lohahela_MAMI0561_CASENT0247210	Leptogenys_lohahela
Leptogenys_ambo_MAMI0532_CASENT0499742	Leptogenys_ambo
Leptogenys_ralipra_MAMI0574_CASENT0247274	Leptogenys_ralipra
Leptogenys_andritantely_MAMI0533_CASENT0175412	Leptogenys_andritantely
Leptogenys_vatovavy_MAMI0582_CASENT0061172	Leptogenys_vatovavy
Leptogenys_pe03_EX2843_CASENT0370882	Leptogenys_pe
Leptogenys_gaigei_EX3083_DZUP549120	Leptogenys_gaigei
Leptogenys_pe02_EX2842_CASENT0372210	Leptogenys_pe
Leptogenys_amu_EX2234_CASENT0646058	Leptogenys_amu
Leptogenys_luederwaldti_EX3086_DZUP549112	Leptogenys_luederwaldti
Leptogenys_crudelis_EX3081_DZUP549117	Leptogenys_crudelis
Leptogenys_iheringi_EX3084_DZUP549115	Leptogenys_iheringi
Leptogenys_mgb01_EX2457_CASENT0625915	Leptogenys_mgb
Leptogenys_volcanica_EX2370_CASENT0633550	Leptogenys_volcanica
Leptogenys_deborae_EX2327_JTLC000015203	Leptogenys_deborae
Leptogenys_erugata_D2096_CASENT0882076	Leptogenys_erugata
Leptogenys_carbonaria_EX2828_CASENT0217022	Leptogenys_carbonaria
Leptogenys_tiobil_EX2334_JTLC000015013	Leptogenys_tiobil
Leptogenys_famelica_EX2238_CASENT0632948	Leptogenys_famelica
Leptogenys_pinna_EX2244_CASENT0612006	Leptogenys_pinna
Leptogenys_ritae_D2103_CASENT0882109	Leptogenys_ritae
Leptogenys_quadrata_EX2332_INBIOCRI001279747	Leptogenys_quadrata
Leptogenys_josephi_EX2268_CASENT0619746	Leptogenys_josephi
Leptogenys_josephi_EX2362_CASENT0611959	Leptogenys_josephi
Leptogenys_rufa_EX2333_CASENT0613790	Leptogenys_rufa
Leptogenys_quiriguana_EX2239_CASENT0618762	Leptogenys_quiriguana
Leptogenys_yocota_EX2361_CASENT0615757	Leptogenys_yocota
Leptogenys_kiche_EX2240_CASENT0611864	Leptogenys_kiche
Leptogenys_cordoba_EX3130_CASENT0640473	Leptogenys_cordoba
Leptogenys_consanguinea_EX2294_CASENT0649081	Leptogenys_consanguinea
Leptogenys_consanguinea_D2102_CASENT0844541	Leptogenys_consanguinea
Leptogenys_oaxaca_EX2243_JTLC000010242	Leptogenys_oaxaca
Leptogenys_peninsularis_nr_EX2777_CASENT0650114	Leptogenys_peninsularis
Leptogenys_elongata_EX2237_CASENT0635915	Leptogenys_elongata
Leptogenys_peninsularis_EX2838_CASENT0248755	Leptogenys_peninsularis
Leptogenys_imperatrix_EX2269_CASENT0649095	Leptogenys_imperatrix
Leptogenys_maya_EX2241_CASENT0613013	Leptogenys_maya
Leptogenys_wheeleri_EX2335_CASENT0640313	Leptogenys_wheeleri
Leptogenys_quirozi_EX3087_DZUP549118	Leptogenys_quirozi
Leptogenys_ixta_EX2834_CASENT0248766	Leptogenys_ixta
Leptogenys_anitae_D2091_CASENT0882068	Leptogenys_anitae
Leptogenys_mjobergi_EX2572_CASENT0887826	Leptogenys_mjobergi
Leptogenys_mjobergi_nr_D2095_CASENT0270584	Leptogenys_mjobergi
Leptogenys_acutangula_EX2565_CASENT0887821	Leptogenys_acutangula
Leptogenys_rouxi_EX2573_CASENT0887830	Leptogenys_rouxi
Leptogenys_turneri_EX2835_CASENT0217531	Leptogenys_turneri
Leptogenys_turneri_D2602_CASENT0270582	Leptogenys_turneri
Leptogenys_sjostedti_EX2574_CASENT0887828	Leptogenys_sjostedti
Leptogenys_sjostedti_nr_D2104_CASENT0270585	Leptogenys_sjostedti
Leptogenys_excisa_EX2830_CASENT0923405	Leptogenys_excisa
Leptogenys_keysseri_EX3011_CASENT0650189	Leptogenys_keysseri
Leptogenys_exigua_D2097_CASENT0270551	Leptogenys_exigua
Leptogenys_darlingtoni_EX2829_CASENT0923402	Leptogenys_darlingtoni
Leptogenys_neutralis_EX2836_CASENT0217532	Leptogenys_neutralis
Leptogenys_adlerzi_EX2826_CASENT0217523	Leptogenys_adlerzi
Leptogenys_angustinoda_EX2566_CASENT0887823	Leptogenys_angustinoda
Leptogenys_conigera_EX2568_CASENT0887824	Leptogenys_conigera
Leptogenys_afrc_tz01_D2493_CASENT0250473	Leptogenys_afrc
Leptogenys_afrc_tz06_D2478_CASENT0821754	Leptogenys_afrc
Leptogenys_afrc_tz08_D2476_CASENT0235515	Leptogenys_afrc
Leptogenys_afrc_tz09_D2472_CASENT0818597	Leptogenys_afrc
Leptogenys_castanea_EX2879_CASENT0396315	Leptogenys_castanea
Leptogenys_castanea_D2462_CASENT0888224	Leptogenys_castanea
Leptogenys_castanea_D2482_CASENT0821428	Leptogenys_castanea
Leptogenys_castanea_EX2889_CASENT0774569	Leptogenys_castanea
Leptogenys_castanea_D2486_CASENT0235510	Leptogenys_castanea
Leptogenys_castanea_D2474_CASENT0818413	Leptogenys_castanea
Leptogenys_attenuata_D2487_CASENT0250376	Leptogenys_attenuata
Leptogenys_manongarivo_MAMI0565_CASENT0175360	Leptogenys_manongarivo
Leptogenys_afr10_EX2878_CASENT0395299	Leptogenys_afr
