raw	clean
Pseudoneoponera_sandakana_EX2680_ENT00014093	Pseudoneoponera_sandakana
Pseudoneoponera_my02_EX2983_CASENT0387554	Pseudoneoponera_my
Pseudoneoponera_tridentata_EX2351_CASENT0634289	Pseudoneoponera_tridentata
Pseudoneoponera_insularis_D1991_USNMENT01117301	Pseudoneoponera_insularis
Pseudoneoponera_rufipes_EX2679_ZRC_HYM_0000545	Pseudoneoponera_rufipes
Pseudoneoponera_my01_EX2982_CASENT0702012	Pseudoneoponera_my
Pseudoneoponera_au08_EX2583_CASENT0887837	Pseudoneoponera_au
Pseudoneoponera_au_a_EX2579_CASENT0887836	Pseudoneoponera_au
Pseudoneoponera_piliventris_D2620_CASENT0886709	Pseudoneoponera_piliventris
Pseudoneoponera_porcata_D2133_CASENT0882067	Pseudoneoponera_porcata
Pseudoneoponera_sublaevis_EX2582_CASENT0887834	Pseudoneoponera_sublaevis
Pseudoneoponera_sublaevis_EX2581_CASENT0887835	Pseudoneoponera_sublaevis
Pseudoneoponera_sublaevis_EX2984_CASENT0746787	Pseudoneoponera_sublaevis
