raw	clean
Simopelta_anomma_EX2352_INB0003695155	Simopelta_anomma
Simopelta_pergandei_cf_D1957_CASENT0052744	Simopelta_pergandei
Simopelta_pergandei_EX2289_CASENT0648673	Simopelta_pergandei
Simopelta_curvata_EX2353_UFV-LABECOL-000383	Simopelta_curvata
Simopelta_jeckylli_EX1753_CASENT0636949	Simopelta_jeckylli
Simopelta_minima_EX2354_ANTWEB1038199	Simopelta_minima
Simopelta_jtl005_EX2357_CASENT0649762	Simopelta_jtl
Simopelta_andersoni_EX1575_CASENT0635057	Simopelta_andersoni
Simopelta_vieirai_EX3003_CASENT0914502	Simopelta_vieirai
Simopelta_jtl004_EX2279_CASENT0637159	Simopelta_jtl
Simopelta_jtl004_EX2371_CASENT0637233	Simopelta_jtl
Simopelta_paeminosa_EX2264_CASENT0631424	Simopelta_paeminosa
Simopelta_transversa_EX3001_CASENT0914499	Simopelta_transversa
Simopelta_laevigata_EX3004_CASENT0914503	Simopelta_laevigata
Simopelta_jtl003_EX2360_CASENT0636697	Simopelta_jtl
Simopelta_breviscapa_EX3002_CASENT0914501	Simopelta_breviscapa
Simopelta_longinoda_EX3138_CASENT0644435	Simopelta_longinoda
Simopelta_longinoda_EX2283_CASENT0644435	Simopelta_longinoda
