raw	clean
Camponotus_micragyne_BBX864	Camponotus_micragyne
Camponotus_posteropilus_D2353	Camponotus_posteropilus
Camponotus_thomasseti_MAMI0086	Camponotus_thomasseti
Camponotus_kutteri_D2022	Camponotus_kutteri
Camponotus_philippinensis_cf_D1170	Camponotus_philippinensis
Camponotus_adustus_D1483	Camponotus_adustus
Camponotus_mackayensis_D1062	Camponotus_mackayensis
Camponotus_ephippiatus_D2024	Camponotus_ephippiatus
Camponotus_macromischoides_D2369	Camponotus_macromischoides
Camponotus_christophei_D2737	Camponotus_christophei
Camponotus_thysanopus_D2061	Camponotus_thysanopus
Camponotus_vicinus_D2526	Camponotus_vicinus
Camponotus_yogi_D2145	Camponotus_yogi
Camponotus_americanus_D1919a	Camponotus_americanus
Camponotus_laevissimus_D1896	Camponotus_laevissimus
Camponotus_modoc_D1897a	Camponotus_modoc
Camponotus_obscuripes_D1900a	Camponotus_obscuripes
Camponotus_aegaeus_D2031	Camponotus_aegaeus
Camponotus_lateralis_D1998	Camponotus_lateralis
Camponotus_semirufus_D2036	Camponotus_semirufus
Camponotus_kiusiuensis_D2040	Camponotus_kiusiuensis
Camponotus_texanus_D1920	Camponotus_texanus
Camponotus_quadrinotatus_D1515	Camponotus_quadrinotatus
Camponotus_fallax_BBX867	Camponotus_fallax
Camponotus_hyatti_D0296	Camponotus_hyatti
Camponotus_concolor_BBX475	Camponotus_concolor
Camponotus_putatus_D1485	Camponotus_putatus
Camponotus_radovae_MAMI0630	Camponotus_radovae
Camponotus_cuneiscapus_D2746	Camponotus_cuneiscapus
Camponotus_sericeus_D1473	Camponotus_sericeus
Camponotus_buchneri_D1466	Camponotus_buchneri
Camponotus_polyrhachioides_D1467	Camponotus_polyrhachioides
Camponotus_rotundinodis_D1468	Camponotus_rotundinodis
Camponotus_aberrans_D1463	Camponotus_aberrans
Camponotus_brookei_D1474	Camponotus_brookei
Camponotus_thadeus_D2231	Camponotus_thadeus
Camponotus_aeneopilosus_D1510	Camponotus_aeneopilosus
Camponotus_inflatus_D2248	Camponotus_inflatus
Camponotus_gambeyi_D2286	Camponotus_gambeyi
Camponotus_pulchellus_nr1_D2288	Camponotus_pulchellus
Camponotus_innexus_D2244	Camponotus_innexus
Camponotus_chalceus_D2199	Camponotus_chalceus
Camponotus_inverallensis_D2251	Camponotus_inverallensis
