raw	clean
Leptomyrmex_burwelli	Leptomyrmex_burwelli
Leptomyrmex_dolichoscapus	Leptomyrmex_dolichoscapus
Leptomyrmex_garretti	Leptomyrmex_garretti
Leptomyrmex_tibialis	Leptomyrmex_tibialis
Leptomyrmex_nigriventris	Leptomyrmex_nigriventris
Leptomyrmex_wiburdi	Leptomyrmex_wiburdi
Leptomyrmex_cnemidatus	Leptomyrmex_cnemidatus
Leptomyrmex_erythrocephalus	Leptomyrmex_erythrocephalus
Leptomyrmex_geniculatus	Leptomyrmex_geniculatus
Leptomyrmex_nigriceps	Leptomyrmex_nigriceps
Leptomyrmex_pallens	Leptomyrmex_pallens
Leptomyrmex_rufithorax	Leptomyrmex_rufithorax
Leptomyrmex_rufipes	Leptomyrmex_rufipes
Leptomyrmex_ruficeps	Leptomyrmex_ruficeps
Leptomyrmex_rothneyi	Leptomyrmex_rothneyi
Leptomyrmex_mjobergi	Leptomyrmex_mjobergi
Leptomyrmex_varians	Leptomyrmex_varians
Leptomyrmex_unicolor	Leptomyrmex_unicolor
Leptomyrmex_niger	Leptomyrmex_niger
Leptomyrmex_fragilis	Leptomyrmex_fragilis
Leptomyrmex_darlingtoni	Leptomyrmex_darlingtoni
Leptomyrmex_puberulus	Leptomyrmex_puberulus
Leptomyrmex_flavitarsus	Leptomyrmex_flavitarsus
