raw	clean
Linepithema_angulatum	Linepithema_angulatum
Linepithema_cryptobioticum	Linepithema_cryptobioticum
Linepithema_piliferum	Linepithema_piliferum
Linepithema_tsachila	Linepithema_tsachila
Linepithema_keiteli	Linepithema_keiteli
Linepithema_dispertitum	Linepithema_dispertitum
Linepithema_pulex	Linepithema_pulex
Linepithema_aztecoides	Linepithema_aztecoides
Linepithema_neotropicum	Linepithema_neotropicum
Linepithema_cerradense	Linepithema_cerradense
Linepithema_oblongum	Linepithema_oblongum
Linepithema_gallardoi	Linepithema_gallardoi
Linepithema_anathema	Linepithema_anathema
Linepithema_micans	Linepithema_micans
