raw	clean
Polyrhachis_equina	Polyrhachis_equina
Polyrhachis_flavibasis	Polyrhachis_flavibasis
Polyrhachis_hexacantha	Polyrhachis_hexacantha
Polyrhachis_semipolita	Polyrhachis_semipolita
Polyrhachis_ornata	Polyrhachis_ornata
Polyrhachis_turneri	Polyrhachis_turneri
Polyrhachis_cupreata	Polyrhachis_cupreata
Polyrhachis_rufifemur	Polyrhachis_rufifemur
Polyrhachis_argentosa	Polyrhachis_argentosa
Polyrhachis_clio	Polyrhachis_clio
Polyrhachis_ammon	Polyrhachis_ammon
Polyrhachis_loweryi	Polyrhachis_loweryi
Polyrhachis_kaipi	Polyrhachis_kaipi
Polyrhachis_aurea	Polyrhachis_aurea
Polyrhachis_lata	Polyrhachis_lata
Polyrhachis_sokolova	Polyrhachis_sokolova
Polyrhachis_senilis	Polyrhachis_senilis
Polyrhachis_gab	Polyrhachis_gab
Polyrhachis_thrinax	Polyrhachis_thrinax
Polyrhachis_sexspinosa	Polyrhachis_sexspinosa
Polyrhachis_furcata	Polyrhachis_furcata
Polyrhachis_mucronata	Polyrhachis_mucronata
Polyrhachis_armata	Polyrhachis_armata
Polyrhachis_dives	Polyrhachis_dives
Polyrhachis_lacteipennis	Polyrhachis_lacteipennis
Polyrhachis_saevissima	Polyrhachis_saevissima
Polyrhachis_bicolor	Polyrhachis_bicolor
Polyrhachis_danum	Polyrhachis_danum
Polyrhachis_lepida	Polyrhachis_lepida
Polyrhachis_robsoni	Polyrhachis_robsoni
Polyrhachis_brevinoda	Polyrhachis_brevinoda
Polyrhachis_mackayi	Polyrhachis_mackayi
Polyrhachis_monteithi	Polyrhachis_monteithi
Polyrhachis_abbreviata	Polyrhachis_abbreviata
Polyrhachis_boltoni	Polyrhachis_boltoni
Polyrhachis_olybria	Polyrhachis_olybria
Polyrhachis_ypsilon	Polyrhachis_ypsilon
Polyrhachis_lamellidens	Polyrhachis_lamellidens
Polyrhachis_bihamata	Polyrhachis_bihamata
Polyrhachis_decemdentata	Polyrhachis_decemdentata
Polyrhachis_revoili	Polyrhachis_revoili
Polyrhachis_schlueteri	Polyrhachis_schlueteri
Polyrhachis_viscosa	Polyrhachis_viscosa
Polyrhachis_schistacea	Polyrhachis_schistacea
Polyrhachis_gagates	Polyrhachis_gagates
Polyrhachis_andromache	Polyrhachis_andromache
Polyrhachis_foreli	Polyrhachis_foreli
Polyrhachis_illaudata	Polyrhachis_illaudata
Polyrhachis_beccarii	Polyrhachis_beccarii
Polyrhachis_vindex	Polyrhachis_vindex
Polyrhachis_inermis	Polyrhachis_inermis
