raw	clean
Tetramorium_scytalum	Tetramorium_scytalum
Tetramorium_taylori	Tetramorium_taylori
Tetramorium_venator	Tetramorium_venator
Tetramorium_validiusculum	Tetramorium_validiusculum
Tetramorium_sericeiventre	Tetramorium_sericeiventre
Tetramorium_tosii	Tetramorium_tosii
Tetramorium_impurum	Tetramorium_impurum
Tetramorium_caespitum	Tetramorium_caespitum
Tetramorium_atratulum	Tetramorium_atratulum
Tetramorium_kutteri	Tetramorium_kutteri
Tetramorium_transversinode	Tetramorium_transversinode
Tetramorium_anodontion	Tetramorium_anodontion
Tetramorium_delagoense	Tetramorium_delagoense
Tetramorium_valky	Tetramorium_valky
Tetramorium_plesiarum	Tetramorium_plesiarum
Tetramorium_bessonii	Tetramorium_bessonii
Tetramorium_pleganon	Tetramorium_pleganon
Tetramorium_kelleri	Tetramorium_kelleri
Tetramorium_ibycterum	Tetramorium_ibycterum
Tetramorium_dalek	Tetramorium_dalek
Tetramorium_ranarum	Tetramorium_ranarum
Tetramorium_alperti	Tetramorium_alperti
Tetramorium_severini	Tetramorium_severini
Tetramorium_cognatum	Tetramorium_cognatum
Tetramorium_sikorae	Tetramorium_sikorae
Tetramorium_proximum	Tetramorium_proximum
Tetramorium_rumo	Tetramorium_rumo
Tetramorium_mackae	Tetramorium_mackae
Tetramorium_hobbit	Tetramorium_hobbit
Tetramorium_bonibony	Tetramorium_bonibony
Tetramorium_popell	Tetramorium_popell
Tetramorium_andrei	Tetramorium_andrei
Tetramorium_electrum	Tetramorium_electrum
Tetramorium_norvigi	Tetramorium_norvigi
Tetramorium_malagasy	Tetramorium_malagasy
Tetramorium_steinheili	Tetramorium_steinheili
Tetramorium_ambatovy	Tetramorium_ambatovy
Tetramorium_spinosum	Tetramorium_spinosum
Tetramorium_hispidum	Tetramorium_hispidum
