raw	clean
Royidris_notorthotenes	Royidris_notorthotenes
Royidris_diminuta	Royidris_diminuta
Royidris_etiolata	Royidris_etiolata
Royidris_longiseta	Royidris_longiseta
Royidris_gravipuncta	Royidris_gravipuncta
Royidris_shuckardi	Royidris_shuckardi
Royidris_peregrina	Royidris_peregrina
Royidris_singularis	Royidris_singularis
Royidris_robertsoni	Royidris_robertsoni
Royidris_admixta	Royidris_admixta
Royidris_clarinodis	Royidris_clarinodis
Royidris_depilosa	Royidris_depilosa
Royidris_anxietas	Royidris_anxietas
