raw	clean
Diacamma_indicum_D2621_CASENT0260416	Diacamma_indicum
Diacamma_geometricum_EX2682_ENT00047849	Diacamma_geometricum
Diacamma_intricatum_EX2324_CASENT0634273	Diacamma_intricatum
Diacamma_magdalenae_EX2692_ENT00007536	Diacamma_magdalenae
Diacamma_rugosum_EX1574_CASENT0634818	Diacamma_rugosum
Diacamma_pallidum_D0530_CASENT0106139	Diacamma_pallidum
Diacamma_mj_timor01_EX3059_CASENT0650356	Diacamma_mj
Diacamma_violaceum_D1990_USNMENT01117448	Diacamma_violaceum
Diacamma_mj_sp1_EX3017_CASENT0650195	Diacamma_mj
Diacamma_leve_EX2560_CASENT0887815	Diacamma_leve
Diacamma_schoedli_EX2561_CASENT0887816	Diacamma_schoedli
