raw	clean
Ectomomyrmex_sauteri_EX2672_ENT00007359	Ectomomyrmex_sauteri
Ectomomyrmex_astutus_D2074_CASENT0882082	Ectomomyrmex_astutus
Ectomomyrmex_th01_EX2961_CASENT0273368	Ectomomyrmex_th
Ectomomyrmex_zhengi_EX2660_MCZ-ENT00759860	Ectomomyrmex_zhengi
Ectomomyrmex_th02_EX2962_CASENT0271599	Ectomomyrmex_th
Ectomomyrmex_javanus_D2075_CASENT0882083	Ectomomyrmex_javanus
Ectomomyrmex_lobocarenus_EX2957_CASENT0235335	Ectomomyrmex_lobocarenus
Ectomomyrmex_pylixy_D1932a_CASENT0863372	Ectomomyrmex_pylixy
Ectomomyrmex_pylixy_EX2963_CASENT0278864	Ectomomyrmex_pylixy
Ectomomyrmex_ph02_EX2959_CASENT0266733	Ectomomyrmex_ph
Ectomomyrmex_leeuwenhoeki_D1151_CASENT0106306	Ectomomyrmex_leeuwenhoeki
Ectomomyrmex_modiglianii_D2076_CASENT0882102	Ectomomyrmex_modiglianii
Ectomomyrmex_overbecki_EX2689_ENT00007921	Ectomomyrmex_overbecki
Ectomomyrmex_annamitus_D1931a_CASENT0863371	Ectomomyrmex_annamitus
Ectomomyrmex_th05_EX2740_CASENT0374097	Ectomomyrmex_th
Ectomomyrmex_th04_EX2964_CASENT0288512	Ectomomyrmex_th
Ectomomyrmex_ph03_EX2960_CASENT0265852	Ectomomyrmex_ph
Ectomomyrmex_acutus_EX3065_CASENT0650362	Ectomomyrmex_acutus
Ectomomyrmex_ruficornis_EX2694_JTLC000008604	Ectomomyrmex_ruficornis
Ectomomyrmex_striatulus_D2077_CASENT0882073	Ectomomyrmex_striatulus
Ectomomyrmex_simillimus_EX3022_CASENT0650200	Ectomomyrmex_simillimus
Ectomomyrmex_mj_sp7_EX3021_CASENT0650199	Ectomomyrmex_mj
Ectomomyrmex_simillimus_EX2958_CASENT0923418	Ectomomyrmex_simillimus
Ectomomyrmex_aciculatus_EX3020_CASENT0650198	Ectomomyrmex_aciculatus
Ectomomyrmex_scobinus_EX3005_CASENT0923477	Ectomomyrmex_scobinus
