raw	clean
Euponera_fossigera_EX2725_CASENT0010958	Euponera_fossigera
Euponera_wroughtonii_EX2726_CASENT0872814	Euponera_wroughtonii
Euponera_wroughtonii_EX2723_BLF1562-13--1	Euponera_wroughtonii
Euponera_afr02_EX2733_CASENT0135374	Euponera_afr
Euponera_brunoi_EX2732_CASENT0783100	Euponera_brunoi
Euponera_sharpi_EX2325_CASENT0634629	Euponera_sharpi
Euponera_sjostedti_EX2734_CASENT0286677	Euponera_sjostedti
Euponera_sjostedti_D2072_CASENT0882091	Euponera_sjostedti
Euponera_sjostedti_EX2722_CASENT0872801	Euponera_sjostedti
Euponera_vohitravo_MAMI0762_CASENT0247288	Euponera_vohitravo
Euponera_antsiraka_MAMI0758_HJR102_30_4	Euponera_antsiraka
Euponera_tahary_MAMI0760_CASENT0162397	Euponera_tahary
Euponera_zoro_MAMI0761_CASENT0045619	Euponera_zoro
Euponera_daraina_MAMI0522_CASENT0043300	Euponera_daraina
Euponera_rovana_MAMI0759_CASENT0318041	Euponera_rovana
Euponera_gorogota_MAMI0523_CASENT0166009	Euponera_gorogota
Euponera_maeva_MAMI0526_CASENT0034340	Euponera_maeva
Euponera_agnivo_MAMI0521_CASENT0078358	Euponera_agnivo
Euponera_sikorae_BBX470_CASENT0347713	Euponera_sikorae
Euponera_haratsingy_MAMI0524_CASENT0195184	Euponera_haratsingy
Euponera_ivolo_MAMI0525_CASENT0050330	Euponera_ivolo
Euponera_mialy_MAMI0527_CASENT0497667	Euponera_mialy
Euponera_nosy_MAMI0528_CASENT0231239	Euponera_nosy
