raw	clean
Hypoponera_mg007_MAMI0751_CASENT0243383	Hypoponera_mg
Hypoponera_mg027_MAMI1245_CASENT0140546	Hypoponera_mg
Hypoponera_mg106_MAMI1203_CASENT0140702	Hypoponera_mg
Hypoponera_mg117_MAMI1268_CASENT0164368	Hypoponera_mg
Hypoponera_ragusai_D2466_CASENT0818943	Hypoponera_ragusai
Hypoponera_ragusai_D2084_CASENT0882113	Hypoponera_ragusai
Hypoponera_ragusai_MAMI0611_CASENT0700999	Hypoponera_ragusai
Hypoponera_punctatissima_D3612_CASENT0884378	Hypoponera_punctatissima
Hypoponera_punctatissima_D3621_CASENT0884388	Hypoponera_punctatissima
Hypoponera_ergatandria_EX2786_CASENT0356474	Hypoponera_ergatandria
Hypoponera_ergatandria_EX2797_CASENT0351350	Hypoponera_ergatandria
Hypoponera_ergatandria_D2459_CASENT0888109	Hypoponera_ergatandria
Hypoponera_ergatandria_EX2802_CASENT0774326	Hypoponera_ergatandria
Hypoponera_ergatandria_MAMI0637_CASENT0148704	Hypoponera_ergatandria
Hypoponera_ergatandria_MAMI1267_CASENT0160001	Hypoponera_ergatandria
Hypoponera_ergatandria_MAMI0742_CASENT0261090	Hypoponera_ergatandria
Hypoponera_ergatandria_MAMI0638_CASENT0429614	Hypoponera_ergatandria
Hypoponera_dulcis_EX2754_CASENT0401823	Hypoponera_dulcis
Hypoponera_dulcis_EX2808_CASENT0783280	Hypoponera_dulcis
Hypoponera_dulcis_EX2783_CASENT0128475	Hypoponera_dulcis
Hypoponera_dulcis_EX2785_CASENT0356835	Hypoponera_dulcis
Hypoponera_jtl038_EX3032_CASENT0650231	Hypoponera_jtl
Hypoponera_jtl024_EX3030_CASENT0650253	Hypoponera_jtl
Hypoponera_jtl025_EX3031_CASENT0650228	Hypoponera_jtl
Hypoponera_psw_my01_D2575_CASENT0886664	Hypoponera_psw
Hypoponera_ludovicae_MAMI0598_CASENT0060629	Hypoponera_ludovicae
Hypoponera_cn01_EX2822_CASENT0188745	Hypoponera_cn
Hypoponera_my13_EX2776_CASENT0391772	Hypoponera_my
Hypoponera_mm01_EX2823_CASENT0097234	Hypoponera_mm
Hypoponera_psw_cn01_D2574_CASENT0886663	Hypoponera_psw
Hypoponera_psw_my10_D2582_CASENT0886671	Hypoponera_psw
Hypoponera_mj_fogo07_EX3073_CASENT0650370	Hypoponera_mj
Hypoponera_monticola_D2085_CASENT0270526	Hypoponera_monticola
Hypoponera_javana_EX2815_CASENT0919893	Hypoponera_javana
Hypoponera_psw_au01_D2591_CASENT0886680	Hypoponera_psw
Hypoponera_mj_mad02_EX3071_CASENT0650368	Hypoponera_mj
Hypoponera_psw_my08_D2580_CASENT0886669	Hypoponera_psw
Hypoponera_psw_my12_D2584_CASENT0886673	Hypoponera_psw
Hypoponera_johannae_MAMI0596_CASENT0132745	Hypoponera_johannae
Hypoponera_mg026_MAMI0636_CASENT0377978	Hypoponera_mg
Hypoponera_mg056_MAMI0755_CASENT0786998	Hypoponera_mg
Hypoponera_mg110_MAMI1438_CASENT0162189	Hypoponera_mg
Hypoponera_mj_weam01_EX3072_CASENT0650369	Hypoponera_mj
Hypoponera_psw_au05_D2595_CASENT0886684	Hypoponera_psw
Hypoponera_psw_au02_D2618_CASENT0886707	Hypoponera_psw
Hypoponera_psw_au06_D2596_CASENT0886685	Hypoponera_psw
Hypoponera_eutrepta_D2080_CASENT0882074	Hypoponera_eutrepta
Hypoponera_psw_my05_D2577_CASENT0886666	Hypoponera_psw
Hypoponera_psw_my16_D2585_CASENT0886674	Hypoponera_psw
Hypoponera_psw_my11_D2583_CASENT0886672	Hypoponera_psw
Hypoponera_psw_my06_D2578_CASENT0886667	Hypoponera_psw
Hypoponera_psw_my07_D2579_CASENT0886668	Hypoponera_psw
Hypoponera_sky_f_EX2824_CASENT0919895	Hypoponera_sky
Hypoponera_pruinosa_D2083_CASENT0882071	Hypoponera_pruinosa
Hypoponera_pruinosa_EX3070_CASENT0650367	Hypoponera_pruinosa
Hypoponera_parva_EX2281_CASENT0635099	Hypoponera_parva
Hypoponera_psw_pe08_D2590_CASENT0886679	Hypoponera_psw
Hypoponera_jtl028_EX3041_CASENT0650268	Hypoponera_jtl
Hypoponera_jtl008_EX3036_CASENT0650254	Hypoponera_jtl
Hypoponera_psw_do02_D2865_CASENT0886864	Hypoponera_psw
Hypoponera_psw_do03_D2866_CASENT0886865	Hypoponera_psw
Hypoponera_jtl016_EX3039_CASENT0648789	Hypoponera_jtl
Hypoponera_aliena_EX3044_CASENT0650282	Hypoponera_aliena
Hypoponera_aliena_EX2810_CASENT0923397	Hypoponera_aliena
Hypoponera_aliena_D2588_CASENT0886677	Hypoponera_aliena
Hypoponera_opaciceps_EX3127_CASENT0650656	Hypoponera_opaciceps
Hypoponera_opaciceps_EX2316_CASENT0647095	Hypoponera_opaciceps
Hypoponera_opaciceps_nr1_D2082_CASENT0882110	Hypoponera_opaciceps
Hypoponera_opaciceps_nr1_D2572_CASENT0886661	Hypoponera_opaciceps
Hypoponera_vc02_EX2820_CASENT0729645	Hypoponera_vc
Hypoponera_psw_cu01_D2870_CASENT0886869	Hypoponera_psw
Hypoponera_opaciceps_nr3_D2573_CASENT0886662	Hypoponera_opaciceps
Hypoponera_opaciceps_nr3_D2863_CASENT0886862	Hypoponera_opaciceps
Hypoponera_opaciceps_nr2_D2867_CASENT0886866	Hypoponera_opaciceps
Hypoponera_opaciceps_nr2_D2862_CASENT0886861	Hypoponera_opaciceps
Hypoponera_opaciceps_nr2_D2571_CASENT0886660	Hypoponera_opaciceps
Hypoponera_opaciceps_nr2_D2087_CASENT0882112	Hypoponera_opaciceps
Hypoponera_opaciceps_pampana_EX3121_CASENT0650641	Hypoponera_opaciceps
Hypoponera_opaciceps_pampana_D2868_CASENT0886867	Hypoponera_opaciceps
Hypoponera_eduardi_D2864_CASENT0886863	Hypoponera_eduardi
Hypoponera_eduardi_EX3125_CASENT0650651	Hypoponera_eduardi
Hypoponera_eduardi_MAMI0594_CASENT0158872	Hypoponera_eduardi
Hypoponera_eduardi_MAMI1437_CASENT0175220	Hypoponera_eduardi
Hypoponera_dias14_EX3114_CASENT0650633	Hypoponera_dias
Hypoponera_dias27_EX3113_CASENT0650632	Hypoponera_dias
Hypoponera_inexorata_EX2317_CASENT0647598	Hypoponera_inexorata
Hypoponera_jtl036_EX3051_CASENT0650303	Hypoponera_jtl
Hypoponera_jtl022_EX3028_CASENT0650248	Hypoponera_jtl
Hypoponera_jtl037_EX3052_CASENT0632480	Hypoponera_jtl
Hypoponera_gracilicornis_EX2285_CASENT0649097	Hypoponera_gracilicornis
Hypoponera_jtl003_EX3034_JTLC000002246	Hypoponera_jtl
Hypoponera_jtl013_EX3038_CASENT0637308	Hypoponera_jtl
Hypoponera_jtl021_EX3040_CASENT0601668	Hypoponera_jtl
Hypoponera_dias01_EX3118_CASENT0650638	Hypoponera_dias
Hypoponera_dias24_EX3120_CASENT0650640	Hypoponera_dias
Hypoponera_dias02_1_EX3122_CASENT0650642	Hypoponera_dias
Hypoponera_leveillei_D2081_CASENT0882075	Hypoponera_leveillei
Hypoponera_jtl026_EX3043_CASENT0650271	Hypoponera_jtl
Hypoponera_jtl029_EX3045_CASENT0650286	Hypoponera_jtl
Hypoponera_psw_pe07_D2589_CASENT0886678	Hypoponera_psw
Hypoponera_nitidula_EX1578_CASENT0618228	Hypoponera_nitidula
Hypoponera_psw_hn01_D2869_CASENT0886868	Hypoponera_psw
Hypoponera_boliviana_ms_EX2812_CASENT0919829	Hypoponera_boliviana
Hypoponera_foreli_EX3116_CASENT0650635	Hypoponera_foreli
Hypoponera_jtl023_EX3029_CASENT0650214	Hypoponera_jtl
Hypoponera_jtl002_EX3033_CASENT0650256	Hypoponera_jtl
Hypoponera_jtl034_EX3042_CASENT0650270	Hypoponera_jtl
Hypoponera_jtl032_EX3048_CASENT0650275	Hypoponera_jtl
Hypoponera_jtl010_EX3128_CASENT0650662	Hypoponera_jtl
Hypoponera_jtl035_EX3050_CASENT0650296	Hypoponera_jtl
Hypoponera_opacior_EX3046_CASENT0650262	Hypoponera_opacior
Hypoponera_opacior_EX2819_CASENT0766197	Hypoponera_opacior
Hypoponera_trigona_EX2233_CASENT0635113	Hypoponera_trigona
Hypoponera_dias19_2_EX3119_CASENT0650639	Hypoponera_dias
Hypoponera_dias19_2_EX3049_CASENT0650260	Hypoponera_dias
Hypoponera_distinguenda_EX2292_CASENT0649079	Hypoponera_distinguenda
Hypoponera_jtl006_EX3035_CASENT0650257	Hypoponera_jtl
Hypoponera_dias25_EX3123_CASENT0650645	Hypoponera_dias
Hypoponera_jtl031_EX3047_CASENT0650289	Hypoponera_jtl
Hypoponera_psw_pe03_D2587_CASENT0886676	Hypoponera_psw
Hypoponera_dias20_EX3124_CASENT0650648	Hypoponera_dias
Hypoponera_psw_pe01_D2586_CASENT0886675	Hypoponera_psw
Hypoponera_spei_EX2766_CASENT0923396	Hypoponera_spei
Hypoponera_spei_D2460_CASENT0257019	Hypoponera_spei
Hypoponera_spei_EX2809_CASENT0785139	Hypoponera_spei
Hypoponera_natalensis_EX2762_CASENT0923395	Hypoponera_natalensis
Hypoponera_sulcatinasis_EX2767_CASENT0217347	Hypoponera_sulcatinasis
Hypoponera_transvaalensis_D2467_CASENT0821431	Hypoponera_transvaalensis
Hypoponera_exigua_EX2769_CASENT0226547	Hypoponera_exigua
Hypoponera_jeanneli_EX2758_CASENT0923394	Hypoponera_jeanneli
Hypoponera_jeanneli_EX2782_CASENT0128290	Hypoponera_jeanneli
Hypoponera_fatiga_EX2792_CASENT0356457	Hypoponera_fatiga
Hypoponera_fatiga_EX2768_CASENT0417324	Hypoponera_fatiga
Hypoponera_fatiga_EX2791_CASENT0356532	Hypoponera_fatiga
