raw	clean
Mesoponera_weberi_D2394_CASENT0815823	Mesoponera_weberi
Mesoponera_weberi_EX2709_CASENT0923387	Mesoponera_weberi
Mesoponera_weberi_EX2721_CASENT0355045	Mesoponera_weberi
Mesoponera_afr02_EX2707_CASENT0923386	Mesoponera_afr
Mesoponera_afr02_EX2720_CASENT0356035	Mesoponera_afr
Mesoponera_afr02_EX2710_CASENT0923388	Mesoponera_afr
Mesoponera_afr02_EX2711_CASENT0317060	Mesoponera_afr
Mesoponera_elisae_EX2714_CASENT0777848	Mesoponera_elisae
Mesoponera_elisae_EX2705_CASENT0066899	Mesoponera_elisae
Mesoponera_elisae_MAMI0585_CASENT0292390	Mesoponera_elisae
Mesoponera_elisae_MAMI0749_CASENT0803835	Mesoponera_elisae
Mesoponera_afrc_zm02_D2397_CASENT0254421	Mesoponera_afrc
Mesoponera_afrc_zm02_EX2719_CASENT0355032	Mesoponera_afrc
Mesoponera_ambigua_EX2326_CASENT0629612	Mesoponera_ambigua
Mesoponera_ambigua_D2393_CASENT0254413	Mesoponera_ambigua
Mesoponera_ambigua_D2398_CASENT0815530	Mesoponera_ambigua
Mesoponera_ambigua_EX2717_CASENT0355299	Mesoponera_ambigua
Mesoponera_caffraria_EX2708_CASENT0402826	Mesoponera_caffraria
Mesoponera_caffraria_D2106_CASENT0882094	Mesoponera_caffraria
Mesoponera_caffraria_EX2715_CASENT0775993	Mesoponera_caffraria
Mesoponera_caffraria_D2399_CASENT0816544	Mesoponera_caffraria
Mesoponera_caffraria_EX2712_CASENT0746601	Mesoponera_caffraria
Mesoponera_subiridescens_EX2713_CASENT0785051	Mesoponera_subiridescens
Mesoponera_subiridescens_EX2716_CASENT0776449	Mesoponera_subiridescens
Mesoponera_subiridescens_EX2364_CASENT0619018	Mesoponera_subiridescens
Mesoponera_subiridescens_EX2718_CASENT0355130	Mesoponera_subiridescens
Mesoponera_melanaria_D2497_CASENT0249169	Mesoponera_melanaria
Mesoponera_melanaria_MAMI1445_CASENT0159885	Mesoponera_melanaria
Mesoponera_rubra_EX2337_CASENT0634162	Mesoponera_rubra
Mesoponera_psw_my01_D2822_CASENT0886722	Mesoponera_psw
Mesoponera_australis_EX2575_CASENT0887831	Mesoponera_australis
Mesoponera_mj_sp6_EX3024_CASENT0650202	Mesoponera_mj
Mesoponera_papuana_cf_EX2336_CASENT0635356	Mesoponera_papuana
Mesoponera_papuana_EX3023_CASENT0650201	Mesoponera_papuana
