raw	clean
Platythyrea_arnoldi_D2118_CASENT0842276	Platythyrea_arnoldi
Platythyrea_prizo_EX2303_CASENT0649090	Platythyrea_prizo
Platythyrea_clypeata_D2119_CASENT0882081	Platythyrea_clypeata
Platythyrea_gracillima_EX2345_CASENT0629506	Platythyrea_gracillima
Platythyrea_occidentalis_D2413_CASENT0250055	Platythyrea_occidentalis
Platythyrea_bicuspis_BBX518_CASENT0329258	Platythyrea_bicuspis
Platythyrea_mg02_MAMI0589_CASENT0390483	Platythyrea_mg
Platythyrea_mg03_MAMI0590_CASENT0161943	Platythyrea_mg
Platythyrea_mg04_MAMI0591_CASENT0034834	Platythyrea_mg
Platythyrea_quadridenta_EX2347_CASENT0634801	Platythyrea_quadridenta
Platythyrea_conradti_D2407_CASENT0815027	Platythyrea_conradti
Platythyrea_afrc_za01_D2405_CASENT0255804	Platythyrea_afrc
Platythyrea_lamellosa_D0529_CASENT0106138	Platythyrea_lamellosa
Platythyrea_arthuri_MAMI0746_CASENT0804646	Platythyrea_arthuri
Platythyrea_mg01_MAMI0747_CASENT0300183	Platythyrea_mg
Platythyrea_sinuata_D2121_CASENT0882098	Platythyrea_sinuata
Platythyrea_angusta_D2117_CASENT0882095	Platythyrea_angusta
Platythyrea_punctata_EX1591_JTLC000014870	Platythyrea_punctata
Platythyrea_turneri_EX2578_CASENT0887838	Platythyrea_turneri
Platythyrea_parallela_EX2346_CASENT0634780	Platythyrea_parallela
Platythyrea_tricuspidata_D1989_USNMENT01117356	Platythyrea_tricuspidata
Platythyrea_mocquerysi_MAMI0748_CASENT0373141	Platythyrea_mocquerysi
Platythyrea_modesta_D2120_CASENT0882085	Platythyrea_modesta
Platythyrea_tenuis_EX2348_CASENT0639728	Platythyrea_tenuis
Platythyrea_frontalis_D2395_CASENT0815010	Platythyrea_frontalis
Platythyrea_cribrinodis_D2412_CASENT0815135	Platythyrea_cribrinodis
Platythyrea_schultzei_D2414a_CASENT0815127	Platythyrea_schultzei
Platythyrea_afrc_tz01_D2401_CASENT0235669	Platythyrea_afrc
