raw	clean
Rasopone_cubitalis_EX1437_CASENT0633282	Rasopone_cubitalis
Rasopone_pa01_EX2986_CASENT0923421	Rasopone_pa
Rasopone_rupinicola_EX2985_CASENT0217567	Rasopone_rupinicola
Rasopone_lunaris_EX2216_CASENT0644556	Rasopone_lunaris
Rasopone_jtl047_EX2214_CASENT0646302	Rasopone_jtl
Rasopone_jtl049_EX2215_CASENT0644557	Rasopone_jtl
Rasopone_jtl027_EX1430_CASENT0633216	Rasopone_jtl
Rasopone_jtl029_EX1452_CASENT0633053	Rasopone_jtl
Rasopone_cryptergates_EX1450_INB0003660648	Rasopone_cryptergates
Rasopone_jtl030_EX1453_CASENT0633075	Rasopone_jtl
Rasopone_guatemalensis_EX1412_CASENT0633224	Rasopone_guatemalensis
Rasopone_ferruginea_EX1971_CASENT0640257	Rasopone_ferruginea
Rasopone_minuta_EX1461_CASENT0611483	Rasopone_minuta
Rasopone_mesoamericana_EX1454_JTLC000015360	Rasopone_mesoamericana
Rasopone_subcubitalis_EX1457_CASENT0614335	Rasopone_subcubitalis
Rasopone_costaricensis_EX1966_CASENT0644253	Rasopone_costaricensis
Rasopone_panamensis_EX1410_JTLC000014019	Rasopone_panamensis
Rasopone_jtl034_EX1972_CASENT0640282	Rasopone_jtl
Rasopone_jtl035_EX1973_CASENT0640453	Rasopone_jtl
Rasopone_pluviselva_EX1449_INB0004099727	Rasopone_pluviselva
Rasopone_politognatha_EX1416_CASENT0612523	Rasopone_politognatha
