raw	clean
Neivamyrmex_swainsonii_M169	Neivamyrmex_swainsonii
Neivamyrmex_adnepos_M236	Neivamyrmex_adnepos
Neivamyrmex_alfaroi_M240	Neivamyrmex_alfaroi
Neivamyrmex_distans_M242	Neivamyrmex_distans
Neivamyrmex_gibbatus_M139	Neivamyrmex_gibbatus
Neivamyrmex_impudens_M237	Neivamyrmex_impudens
Neivamyrmex_melanocephalus_M154	Neivamyrmex_melanocephalus
Neivamyrmex_cf_nyensis_M296	Neivamyrmex_nyensis
Neivamyrmex_compressinodis_M235	Neivamyrmex_compressinodis
Neivamyrmex_asper_M233	Neivamyrmex_asper
Neivamyrmex_sumichrasti_M151	Neivamyrmex_sumichrasti
Neivamyrmex_opacithorax_M276	Neivamyrmex_opacithorax
Neivamyrmex_kiowapache_M275	Neivamyrmex_kiowapache
Neivamyrmex_californicus_M272	Neivamyrmex_californicus
Neivamyrmex_texanus_M274	Neivamyrmex_texanus
