raw	clean
Gnamptogenys_haenschi_GAB161	Gnamptogenys_haenschi
Gnamptogenys_concinna_GAB60	Gnamptogenys_concinna
Gnamptogenys_volcano_EX1409	Gnamptogenys_volcano
Gnamptogenys_annulata_EX1284	Gnamptogenys_annulata
Gnamptogenys_hartmani_EX1351	Gnamptogenys_hartmani
Gnamptogenys_kempfi_GAB24	Gnamptogenys_kempfi
Gnamptogenys_regularis_EX1385	Gnamptogenys_regularis
Gnamptogenys_horni_GAB156	Gnamptogenys_horni
Gnamptogenys_sulcata_EX1399	Gnamptogenys_sulcata
Gnamptogenys_tortuolosa_GAB15	Gnamptogenys_tortuolosa
Gnamptogenys_acuminata_GAB61	Gnamptogenys_acuminata
Gnamptogenys_ericae_GAB81	Gnamptogenys_ericae
Gnamptogenys_alfaroi_EX1332	Gnamptogenys_alfaroi
Gnamptogenys_continua_GAB137	Gnamptogenys_continua
Gnamptogenys_interrupta_GAB193	Gnamptogenys_interrupta
Gnamptogenys_stellae_EX1389	Gnamptogenys_stellae
Gnamptogenys_sp_GAB33	Gnamptogenys_sp
Gnamptogenys_boliviensis_GAB98	Gnamptogenys_boliviensis
