raw	clean
Rhytidoponera_kurandensis_RHY09	Rhytidoponera_kurandensis
Rhytidoponera_foreli_RHY05	Rhytidoponera_foreli
Rhytidoponera_sp_RHY03	Rhytidoponera_sp
Rhytidoponera_sp_RHY04	Rhytidoponera_sp
Rhytidoponera_purpurea_RHY16	Rhytidoponera_purpurea
Rhytidoponera_croesus_RHY17	Rhytidoponera_croesus
Rhytidoponera_victoriae_RHY08	Rhytidoponera_victoriae
Rhytidoponera_dubia_RHY01	Rhytidoponera_dubia
Rhytidoponera_sp_RHY02	Rhytidoponera_sp
Rhytidoponera_metallica_RHY06	Rhytidoponera_metallica
Rhytidoponera_versicolor_RHY11	Rhytidoponera_versicolor
Rhytidoponera_acanthoponeroides_RHY14	Rhytidoponera_acanthoponeroides
Rhytidoponera_numeensis_RHY12	Rhytidoponera_numeensis
Rhytidoponera_fulgens_RHY13	Rhytidoponera_fulgens
Rhytidoponera_laticeps_RHY24	Rhytidoponera_laticeps
Rhytidoponera_punctata_RHY28	Rhytidoponera_punctata
Rhytidoponera_incisa_RHY27	Rhytidoponera_incisa
Rhytidoponera_sp_RHY37	Rhytidoponera_sp
Rhytidoponera_cristata_RHY36	Rhytidoponera_cristata
Rhytidoponera_haeckeli_RHY18	Rhytidoponera_haeckeli
Rhytidoponera_eremita_RHY26	Rhytidoponera_eremita
Rhytidoponera_sp_RHY30	Rhytidoponera_sp
Rhytidoponera_sp_RHY20	Rhytidoponera_sp
Rhytidoponera_reflexa_RHY21	Rhytidoponera_reflexa
Rhytidoponera_sp_RHY33	Rhytidoponera_sp
Rhytidoponera_cerastes_RHY35	Rhytidoponera_cerastes
