raw	clean
Myrmicocrypta_tuberculata_1278	Myrmicocrypta_tuberculata
Myrmicocrypta_tuberculata_525	Myrmicocrypta_tuberculata
Myrmicocrypta_boliviana_1295	Myrmicocrypta_boliviana
Myrmicocrypta_unidentata_1176	Myrmicocrypta_unidentata
Myrmicocrypta_unidentata_1253	Myrmicocrypta_unidentata
Myrmicocrypta_unidentata_1279	Myrmicocrypta_unidentata
Myrmicocrypta_longinoda_1230	Myrmicocrypta_longinoda
Myrmicocrypta_longinoda_1239	Myrmicocrypta_longinoda
Myrmicocrypta_longinoda_1284	Myrmicocrypta_longinoda
Myrmicocrypta_ednaella_1203	Myrmicocrypta_ednaella
Myrmicocrypta_ednaella_1204	Myrmicocrypta_ednaella
Myrmicocrypta_bucki_516	Myrmicocrypta_bucki
Myrmicocrypta_occipitalis_1183	Myrmicocrypta_occipitalis
Myrmicocrypta_occipitalis_519	Myrmicocrypta_occipitalis
Myrmicocrypta_occipitalis_1257	Myrmicocrypta_occipitalis
Myrmicocrypta_occipitalis_517	Myrmicocrypta_occipitalis
Myrmicocrypta_spinosa_1224	Myrmicocrypta_spinosa
Myrmicocrypta_spinosa_1199	Myrmicocrypta_spinosa
Myrmicocrypta_spinosa_531	Myrmicocrypta_spinosa
Myrmicocrypta_camargoi_408	Myrmicocrypta_camargoi
Myrmicocrypta_erectapilosa_1252	Myrmicocrypta_erectapilosa
Myrmicocrypta_erectapilosa_1272	Myrmicocrypta_erectapilosa
Myrmicocrypta_urichi_1232	Myrmicocrypta_urichi
Myrmicocrypta_urichi_1267	Myrmicocrypta_urichi
Myrmicocrypta_urichi_009	Myrmicocrypta_urichi
Myrmicocrypta_urichi_1207	Myrmicocrypta_urichi
Myrmicocrypta_urichi_1126	Myrmicocrypta_urichi
Myrmicocrypta_urichi_1213	Myrmicocrypta_urichi
Myrmicocrypta_ca_ednaella_1266	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_1242	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_1154	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_1229	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_1166	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_1227	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_440	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_530	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_1150	Myrmicocrypta_ca
Myrmicocrypta_ca_ednaella_1192	Myrmicocrypta_ca
Myrmicocrypta_buenzlii_327	Myrmicocrypta_buenzlii
Myrmicocrypta_uncinata_1202	Myrmicocrypta_uncinata
Myrmicocrypta_uncinata_1222	Myrmicocrypta_uncinata
Myrmicocrypta_uncinata_529	Myrmicocrypta_uncinata
Myrmicocrypta_uncinata_1156	Myrmicocrypta_uncinata
Myrmicocrypta_uncinata_1287	Myrmicocrypta_uncinata
Myrmicocrypta_uncinata_1288	Myrmicocrypta_uncinata
