raw	clean
Cryptopone_rotundiceps_EX2559_CASENT0887813	Cryptopone_rotundiceps
Cryptopone_rotundiceps_EX3066_CASENT0650363	Cryptopone_rotundiceps
Cryptopone_ochracea_EX1613_CASENT0637778	Cryptopone_ochracea
Cryptopone_sauteri_EX2691_ENT00007421	Cryptopone_sauteri
Cryptopone_gilvagrande_EX1545_CASENT0614525	Cryptopone_gilvagrande
Cryptopone_gilva_EX1194_CASENT0749266	Cryptopone_gilva
Cryptopone_gilvatumida_EX1725_CASENT0641046	Cryptopone_gilvatumida
Cryptopone_guatemalensis_EX1191_CASENT0623898	Cryptopone_guatemalensis
Cryptopone_fusciceps_D2073_CASENT0882080	Cryptopone_fusciceps
Cryptopone_testacea_D1958_CASENT0106308	Cryptopone_testacea
Cryptopone_testacea_EX1180_CASENT0635385	Cryptopone_testacea
Cryptopone_my07_EX2746_CASENT0700813	Cryptopone_my
Cryptopone_butteli_EX2739_CASENT0923392	Cryptopone_butteli
Cryptopone_butteli_EX2745_CASENT0390060	Cryptopone_butteli
Cryptopone_typhlos_EX3067_CASENT0650364	Cryptopone_typhlos
Cryptopone_typhlos_EX2748_CASENT0391901	Cryptopone_typhlos
Cryptopone_typhlos_EX2743_CASENT0386062	Cryptopone_typhlos
Cryptopone_typhlos_EX2738_CASENT0923391	Cryptopone_typhlos
Cryptopone_typhlos_D1930a_CASENT0863370	Cryptopone_typhlos
