raw	clean
Parvaponera_darwinii_MAMI0588_CASENT0300040	Parvaponera_darwinii
Parvaponera_darwinii_EX1610_CASENT0637361	Parvaponera_darwinii
Parvaponera_darwinii_EX2747_CASENT0389076	Parvaponera_darwinii
Parvaponera_afr01_EX3641_CASENT0356584	Parvaponera_afr
Parvaponera_afr01_EX3638_CASENT0408624	Parvaponera_afr
Parvaponera_afr01_EX3637_CASENT0906223	Parvaponera_afr
Parvaponera_suspecta_D1959_CASENT0106310	Parvaponera_suspecta
Parvaponera_suspecta_EX3639_CASENT0066706	Parvaponera_suspecta
Parvaponera_suspecta_EX3642_CASENT0776822	Parvaponera_suspecta
Parvaponera_suspecta_EX2749_CASENT0782827	Parvaponera_suspecta
