raw	clean
Ponera_jtl001_EX2356_INB0003621410	Ponera_jtl
Ponera_psw_my02_D2598_CASENT0886687	Ponera_psw
Ponera_leae_EX1558_JTLC000006828	Ponera_leae
Ponera_pennsylvanica_EX1197_CASENT0749269	Ponera_pennsylvanica
Ponera_coarctata_EX1174_LACMENT140941	Ponera_coarctata
Ponera_testacea_EX2972_CASENT0906705	Ponera_testacea
Ponera_exotica_EX1552_CASENT0611162	Ponera_exotica
Ponera_bawana_EX2662_MCZ-ENT00759946	Ponera_bawana
Ponera_japonica_D2124_CASENT0008646	Ponera_japonica
Ponera_colaensis_D2122_CASENT0249221	Ponera_colaensis
Ponera_clavicornis_EX1624_CASENT0761218	Ponera_clavicornis
Ponera_adumbrans_EX1629_CASENT0159375	Ponera_adumbrans
Ponera_psw_my04_D2600_CASENT0886689	Ponera_psw
Ponera_petila_EX1630_CASENT0637782	Ponera_petila
Ponera_petila_cf_EX2676_ENT00028293	Ponera_petila
Ponera_swezeyi_EX1628_CASENT0637780	Ponera_swezeyi
Ponera_swezeyi_MAMI0745_CASENT0376164	Ponera_swezeyi
Ponera_incerta_D2123_CASENT0882069	Ponera_incerta
Ponera_ph02_EX2974_CASENT0265148	Ponera_ph
Ponera_ph03_EX2975_CASENT0268063	Ponera_ph
Ponera_ph01_EX2973_CASENT0266942	Ponera_ph
Ponera_psw_my01_D2619_CASENT0886708	Ponera_psw
Ponera_psw_my01_EX1179_CASENT0635390	Ponera_psw
Ponera_selenophora_nr_EX2744_CASENT0387469	Ponera_selenophora
Ponera_selenophora_EX2971_CASENT0923420	Ponera_selenophora
Ponera_mm01_D1962_CASENT0863468	Ponera_mm
Ponera_guangxiensis_EX1625_CASENT0761219	Ponera_guangxiensis
