raw	clean
Atta_mexicana_10732_MX	Atta_mexicana
Atta_mexicana_10735_HO	Atta_mexicana
Atta_insularis_10025_CU	Atta_insularis
Atta_insularis_10027_CU	Atta_insularis
Atta_texana_10739_US	Atta_texana
Atta_texana_9983_US	Atta_texana
Atta_colombica_10007_PN	Atta_colombica
Atta_colombica_10021_CR	Atta_colombica
Atta_cephalotes_10017_CR	Atta_cephalotes
Atta_cephalotes_10771_MX	Atta_cephalotes
Atta_cephalotes_9913_CO	Atta_cephalotes
Atta_cephalotes_10005_EC	Atta_cephalotes
Atta_cephalotes_9916_FG	Atta_cephalotes
Atta_cephalotes_10727_BR-MT	Atta_cephalotes
Atta_cephalotes_10009_PE	Atta_cephalotes
Atta_cephalotes_9991_BR-AM	Atta_cephalotes
Atta_robusta_9935_BR-ES	Atta_robusta
Atta_robusta_9936_BR-ES	Atta_robusta
Atta_sexdens_piriventris_3788_BR-RS	Atta_sexdens
Atta_sexdens_rubropilosa_9979_BR-MS	Atta_sexdens
Atta_sexdens_sexdens_3783_BR-AM	Atta_sexdens
Atta_sexdens_10726_BR-MA	Atta_sexdens
Atta_sexdens_10001_BR-PE	Atta_sexdens
Atta_sexdens_10051_BR-BA	Atta_sexdens
Atta_vollenweideri_9942_BR-MS	Atta_vollenweideri
Atta_vollenweideri_9985_AR	Atta_vollenweideri
Atta_saltensis_9947_BO	Atta_saltensis
Atta_vollenweideri_10092_PR	Atta_vollenweideri
Atta_goiana_9900_BR-MG	Atta_goiana
Atta_bisphaerica_9901_BR-MG	Atta_bisphaerica
Atta_bisphaerica_9903_BR-SP	Atta_bisphaerica
Atta_laevigata_9928_BR-PE	Atta_laevigata
Atta_laevigata_10065_BR-TO	Atta_laevigata
Atta_laevigata_10039_BR-SP	Atta_laevigata
Atta_laevigata_10043_BR-SP	Atta_laevigata
Atta_capiguara_9951_BR-MT	Atta_capiguara
Atta_capiguara_10750_BR-DF	Atta_capiguara
Atta_opaciceps_9970_BR-CE	Atta_opaciceps
Atta_opaciceps_10720_BR-BA	Atta_opaciceps
