raw	clean
Mycocepurus_goeldii_1495	Mycocepurus_goeldii
Mycocepurus_smithii_1496	Mycocepurus_smithii
Myrmicocrypta_tuberculata_1489	Myrmicocrypta_tuberculata
Myrmicocrypta_cf_ednaella_1540	Myrmicocrypta_ednaella
Myrmicocrypta_buenzlii_1541	Myrmicocrypta_buenzlii
Myrmicocrypta_elizabethae_1594	Myrmicocrypta_elizabethae
Myrmicocrypta_camargoi_1543	Myrmicocrypta_camargoi
Myrmicocrypta_occipitalis_1597	Myrmicocrypta_occipitalis
Myrmicocrypta_spinosa_1595	Myrmicocrypta_spinosa
Apterostigma_megacephala_EX408	Apterostigma_megacephala
Apterostigma_auriculatum_group_1590	Apterostigma_auriculatum
Apterostigma_auriculatum_1578	Apterostigma_auriculatum
Apterostigma_sp_nov_1542	Apterostigma_sp
Apterostigma_cf_goniodes_1536	Apterostigma_goniodes
Apterostigma_cf_manni_1585	Apterostigma_manni
Apterostigma_collare_1565	Apterostigma_collare
Apterostigma_jubatum_1583	Apterostigma_jubatum
Apterostigma_urichii_1587	Apterostigma_urichii
Apterostigma_dentigerum_1535	Apterostigma_dentigerum
Apterostigma_pilosum_group15_1579	Apterostigma_pilosum
Apterostigma_cf_peruvianum_1589	Apterostigma_peruvianum
Apterostigma_dorotheae_1571	Apterostigma_dorotheae
Cyatta_abscondita_1499	Cyatta_abscondita
Kalathomyrmex_emeryi_1453	Kalathomyrmex_emeryi
Mycetosoritis_hartmanni_1482	Mycetosoritis_hartmanni
Mycetarotes_acutus_1483	Mycetarotes_acutus
Mycetarotes_parallelus_1454	Mycetarotes_parallelus
Cyphomyrmex_costatus_1539	Cyphomyrmex_costatus
Cyphomyrmex_wheeleri_1463	Cyphomyrmex_wheeleri
Cyphomyrmex_longiscapus_1462	Cyphomyrmex_longiscapus
Cyphomyrmex_muelleri_1464	Cyphomyrmex_muelleri
Cyphomyrmex_muelleri_nic_1598	Cyphomyrmex_muelleri
Paramycetophylax_bruchi_1366	Paramycetophylax_bruchi
Paramycetophylax_bruchi_2350	Paramycetophylax_bruchi
Paramycetophylax_bruchi_2380	Paramycetophylax_bruchi
Cyphomyrmex_laevigatus_1591	Cyphomyrmex_laevigatus
Cyphomyrmex_transversus_1584	Cyphomyrmex_transversus
Cyphomyrmex_cornutus_1570	Cyphomyrmex_cornutus
Cyphomyrmex_rimosus_1460	Cyphomyrmex_rimosus
Cyphomyrmex_sp_nov_1461	Cyphomyrmex_sp
Mycetophylax_clorindae_a434	Mycetophylax_clorindae
Mycetophylax_asper_1351	Mycetophylax_asper
Mycetophylax_strigatus_group_sp1_1601	Mycetophylax_strigatus
Mycetophylax_auritus_1456	Mycetophylax_auritus
Mycetophylax_faunulus_1458	Mycetophylax_faunulus
Mycetophylax_morschi_1459	Mycetophylax_morschi
Mycetophylax_strigatus_group_sp2_1457	Mycetophylax_strigatus
Mycetophylax_conformis_1484	Mycetophylax_conformis
Mycetophylax_simplex_1502	Mycetophylax_simplex
Mycetagroicus_inflatus_1465	Mycetagroicus_inflatus
Mycetagroicus_triangularis_1493	Mycetagroicus_triangularis
Mycetomoellerius_papulatus_1485	Mycetomoellerius_papulatus
Mycetomoellerius_opulentus_1469	Mycetomoellerius_opulentus
Mycetomoellerius_cf_relictus_1497	Mycetomoellerius_relictus
Mycetomoellerius_zeteki_1538	Mycetomoellerius_zeteki
Xerolitor_explicatus_534	Xerolitor_explicatus
Sericomyrmex_scrobifer_1567	Sericomyrmex_scrobifer
Sericomyrmex_parvulus_1467	Sericomyrmex_parvulus
Sericomyrmex_parvulus_1552	Sericomyrmex_parvulus
Sericomyrmex_amabilis_1556	Sericomyrmex_amabilis
Sericomyrmex_bondari_1551	Sericomyrmex_bondari
Sericomyrmex_mayri_1549	Sericomyrmex_mayri
Paratrachymyrmex_intermedius_1470	Paratrachymyrmex_intermedius
Paratrachymyrmex_diversus_1471	Paratrachymyrmex_diversus
Paratrachymyrmex_bugnioni_1472	Paratrachymyrmex_bugnioni
Paratrachymyrmex_cornetzi_1537	Paratrachymyrmex_cornetzi
Trachymyrmex_arizonensis_1473	Trachymyrmex_arizonensis
Trachymyrmex_septentrionalis_1486	Trachymyrmex_septentrionalis
Trachymyrmex_smithi_1503	Trachymyrmex_smithi
Amoimyrmex_striatus_1490	Amoimyrmex_striatus
Atta_texana_1479	Atta_texana
Acromyrmex_versicolor_1474	Acromyrmex_versicolor
Acromyrmex_balzani_1487	Acromyrmex_balzani
Acromyrmex_lundii_1476	Acromyrmex_lundii
Acromyrmex_octospinosus_1475	Acromyrmex_octospinosus
Acromyrmex_heyeri_1477	Acromyrmex_heyeri
Pseudoatta_sp_nov_1478	Pseudoatta_sp
