raw	clean
Colobopsis_anderseni_D2294	Colobopsis_anderseni
Colobopsis_sommeri_nr_D2298	Colobopsis_sommeri
Colobopsis_gasseri_D2293	Colobopsis_gasseri
Colobopsis_conithorax_D0271	Colobopsis_conithorax
Colobopsis_quadriceps_D2709	Colobopsis_quadriceps
Colobopsis_polynesica_D1518	Colobopsis_polynesica
Colobopsis_dentata_D2291	Colobopsis_dentata
Colobopsis_vitiensis_D0542	Colobopsis_vitiensis
Colobopsis_moeschi_lygaea_D1482	Colobopsis_moeschi
Colobopsis_vitrea_D1516	Colobopsis_vitrea
Colobopsis_truncata_D2045	Colobopsis_truncata
Colobopsis_impressa_D2705	Colobopsis_impressa
Colobopsis_etiolata_D2704	Colobopsis_etiolata
Colobopsis_papago_D2708	Colobopsis_papago
Colobopsis_cylindrica_nr_D1944	Colobopsis_cylindrica
Colobopsis_my03_D2016	Colobopsis_my
Colobopsis_my01_D2014	Colobopsis_my
Colobopsis_leonardi_D1517	Colobopsis_leonardi
Colobopsis_my04_D2017	Colobopsis_my
