Crematogaster_meso_TH1 Crematogaster_ortho_TH1
Crematogaster_ortho_MAY2 Crematogaster_reticulata
Crematogaster_biroi_smythiesii Crematogaster_binghamii
Crematogaster_ortho_KALI1 Crematogaster_baduvi
Crematogaster_fritzi_MIC Crematogaster_fritzi
Crematogaster_ortho_MAY1 Crematogaster_cf_gavapiga
Crematogaster_rasoherinae_maha Crematogaster_rasoherinae
Crematogaster_neo_ARG1 Crematogaster_quadriformis
Crematogaster_ortho_ARG1 Crematogaster_victima
Crematogaster_cf_torosa Crematogaster_torosa
Crematogaster_meso_KN1 Crematogaster_cf_dolens
Crematogaster_madecassa_amdi Crematogaster_madecassa
Crematogaster_ortho04_isa Crematogaster_telolafy
Crematogaster_ortho05_nb Crematogaster_mpanjono
Crematogaster_ortho08_vaky Crematogaster_volamena
Crematogaster_mesonotalis_AUS c_mesonotalis
Crematogaster_meijerei_2 Crematogaster_meijerei
Crematogaster_stadelmanni_GA Crematogaster_stadelmanni
Crematogaster_ranavalonae3_ahe Crematogaster_ranavalonae
Crematogaster_agnetis_may Crematogaster_agnetis
Crematogaster_aberrans_IN Crematogaster_aberrans
Crematogaster_ss_MAY6 Crematogaster_fraxatrix
Crematogaster_ss17_anky Crematogaster_deegeri
Crematogaster_ss19_mal Crematogaster_ramamy
Crematogaster_ss09_ahe Crematogaster_dentata
Crematogaster_ss02_mora Crematogaster_sewellii
Crematogaster_ss23_loy Crematogaster_malahelo
Crematogaster_ss11_ahe Crematogaster_maina
Crematogaster_ss04_ame Crematogaster_dentata
Crematogaster_ss18_anka Crematogaster_ramamy
Crematogaster_ss07_kba Crematogaster_mafybe
Crematogaster_ss24_rano Crematogaster_alafara
Crematogaster_ss22_isa Crematogaster_bara
Crematogaster_ss08_anka Crematogaster_lobata
Crematogaster_ss_TZ4 Crematogaster_cf_rufigena
Crematogaster_ss_TZ1 Crematogaster_cf_latuka
Crematogaster_ss_KN1 Crematogaster_cf_excisa
Crematogaster_ss_MOZ1 Crematogaster_castanea
Crematogaster_ss_YE1 Crematogaster_flaviventris
Crematogaster_ss10_atbao Crematogaster_tricolor
Crematogaster_ss_TZ3 Crematogaster_gerstaeckeri-group
Crematogaster_ss_AUS1 Crematogaster_cf_laeviceps
Crematogaster_ss_MAY3 Crematogaster_cf_ochracea
Crematogaster_ss_MAY5 Crematogaster_cf_rogenhoferi
Crematogaster_colobo_CAM1 Crematogaster_cf_cylindriceps
Crematogaster_politula Crematogaster_sagei
Crematogaster_ss_TH1 Crematogaster_cf_kojimai
Crematogaster_obnigra_SOL Crematogaster_obnigra
Crematogaster_ss_TZ5 Crematogaster_cf_bequaerti
Crematogaster_sph_TZ1 Crematogaster_cf_luctans
Crematogaster_ss_CAR1 Crematogaster_cf_chlorotica
Crematogaster_sph_KN1 Crematogaster_cf_concava
Crematogaster_atopo_GA1 Crematogaster_cf_gabonensis
Crematogaster_atopo_KN2 Crematogaster_wellmani
Crematogaster_ss_ZA1 Crematogaster_cf_desperans
Crematogaster_malala_ank Crematogaster_malala
Crematogaster_hova_complex5_tovy Crematogaster_hova-complex
Crematogaster_sabatra_mds Crematogaster_sabatra
Crematogaster_mahery_andri Crematogaster_mahery
Crematogaster_nosibeensis_nb Crematogaster_nosibeensis
Crematogaster_grevei_mar Crematogaster_grevei
Crematogaster_sisa_man Crematogaster_sisa
Crematogaster_ss05_ivo Crematogaster_madagascariensis
Crematogaster_ss21_avy Crematogaster_hazolava
Crematogaster_ss01_kao Crematogaster_kelleri
Crematogaster_atopo_KN1 Crematogaster_cf_buchneri
Crematogaster_atopo_CAR2 Crematogaster_cf_depressa
Crematogaster_ss15_mva Crematogaster_tsisitsilo
Crematogaster_ss_GC1 Crematogaster_ionia
Crematogaster_ss_KALI1 Crematogaster_fruhstorferi
Crematogaster_ss_AUS4 Crematogaster_mjobergi
