raw	clean
Heteroponera_monticola_GPC16	Heteroponera_monticola
Heteroponera_carinifrons_GPC09	Heteroponera_carinifrons
Heteroponera_brounii_GPC08	Heteroponera_brounii
Heteroponera_imbellis_GPC12	Heteroponera_imbellis
Heteroponera_relicta_GPC17	Heteroponera_relicta
Heteroponera_rhodopygea_GPC20	Heteroponera_rhodopygea
Heteroponera_mayri_COD03	Heteroponera_mayri
Heteroponera_dolo_GPC10	Heteroponera_dolo
Heteroponera_robusta_GPC21	Heteroponera_robusta
Heteroponera_sp_GPC22	Heteroponera_sp
Heteroponera_inermis_GPC13	Heteroponera_inermis
Heteroponera_flava_PAN04	Heteroponera_flava
Heteroponera_dentinodis_HET11	Heteroponera_dentinodis
Heteroponera_panamensis_PAN01	Heteroponera_panamensis
