raw	clean
Holcoponera_bisulca_GAB151	Holcoponera_bisulca
Holcoponera_relicta_GAB18	Holcoponera_relicta
Holcoponera_mina_GAB195	Holcoponera_mina
Holcoponera_atrata_GAB182	Holcoponera_atrata
Holcoponera_cribrata_EX1294	Holcoponera_cribrata
Holcoponera_albiclava_GAB188	Holcoponera_albiclava
Holcoponera_crenaticeps_GAB187	Holcoponera_crenaticeps
Holcoponera_solomonensis_GAB190	Holcoponera_solomonensis
Holcoponera_extra_GAB150	Holcoponera_extra
Holcoponera_porcata_GAB153	Holcoponera_porcata
Holcoponera_strigata_EX1233	Holcoponera_strigata
Holcoponera_sp_GAB16	Holcoponera_sp
Holcoponera_avus_GAB199	Holcoponera_avus
Holcoponera_gracilis_GAB196	Holcoponera_gracilis
Holcoponera_latistriata_GAB155	Holcoponera_latistriata
Holcoponera_pleurodon_GAB31	Holcoponera_pleurodon
Holcoponera_striatula_GAB75	Holcoponera_striatula
Holcoponera_pernambucana_GAB134	Holcoponera_pernambucana
Holcoponera_moelleri_GAB74	Holcoponera_moelleri
