raw	clean
Chelaner_decuria	Chelaner_decuria
Chelaner_gilberti	Chelaner_gilberti
Chelaner_rubriceps	Chelaner_rubriceps
Chelaner_albipes	Chelaner_albipes
Chelaner_smithii	Chelaner_smithii
Chelaner_antarcticus	Chelaner_antarcticus
Chelaner_sculpturatus	Chelaner_sculpturatus
Chelaner_leae	Chelaner_leae
Chelaner_kiliani	Chelaner_kiliani
Chelaner_euryodon	Chelaner_euryodon
Chelaner_tambourinensis	Chelaner_tambourinensis
Chelaner_insolescens	Chelaner_insolescens
Chelaner_centralis	Chelaner_centralis
Chelaner_bifidum	Chelaner_bifidum
Chelaner_legulus	Chelaner_legulus
Chelaner_longinodis	Chelaner_longinodis
Chelaner_striatifrons	Chelaner_striatifrons
Chelaner_whitei	Chelaner_whitei
Chelaner_bicornis	Chelaner_bicornis
