raw	clean
Solenopsis_papuana	Solenopsis_papuana
Solenopsis_fugax	Solenopsis_fugax
Solenopsis_mameti	Solenopsis_mameti
Solenopsis_molesta	Solenopsis_molesta
Solenopsis_terricola	Solenopsis_terricola
Solenopsis_carolinensis	Solenopsis_carolinensis
Solenopsis_succinea	Solenopsis_succinea
Solenopsis_saudiensis	Solenopsis_saudiensis
Solenopsis_gnoma	Solenopsis_gnoma
Solenopsis_globularia	Solenopsis_globularia
Solenopsis_geminata	Solenopsis_geminata
Solenopsis_invicta	Solenopsis_invicta
Solenopsis_aurea	Solenopsis_aurea
Solenopsis_xyloni	Solenopsis_xyloni
