raw	clean
Tetraponera_pilosa	Tetraponera_pilosa
Tetraponera_latifrons	Tetraponera_latifrons
Tetraponera_aethiops	Tetraponera_aethiops
Tetraponera_andrei	Tetraponera_andrei
Tetraponera_anthracina	Tetraponera_anthracina
Tetraponera_mocquerysi	Tetraponera_mocquerysi
Tetraponera_schulthessi	Tetraponera_schulthessi
Tetraponera_natalensis	Tetraponera_natalensis
Tetraponera_caffra	Tetraponera_caffra
Tetraponera_manangotra	Tetraponera_manangotra
Tetraponera_inermis	Tetraponera_inermis
Tetraponera_merita	Tetraponera_merita
Tetraponera_variegata	Tetraponera_variegata
Tetraponera_grandidieri	Tetraponera_grandidieri
Tetraponera_hespera	Tetraponera_hespera
Tetraponera_hirsuta	Tetraponera_hirsuta
Tetraponera_phragmotica	Tetraponera_phragmotica
Tetraponera_ambigua	Tetraponera_ambigua
Tetraponera_ophthalmica	Tetraponera_ophthalmica
Tetraponera_parops	Tetraponera_parops
Tetraponera_attenuata	Tetraponera_attenuata
Tetraponera_nigra	Tetraponera_nigra
Tetraponera_nitida	Tetraponera_nitida
Tetraponera_difficilis	Tetraponera_difficilis
Tetraponera_binghami	Tetraponera_binghami
Tetraponera_polita	Tetraponera_polita
Tetraponera_tucurua	Tetraponera_tucurua
Tetraponera_punctulata	Tetraponera_punctulata
Tetraponera_rotula	Tetraponera_rotula
Tetraponera_laeviceps	Tetraponera_laeviceps
Tetraponera_mimula	Tetraponera_mimula
Tetraponera_mandibularis	Tetraponera_mandibularis
Tetraponera_fictrix	Tetraponera_fictrix
Tetraponera_sahlbergii	Tetraponera_sahlbergii
Tetraponera_rakotonis	Tetraponera_rakotonis
Tetraponera_hysterica	Tetraponera_hysterica
Tetraponera_morondaviensis	Tetraponera_morondaviensis
Tetraponera_perlonga	Tetraponera_perlonga
Tetraponera_penzigi	Tetraponera_penzigi
Tetraponera_tessmanni	Tetraponera_tessmanni
Tetraponera_clypeata	Tetraponera_clypeata
Tetraponera_emeryi	Tetraponera_emeryi
Tetraponera_microcarpa	Tetraponera_microcarpa
Tetraponera_allaborans	Tetraponera_allaborans
Tetraponera_extenuata	Tetraponera_extenuata
Tetraponera_modesta	Tetraponera_modesta
