Extraction Code	Taxon	Specimen Code
CS0159	Pheidole.desertorum	CASENT0339762
CS0224	Pheidole.xerophila	CASENT0339764
CS0301	Pheidole.dentata	CASENT0339768
CS0399	Pheidole.xanthogaster	CASENT0339769
CS0402	Pheidole.tristicula	CASENT0339770
CS0410	Pheidole.astur	CASENT0339771
CS0506	Pheidole.vorax	CASENT0339773
CS0507	Pheidole.cramptoni	CASENT0339774
PH1	Pheidole.epem070	CASENT0282484
PH1001	Pheidole.jtl190	CASENT0636642
PH1002	Pheidole.wardi	CASENT0636641
PH1003	Pheidole.roushae	CASENT0636640
PH1009	Pheidole.jtl177	CASENT0636634
PH1012	Pheidole.jtl178	CASENT0636631
PH1015	Pheidole.mackayi	CASENT0636628
PH1016	Pheidole.pubiventris	CASENT0636627
PH1018	Pheidole.fossimandibula	CASENT0636625
PH1020	Pheidole.jtl134	CASENT0636623
PH104	Pheidole.epem034	CASENT0199500
PH1043	Pheidole.mooreorum	CASENT0636600
PH1044	Pheidole.nebulosa	CASENT0636599
PH1048	Pheidole.arachnion	CASENT0636595
PH1049	Pheidole.rogeri	CASENT0636594
PH1050	Pheidole.psilogaster	CASENT0636593
PH1051	Pheidole.otisi	CASENT0636592
PH1053	Pheidole.tanyscapa	CASENT0636590
PH1054	Pheidole.kukrana	CASENT0636589
PH1057	Pheidole.deceptrix	CASENT0636586
PH1058	Pheidole.jtl196	CASENT0636585
PH1059	Pheidole.jtl202	CASENT0636584
PH1061	Pheidole.jtl170	CASENT0636582
PH1066	Pheidole.jtl198	CASENT0636577
PH1067	Pheidole.citrina	CASENT0636576
PH107	Pheidole.epem033	CASENT0199468
PH1074	Pheidole.oaxacana	CASENT0636651
PH1076	Pheidole.jtl200	CASENT0636653
PH1077	Pheidole.jtl201	CASENT0636654
PH1078	Pheidole.mantilla	CASENT0636655
PH1079	Pheidole.perpusilla	CASENT0635824
PH108	Pheidole.epem040	CASENT0199512
PH1081	Pheidole.hizemops	CASENT0635826
PH1082	Pheidole.amabilis	CASENT0635827
PH1083	Pheidole.hasticeps	CASENT0635828
PH1084	Pheidole.renae	CASENT0635829
PH1085	Pheidole.carinote	CASENT0635830
PH1087	Pheidole.lustrata	CASENT0635832
PH1088	Pheidole.carapuna	CASENT0635833
PH1089	Pheidole.jtl189	CASENT0635834
PH109	Pheidole.epem046	CASENT0199522
PH1091	Pheidole.angusticeps	CASENT0635836
PH1097	Pheidole.rhinomontana	CASENT0635842
