raw	clean
Brachyponera_sennaarensis_D2433_CASENT0815946	Brachyponera_sennaarensis
Brachyponera_lutea_EX2695_JTLC000006882	Brachyponera_lutea
Brachyponera_lutea_EX3074_CASENT0650371	Brachyponera_lutea
Brachyponera_pilidorsalis_EX2677_ZRC_HYM_0000558	Brachyponera_pilidorsalis
Brachyponera_chinensis_EX2358_CASENT0649763	Brachyponera_chinensis
Brachyponera_nigrita_EX2685_EX2685_ZRC_HYM_0000557	Brachyponera_nigrita
Brachyponera_christmasi_EX2558_CASENT0887814	Brachyponera_christmasi
Brachyponera_obscurans_MAMI0520_CASENT0059667	Brachyponera_obscurans
Brachyponera_obscurans_EX3075_CASENT0650372	Brachyponera_obscurans
Brachyponera_obscurans_EX2696_JTLC000006853	Brachyponera_obscurans
