raw	clean
Neoponera_concava_EX3089_DZUP549361	Neoponera_concava
Neoponera_schultzi_EX2438_UFV-LABECOL-000500	Neoponera_schultzi
Neoponera_venusta_EX2454_DZUP549414	Neoponera_venusta
Neoponera_venusta_EX2440_UFV-LABECOL-000492	Neoponera_venusta
Neoponera_venusta_EX3093_UFV-LABECOL-001934	Neoponera_venusta
Neoponera_commutata_EX2987_CASENT0765382	Neoponera_commutata
Neoponera_marginata_EX2434_CASENT0649897	Neoponera_marginata
Neoponera_gojira_EX2415_DZUP549444	Neoponera_gojira
Neoponera_mashpi_EX2406_DZUP549408	Neoponera_mashpi
Neoponera_laevigata_EX2449_ATPFOR2006	Neoponera_laevigata
Neoponera_mashpi_EX2446_MEPNINV38315-1	Neoponera_mashpi
Neoponera_mashpi_EX2277_CASENT0637827	Neoponera_mashpi
Neoponera_eleonorae_EX2405_MEPNINV30157	Neoponera_eleonorae
Neoponera_eleonorae_EX2419_CASENT0649895	Neoponera_eleonorae
Neoponera_ecu33723_EX2418_DZUP549355	Neoponera_ecu
Neoponera_aenescens_EX2288_CASENT0649098	Neoponera_aenescens
Neoponera_schoedli_EX2399_ICN003380	Neoponera_schoedli
Neoponera_carbonaria_EX2402_CASENT0649889	Neoponera_carbonaria
Neoponera_carbonaria_EX2444_CASENT0649898	Neoponera_carbonaria
Neoponera_schoedli_EX2412_CASENT0649893	Neoponera_schoedli
Neoponera_fusca_EX2408_CASENT0649890	Neoponera_fusca
Neoponera_fauveli_EX2447_CASENT0649899	Neoponera_fauveli
Neoponera_schultzi_2_EX2439_ATPFOR1991	Neoponera_schultzi
Neoponera_chyzeri_EX2410_CASENT0649891	Neoponera_chyzeri
Neoponera_chyzeri_EX2411_CASENT0649892	Neoponera_chyzeri
Neoponera_holcotyle_EX2428_ICN001374	Neoponera_holcotyle
Neoponera_hispida_EX2427_ICN004347	Neoponera_hispida
Neoponera_hispida_EX2420_UTIC00211977	Neoponera_hispida
Neoponera_emiliae_EX2250_JTLC000015100	Neoponera_emiliae
Neoponera_metanotalis_EX2435_UFV-LABECOL-000625	Neoponera_metanotalis
Neoponera_metanotalis_2_EX2422_ATPFOR1997	Neoponera_metanotalis
Neoponera_magnifica_4_EX2398_CASENT0649888	Neoponera_magnifica
Neoponera_magnifica_1_EX2432_ATPFOR1962	Neoponera_magnifica
Neoponera_magnifica_2_EX2401_ATPFOR1965	Neoponera_magnifica
Neoponera_cooki_EX2248_CASENT0646173	Neoponera_cooki
Neoponera_bra549385_EX2414_DZUP549385	Neoponera_bra
Neoponera_obscuricornis_EX2436_DZUP549364	Neoponera_obscuricornis
Neoponera_apicalis_EX2302_CASENT0649089	Neoponera_apicalis
Neoponera_verenae_EX2270_CASENT0635079	Neoponera_verenae
Neoponera_rostrata_EX2437_DZUP549441	Neoponera_rostrata
Neoponera_rostrata_EX3092_DZUP549430	Neoponera_rostrata
Neoponera_moesta_EX2282_CASENT0631798	Neoponera_moesta
Neoponera_bra1761_EX2425_ATPFOR1978	Neoponera_bra
Neoponera_carinulata_EX2245_CASENT0640212	Neoponera_carinulata
Neoponera_cavinodis_EX2246a_CASENT0649003	Neoponera_cavinodis
Neoponera_oberthueri_EX2452_DZUP549437	Neoponera_oberthueri
Neoponera_globularia_D2111_CASENT0862739	Neoponera_globularia
Neoponera_latinoda_EX2450_DZUP549353	Neoponera_latinoda
Neoponera_crenata_EX2451_CASENT0649900	Neoponera_crenata
Neoponera_bra164_EX2443_DZUP549354	Neoponera_bra
Neoponera_fiebrigi_EX2988_CASENT0872952	Neoponera_fiebrigi
Neoponera_goeldii_EX2448_MEPNINV37890	Neoponera_goeldii
Neoponera_donosoi_EX2416_CASENT0649894	Neoponera_donosoi
Neoponera_recava_EX2453_UTIC00212810	Neoponera_recava
Neoponera_luteola_EX2359_CASENT0649006	Neoponera_luteola
Neoponera_antecurvata_EX2296_CASENT0649083	Neoponera_antecurvata
Neoponera_rugosula_EX2253_INB0003606252	Neoponera_rugosula
Neoponera_striatinodis_EX2254_CASENT0636953	Neoponera_striatinodis
Neoponera_unidentata_EX1650_CASENT0636011	Neoponera_unidentata
Neoponera_fisheri_EX2456_CASENT0843090	Neoponera_fisheri
Neoponera_dismarginata_EX2278_CASENT0637094	Neoponera_dismarginata
Neoponera_solisi_EX2339_INB0003238942	Neoponera_solisi
Neoponera_theresiae_EX2307_CASENT0649094	Neoponera_theresiae
Neoponera_jtl021_EX2409_CASENT0610994	Neoponera_jtl
Neoponera_lineaticeps_EX2251_CASENT0644884	Neoponera_lineaticeps
Neoponera_ecu4862_EX2407_ATPFOR2001	Neoponera_ecu
Neoponera_bugabensis_EX2266_CASENT0619590	Neoponera_bugabensis
Neoponera_insignis_EX2273_CASENT0633623	Neoponera_insignis
Neoponera_villosa_cf2_EX2423_CASENT0249167	Neoponera_villosa
Neoponera_foetida_EX2274_CASENT0633624	Neoponera_foetida
Neoponera_villosa_EX2299_CASENT0649086	Neoponera_villosa
Neoponera_ecu2923_EX2417_MEPNINV2923	Neoponera_ecu
Neoponera_bactronica_EX2424_DZUP549372	Neoponera_bactronica
Neoponera_bactronica_EX2413_INPAHYM033801-2	Neoponera_bactronica
Neoponera_curvinodis_EX2403_INPAHYM033800	Neoponera_curvinodis
Neoponera_zuparkoi_EX2441_DZUP549348	Neoponera_zuparkoi
Neoponera_inversa_EX2249_CASENT0636952	Neoponera_inversa
Neoponera_inversa_EX2430_MEPNINV37891	Neoponera_inversa
Neoponera_inversa_EX2431_DZUP549387	Neoponera_inversa
Neoponera_inversa_EX2429_CASENT0649896	Neoponera_inversa
Neoponera_bucki_EX2442_CASENT0649902	Neoponera_bucki
Neoponera_bucki_EX2455_DZUP549431	Neoponera_bucki
