raw	clean
Odontomachus_assiniensis_D2396_CASENT0821680	Odontomachus_assiniensis
Odontomachus_assiniensis_EX2950_CASENT0354600	Odontomachus_assiniensis
Odontomachus_coquereli_BBX445_CASENT0347697	Odontomachus_coquereli
Odontomachus_latidens_EX2678_ENT00000649	Odontomachus_latidens
Odontomachus_procerus_EX2671_ENT00000647	Odontomachus_procerus
Odontomachus_minangkabau_EX2690_ENT00000653	Odontomachus_minangkabau
Odontomachus_rixosus_EX2256_CASENT0634866	Odontomachus_rixosus
Odontomachus_circulus_EX2666_MCZ-ENT00763395	Odontomachus_circulus
Odontomachus_fulgidus_EX2667_MCZ-ENT00760009	Odontomachus_fulgidus
Odontomachus_xizangensis_EX2668_MCZ-ENT00763604	Odontomachus_xizangensis
Odontomachus_cephalotes_EX2697_JTLC000006857	Odontomachus_cephalotes
Odontomachus_turneri_EX2954_CASENT0114965	Odontomachus_turneri
Odontomachus_tyrannicus_EX3006_CASENT0650184	Odontomachus_tyrannicus
Odontomachus_testaceus_EX3054_CASENT0650351	Odontomachus_testaceus
Odontomachus_testaceus_EX3008_CASENT0650186	Odontomachus_testaceus
Odontomachus_imperator_EX3010_CASENT0650188	Odontomachus_imperator
Odontomachus_opaculus_b_EX3055_CASENT0650352	Odontomachus_opaculus
Odontomachus_rufithorax_EX2952_CASENT0923416	Odontomachus_rufithorax
Odontomachus_saevissimus_EX3058_CASENT0650355	Odontomachus_saevissimus
Odontomachus_animosus_EX3077_MJ13282	Odontomachus_animosus
Odontomachus_papuanus_EX3007_CASENT0650185	Odontomachus_papuanus
Odontomachus_papuanus_EX3053_CASENT0650350	Odontomachus_papuanus
Odontomachus_angulatus_D2112_CASENT0270615	Odontomachus_angulatus
Odontomachus_floresensis_D2114_CASENT0882070	Odontomachus_floresensis
Odontomachus_ph02_EX2956_CASENT0266203	Odontomachus_ph
Odontomachus_malignus_EX3057_CASENT0650354	Odontomachus_malignus
Odontomachus_malignus_EX3027_CASENT0650205	Odontomachus_malignus
Odontomachus_hastatus_EX2290_CASENT0649099	Odontomachus_hastatus
Odontomachus_chelifer_EX2297_CASENT0649084	Odontomachus_chelifer
Odontomachus_meinerti_EX1577_CASENT0633582	Odontomachus_meinerti
Odontomachus_spissus_EX2342_CASENT0646079	Odontomachus_spissus
Odontomachus_biumbonatus_D2113_CASENT0882097	Odontomachus_biumbonatus
Odontomachus_opaciventris_EX3136_CASENT0631835	Odontomachus_opaciventris
Odontomachus_opaciventris_EX2272_CASENT0633457	Odontomachus_opaciventris
Odontomachus_clarus_EX2291_CASENT0643185	Odontomachus_clarus
Odontomachus_yucatecus_EX2293_CASENT0649080	Odontomachus_yucatecus
Odontomachus_chicomendesi_EX2340_CASENT0649078	Odontomachus_chicomendesi
Odontomachus_laticeps_EX2287_CASENT0647640	Odontomachus_laticeps
Odontomachus_brunneus_EX2341_CASENT0649761	Odontomachus_brunneus
Odontomachus_ruginodis_EX3078_CASENT0650423	Odontomachus_ruginodis
Odontomachus_scalptus_EX2257_CASENT0645980	Odontomachus_scalptus
Odontomachus_insularis_EX2255_CASENT0633933	Odontomachus_insularis
Odontomachus_panamensis_EX2308_CASENT0647073	Odontomachus_panamensis
Odontomachus_haematodus_EX2301_CASENT0649088	Odontomachus_haematodus
Odontomachus_troglodytes_BBX446_CASENT0347698	Odontomachus_troglodytes
Odontomachus_erythrocephalus_EX2315_CASENT0647094	Odontomachus_erythrocephalus
Odontomachus_erythrocephalus_EX3137_CASENT0636865	Odontomachus_erythrocephalus
Odontomachus_bauri_EX2275_CASENT0633704	Odontomachus_bauri
Odontomachus_simillimus_EX2953_CASENT0012708	Odontomachus_simillimus
Odontomachus_simillimus_MAMI0587_CASENT0159701	Odontomachus_simillimus
