raw	clean
Myopias_hania_EX2661_CASENT0713650	Myopias_hania
Myopias_maligna_EX2338_CASENT0634692	Myopias_maligna
Myopias_maligna_EX2993_CASENT0722234	Myopias_maligna
Myopias_concava_nr_EX2368_CASENT0634948	Myopias_concava
Myopias_concava_nr_D2108_CASENT0882100	Myopias_concava
Myopias_my05_EX2994_CASENT0386216	Myopias_my
Myopias_my06_EX2995_CASENT0923422	Myopias_my
Myopias_my11_EX3000_CASENT0131808	Myopias_my
Myopias_delta_EX3129_CASENT0650663	Myopias_delta
Myopias_mj_sp6_EX3018_CASENT0650196	Myopias_mj
Myopias_mj_utai_1_EX3061_CASENT0650358	Myopias_mj
Myopias_papua_EX3019_CASENT0650197	Myopias_papua
Myopias_mj_sp9_EX3060_CASENT0650357	Myopias_mj
Myopias_tenuis_D1033_CASENT0106254	Myopias_tenuis
Myopias_mj_ohu_1_EX3062_CASENT0650359	Myopias_mj
Myopias_bg02_EX3025_CASENT0650203	Myopias_bg
Myopias_bg02_EX3064_CASENT0650361	Myopias_bg
Myopias_my01_D0949_CASENT0179634	Myopias_my
Myopias_my01_EX2996_CASENT0386602	Myopias_my
Myopias_darioi_EX2990_CASENT0915974	Myopias_darioi
Myopias_ph01_EX2991_CASENT0267003	Myopias_ph
Myopias_ph02_EX2992_CASENT0265851	Myopias_ph
Myopias_my09_EX2998_CASENT0384742	Myopias_my
Myopias_my08_EX2997_CASENT0214983	Myopias_my
Myopias_breviloba_EX2687_ENT00007263	Myopias_breviloba
Myopias_breviloba_D2107_CASENT0882107	Myopias_breviloba
Myopias_breviloba_EX2999_CASENT0923423	Myopias_breviloba
