raw	clean
Sericomyrmex_saramama_938_1526_PE	Sericomyrmex_saramama
Sericomyrmex_maravalhas_1662_BR	Sericomyrmex_maravalhas
Sericomyrmex_scrobifer_915_1567_BR	Sericomyrmex_scrobifer
Sericomyrmex_opacus_931_1525_PA	Sericomyrmex_opacus
Sericomyrmex_parvulus_951_1467_PE	Sericomyrmex_parvulus
Sericomyrmex_mayri_944_1549_GY	Sericomyrmex_mayri
Sericomyrmex_bondari_967_1551_BR	Sericomyrmex_bondari
Sericomyrmex_nsp_3_941_1559_VE	Sericomyrmex_nsp
Sericomyrmex_amabilis_902_1553_EC	Sericomyrmex_amabilis
Sericomyrmex_saussurei_921_1524_PE	Sericomyrmex_saussurei
