n_ingroup_kept	outgroup_used	stem_len_inferred	stem_fraction	crown_fraction	chronos_status	chronos_reason	chronos_model	chronos_lambda	chronos_rate_cat	chronos_PHIIC	chronos_logLik	chronos_converged	chronos_ranking_criterion	n_chronos_trials	stem_mode	target_type	target_label	retained_tip	backbone_index
106	Stenamma_alas	0.13268736086499	0.13268736086499	0.86731263913501	selected_converged	NA	discrete	0.1	1	231.720648788899	-9.86032439444935	TRUE	PHIIC	15	crown	clade	Bazboltonia,Gnamptogenys	Acanthoponera	1
603	Proceratium_google	0.55850854983395	0.55850854983395	0.44149145016605	selected_nonconverged	NA	discrete	0.1	1	1312.9524473612	-53.4762236805992	FALSE	PHIIC	15	crown	clade	Platythyrea,Leptogenys	Anochetus	1
124	Monomorium_hanneli	6.49973	0.07577747479519	0.92422252520481	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Rostromyrmex,Leptothorax	Acanthomyrmex	1
22	Agraulomyrmex_TZ01	15.9426	0.342731494727536	0.657268505272464	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Acropyga	NA	1
5	Overbeckia_my01_D2498	0.039731	0.297318735922054	0.702681264077946	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Calomyrmex	NA	1
16	Polyrhachis_AU_A_D2316	0.158573	0.413137723864459	0.586862276135541	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Colobopsis	NA	1
110	Echinopla_australis	0.008575	0.0440308087291399	0.95596919127086	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Camponotus	NA	1
2	Overbeckia_my01_D2498	0.047246	0.339867494406998	0.660132505593002	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Echinopla	NA	1
2	Calomyrmex_albertisi	0.092236	0.690234228840829	0.309765771159171	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Overbeckia	NA	1
4	Camponotus_ephippiatus	0.286504	0.802453540969373	0.197546459030627	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Opisthopsis	NA	1
3	Camponotus_ephippiatus	0.254117	0.766888680321462	0.233111319678538	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Lathidris	NA	1
153	NA	0	1e-08	0.99999999	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	tip	Polyrhachis	NA	1
65	Procryptocerus_scabriusculus	0.579190216046052	0.579190216046052	0.420809783953948	selected_converged	NA	discrete	0.1	1	136.993857793293	-3.4969288966463	TRUE	PHIIC	15	outgroup	tip	Cephalotes	NA	1
110	Recurvidris_TH01	29.3002	0.408633231584818	0.591366768415182	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Crematogaster_macracantha,Crematogaster_kelleri	Crematogaster_aberrans	1
31	Crematogaster_lotti	0.07642	0.486844619991081	0.513155380008919	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Crematogaster_scutellaris,Crematogaster_pilosa	Crematogaster_coarctata	1
30	Forelius_damiani	6.06214	0.183456381241519	0.816543618758481	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Dorymyrmex	NA	1
8	Dorymyrmex_paranensis	18.0285	0.545591057735781	0.454408942264219	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Forelius	NA	1
9	Dorymyrmex_paranensis	10.1996	0.210162237186452	0.789837762813548	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Leptomyrmex	NA	1
80	Iberoformica_subrufa	0.037559	0.127219456017342	0.872780543982658	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Formica	NA	1
