pass	genus	action	reason	tip	tip_genus	core_node
1	Allomerus	drop_tip	minimal removal (kept 1 of Allomerus; core node 2564)	Allomerus_decemarticulatus	Allomerus	2564
2	Colobostruma	drop_tip	minimal removal (kept 1 of Colobostruma; core node 129)	Colobostruma_biconvexa	Colobostruma	129
3	Dicroaspis	drop_tip	minimal removal (kept 1 of Dicroaspis; core node 553)	Dicroaspis_km01	Dicroaspis	553
4	Epopostruma	drop_tip	minimal removal (kept 1 of Epopostruma; core node 127)	Epopostruma_monstrosa	Epopostruma	127
5	Formicoxenus	drop_tip	minimal removal (kept 1 of Formicoxenus; core node 3334)	Formicoxenus_provancheri	Formicoxenus	3334
6	Gauromyrmex	drop_tip	minimal removal (kept 1 of Gauromyrmex; core node 3339)	Gauromyrmex_bengkalisi	Gauromyrmex	3339
7	Lachnomyrmex	drop_tip	minimal removal (kept 1 of Lachnomyrmex; core node 165)	Lachnomyrmex_scrobiculatus	Lachnomyrmex	165
8	Lasiomyrma	drop_tip	minimal removal (kept 1 of Lasiomyrma; core node 3359)	Lasiomyrma_in01	Lasiomyrma	3359
9	Lenomyrmex	drop_tip	minimal removal (kept 1 of Lenomyrmex; core node 132)	Lenomyrmex_foveolatus	Lenomyrmex	132
10	Lividopone	drop_tip	minimal removal (kept 1 of Lividopone; core node 767)	Lividopone_livida	Lividopone	767
11	Makebapone	drop_tip	minimal removal (kept 1 of Makebapone; core node 1290)	Makebapone_ingesta	Makebapone	1290
12	Orectognathus	drop_tip	minimal removal (kept 1 of Orectognathus; core node 129)	Orectognathus_nanus	Orectognathus	129
13	Paratopula	drop_tip	minimal removal (kept 1 of Paratopula; core node 3341)	Paratopula_th01	Paratopula	3341
14	Proformica	drop_tip	minimal removal (kept 1 of Proformica; core node 885)	Proformica_mongolica	Proformica	885
15	Rossomyrmex	drop_tip	minimal removal (kept 1 of Rossomyrmex; core node 852)	Rossomyrmex_anatolicus	Rossomyrmex	852
16	Tyrannomyrmex	drop_tip	minimal removal (kept 1 of Tyrannomyrmex; core node 4040)	Tyrannomyrmex_legatus	Tyrannomyrmex	4040
17	Anoplolepis	drop_tip	minimal removal (kept 2 of Anoplolepis; core node 6896)	Anoplolepis_carinata	Anoplolepis	6896
18	Axinidris	drop_tip	minimal removal (kept 2 of Axinidris; core node 7586)	Axinidris_lignicola	Axinidris	7586
19	Cerapachys	drop_tip	minimal removal (kept 2 of Cerapachys; core node 7674)	Cerapachys_jacobsoni	Cerapachys	7674
20	Megalomyrmex	drop_tip	minimal removal (kept 2 of Megalomyrmex; core node 5327)	Megalomyrmex_balzani	Megalomyrmex	5327
21	Probolomyrmex	drop_tip	minimal removal (kept 2 of Probolomyrmex; core node 7804)	Probolomyrmex_tani	Probolomyrmex	7804
