tre	total	overlap	missing
acro	22	22	0
ambl	26	23	3
atti	82	70	12
atti2	44	41	3
atti3	86	74	12
bakb	224	202	22
basi	10	7	3
brach	6	5	1
camp	207	156	51
cata	35	34	1
ceph	63	61	2
crea	33	30	3
crem	127	115	12
cren	30	29	1
cres	13	5	8
cret	111	109	2
doli	48	39	9
dorm	47	47	0
dory	101	92	9
ecta	107	106	1
fori	65	47	18
form	82	79	3
lasi	49	44	5
lasi2	47	41	6
lept	22	22	0
mami	757	382	375
melo	25	0	25
mycr	21	19	2
mymi	67	35	32
myra	24	24	0
myrc	19	19	0
myre	67	62	5
myrm	140	113	27
nyla	36	36	0
ocym	20	19	1
phei	244	241	3
pogo	67	63	4
polyr	160	153	7
pone	533	529	4
pseu	149	146	3
pseu2	18	16	2
pseu3	14	14	0
seco	2	1	1
seri	11	10	1
sten	54	53	1
sten2	86	86	0
stru	357	356	1
syci	33	33	0
tapi	9	2	7
temn	80	73	7
temn2	2	2	0
temn3	9	9	0
vero	10	8	2
zalla	1719	1300	419
