tA	tB	nb_ovl
ambl_Stigmatomma_s1	ambl_Stigmatomma_s2	0
ambl_Stigmatomma_s1	ambl_Amblyopone_s0	0
ambl_Stigmatomma_s1	atti_Lenomyrmex_s0	0
ambl_Stigmatomma_s1	atti_Acromyrmex_s1	0
ambl_Stigmatomma_s1	atti_Sericomyrmex_s1	0
ambl_Stigmatomma_s1	atti_Myrmicocrypta_s1	0
ambl_Stigmatomma_s1	atti_Blepharidatta_s0	0
ambl_Stigmatomma_s1	atti_Basiceros_s0	0
ambl_Stigmatomma_s1	atti_Pilotrochus_s0	0
ambl_Stigmatomma_s1	atti_Tranopelta_s0	0
ambl_Stigmatomma_s1	atti_Pheidole_s1	0
ambl_Stigmatomma_s1	atti_Cephalotes_s0	0
ambl_Stigmatomma_s1	atti2_Sericomyrmex_s0	0
ambl_Stigmatomma_s1	atti2_Mycetomoellerius_s1	0
ambl_Stigmatomma_s1	atti2_Mycetagroicus_s0	0
ambl_Stigmatomma_s1	atti3_Pheidole_s1	0
ambl_Stigmatomma_s1	atti3_Lenomyrmex_s0	0
ambl_Stigmatomma_s1	atti3_Myrmicocrypta_s1	0
ambl_Stigmatomma_s1	atti3_Sericomyrmex_s1	0
ambl_Stigmatomma_s1	atti3_Acromyrmex_s1	0
ambl_Stigmatomma_s1	bakb_Trachymyrmex_s0	0
ambl_Stigmatomma_s1	bakb_Solenopsis_s0	0
ambl_Stigmatomma_s1	bakb_Adelomyrmex_s0	0
ambl_Stigmatomma_s1	bakb_Ocymyrmex_s0	0
ambl_Stigmatomma_s1	bakb_Kartidris_s0	0
ambl_Stigmatomma_s1	bakb_Harpagoxenus_s0	0
ambl_Stigmatomma_s1	bakb_Strongylognathus_s0	0
ambl_Stigmatomma_s1	bakb_Diplomorium_s0	0
ambl_Stigmatomma_s1	bakb_Goniomma_s0	0
ambl_Stigmatomma_s1	bakb_Opisthopsis_s0	0
ambl_Stigmatomma_s1	bakb_Echinopla_s0	0
ambl_Stigmatomma_s1	bakb_Cataglyphis_s0	0
ambl_Stigmatomma_s1	bakb_Nothomyrmecia_s0	0
ambl_Stigmatomma_s1	bakb_Anonychomyrma_s0	0
ambl_Stigmatomma_s1	bakb_Dorymyrmex_s0	0
ambl_Stigmatomma_s1	bakb_Cheliomyrmex_s0	0
ambl_Stigmatomma_s1	bakb_Dinoponera_s0	0
ambl_Stigmatomma_s1	bakb_Onychomyrmex_s0	0
ambl_Stigmatomma_s1	bakb_Discothyrea_s0	0
ambl_Stigmatomma_s1	basi_Basiceros_s1	0
ambl_Stigmatomma_s1	brach_Brachymyrmex_s1	0
ambl_Stigmatomma_s1	camp_Calomyrmex_s1	0
ambl_Stigmatomma_s1	camp_Polyrhachis_s2	0
ambl_Stigmatomma_s1	camp_Polyrhachis_s4	0
ambl_Stigmatomma_s1	camp_Polyrhachis_s5	0
ambl_Stigmatomma_s1	cata_Cataglyphis_s1	0
ambl_Stigmatomma_s1	ceph_Cephalotes_s1	0
ambl_Stigmatomma_s1	ceph_Cephalotes_s2	0
ambl_Stigmatomma_s1	crea_Crematogaster_s1	0
ambl_Stigmatomma_s1	crea_Crematogaster_s2	0
ambl_Stigmatomma_s1	crem_Cardiocondyla_s0	0
ambl_Stigmatomma_s1	crem_Poecilomyrma_s0	0
ambl_Stigmatomma_s1	crem_Ancyridris_s0	0
ambl_Stigmatomma_s1	crem_Crematogaster_s1	0
