tree	focal_sp	nb_mis_sp	nb_ovl_sp	iter
ambl_Stigmatomma_s1	Stigmatomma_bellii	1	2	1
ambl_Stigmatomma_s3	Stigmatomma_zwaluwenburgi	1	2	4
ambl_Stigmatomma_s4	Apomyrma_stygia	1	1	4
ambl_Amblyopone_s0	Amblyopone_australis	1	1	1
atti_Acromyrmex_s2	Acromyrmex_heyeri	1	2	7
atti_Acromyrmex_s3	Acanthognathus_ocellatus	9	1	7
atti_Sericomyrmex_s1	Sericomyrmex_amabilis	1	2	1
atti_Myrmicocrypta_s1	Myrmicocrypta_buenzlii	1	1	1
atti_Basiceros_s0	Tranopelta_gilva	5	1	1
atti_Strumigenys_s0	Phalacromyrmex_fugax	2	1	1
atti_Pheidole_s1	Pheidole_dispar	1	1	1
atti_Cephalotes_s0	Procryptocerus_scabriusculus	1	1	1
atti2_Sericomyrmex_s0	Sericomyrmex_amabilis	1	2	1
atti2_Mycetomoellerius_s1	Mycetomoellerius_ruthae	1	2	1
atti2_Mycetagroicus_s0	Mycetagroicus_cerradensis	1	2	1
atti3_Pheidole_s1	Pheidole_dispar	1	2	1
atti3_Strumigenys_s0	Pilotrochus_besmerus	5	1	1
atti3_Basiceros_s0	Eurhopalothrix_gravis	2	1	1
atti3_Mycocepurus_s1	Blepharidatta_conops	9	1	1
atti3_Myrmicocrypta_s1	Myrmicocrypta_buenzlii	1	2	1
atti3_Sericomyrmex_s1	Sericomyrmex_amabilis	1	2	1
atti3_Acromyrmex_s1	Acromyrmex_heyeri	1	2	1
bakb_Mycetarotes_s0	Daceton_armigerum	8	1	1
bakb_Trachymyrmex_s0	Cyphomyrmex_minutus	1	1	1
bakb_Cephalotes_s0	Procryptocerus_pictipes	1	1	1
bakb_Strumigenys_s0	Pilotrochus_besmerus	1	1	1
bakb_Basiceros_s0	Eurhopalothrix_procera	2	1	1
bakb_Ochetomyrmex_s0	Lachnomyrmex_pilosus	5	1	1
bakb_Solenopsis_s0	Stegomyrmex_manni	4	1	1
bakb_Monomorium_s0	Myrmicaria_natalensis	2	1	1
