step	function_raw	new_label	pre_dropped	sister_input	shape1	shape2	min_frac	max_frac	include_terminal	include_stem	edge_index	edge_length	chosen_frac	position_from_child	attach_age	where_node	new_tip_length	tree_depth	edge_type	reference	doi
1	graft sister to clade	Poneracantha	TRUE	Gnamptogenys,Typhlomyrmex	1	1	0.1	0.9	NA	NA	306	0.1045284244	0.168155165202916	0.0175769944733825	0.881621005485618	506	0.390794995514382	1.272416001	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
2	graft sister to tip	Alfaria	TRUE	Poneracantha	1	1	0.1	0.9	NA	NA	308	0.3907949955	0.671088372170925	0.262257977382639	1.01015802360636	151	0.262257977393639	1.272416001	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
3	graft sister to tip	Holcoponera	TRUE	Alfaria	1	1	0.1	0.9	NA	NA	308	0.2622579774	0.386603584885597	0.101389874227686	1.17102612676131	151	0.101389874238686	1.272416001	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
4	graft sister to clade	Stictoponera	TRUE	Alfaria,Gnamptogenys	1	1	0.1	0.9	NA	NA	301	0.111624005469	0.310729348286986	0.0346848544725654	0.846936150996435	503	0.425479850003565	1.272416001	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
5	graft sister to clade	Bazboltonia	TRUE	Acanthoponera,Heteroponera	1	1	0.1	0.9	NA	NA	315	0.439067	0.374406167678535	0.164389392824111	0.736440607175889	509	0.535975393824111	1.272416001	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
6	graft sister to tip	Aulacopone	TRUE	Heteroponera	1	1	0.1	0.9	NA	NA	317	0.3715860006	0.533806579001248	0.198355051785042	1.07406094881496	156	0.198355052185042	1.272416001	NA	Taylor (1980)	NA
7	graft sister to tip	Uwari	TRUE	Opisthopsis	1	1	0.1	0.9	NA	NA	346	0.3296090006	0.15226220227778	0.050186992321934	1.22222900827807	168	0.0501869927219343	1.272416001	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
8	graft sister to tip	Overbeckia	TRUE	Calomyrmex	1	1	0.1	0.9	NA	NA	337	0.08939400057	0.530165741965175	0.0473936366394293	1.22502236393057	160	0.0473936370894295	1.27241600102	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
9	graft sister to clade	Lathidris	TRUE	Dinomyrmex,Calomyrmex	1	1	0.1	0.9	NA	NA	331	0.031839	0.117418857291341	0.00373849899729899	0.970907501002701	521	0.301508500017299	1.27241600102	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
10	graft sister to clade	Retalimyrma	TRUE	Camponotus,Calomyrmex	1	1	0.1	0.9	NA	NA	334	0.072594	0.520002334751189	0.0377490494889278	1.05584295050807	524	0.216573050511928	1.27241600102	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
11	graft sister to tip	Alloformica	TRUE	Proformica	1	1	0.1	0.9	NA	NA	378	0.1745910006	0.176774890162051	0.0308633049543475	1.24155269564565	185	0.0308633053743479	1.27241600102	NA	Agosti (1994)	NA
12	graft sister to clade	Metalasius	TRUE	Paraparatrechina,Paratrechina	1	1	0.1	0.9	NA	NA	409	0.106526	0.10888661686331	0.011599255747981	0.895242744252019	557	0.377173256767981	1.27241600102	NA	Boudinot et al (2022)	https://doi.org/10.1111/syen.12522
13	graft within clade random	Bregmatomyrma	TRUE	Anoplolepis,Lepisiota	1	1	0.1	0.9	TRUE	TRUE	369	0.4228900006	0.488630572520196	0.206636983106244	1.06577901749376	181	0.206636983556244	1.27241600105	terminal	Bolton (2003)	NA
14	graft sister to tip	Chronoxenus	TRUE	Bothriomyrmex	1	1	0.1	0.9	NA	NA	470	0.48924426106	0.175409495271742	0.0858180888971311	1.18659791167287	232	0.085818089427131	1.2724160011	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
15	graft sister to clade	Arnoldius	TRUE	Bothriomyrmex,Chronoxenus	1	1	0.1	0.9	NA	NA	469	0.44656661087	0.231196592003107	0.103244678535522	1.08335323317448	587	0.189062767965522	1.27241600114	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
16	graft sister to clade	Loweriella	TRUE	Arnoldius,Chronoxenus	1	1	0.1	0.9	NA	NA	469	0.3433219323	0.251155886985362	0.0862273244283348	0.997125908711665	587	0.275290092428335	1.27241600114	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
17	graft sister to tip	Ravavy	TRUE	Loweriella	1	1	0.1	0.9	NA	NA	474	0.2752900924	0.351864216476679	0.0968647326661185	1.17555126847388	235	0.0968647326961185	1.27241600117	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
