original_genus	temp_genus	old_label	new_label	cluster	protected
Acromyrmex	TACTTMPAcromyrmex01	Acromyrmex_octospinosus	TACTTMPAcromyrmex01_octospinosus	1	FALSE
Acromyrmex	TACTTMPAcromyrmex02	Acromyrmex_insinuator	TACTTMPAcromyrmex02_insinuator	2	FALSE
Acromyrmex	TACTTMPAcromyrmex03	Acromyrmex_lundii	TACTTMPAcromyrmex03_lundii	3	FALSE
Acromyrmex	TACTTMPAcromyrmex04	Acromyrmex_heyeri	TACTTMPAcromyrmex04_heyeri	4	FALSE
Acromyrmex	TACTTMPAcromyrmex05	Acromyrmex_ambiguus	TACTTMPAcromyrmex05_ambiguus	5	FALSE
Acromyrmex	TACTTMPAcromyrmex06	Acromyrmex_crassispinus	TACTTMPAcromyrmex06_crassispinus	6	FALSE
Acromyrmex	TACTTMPAcromyrmex07	Acromyrmex_coronatus	TACTTMPAcromyrmex07_coronatus	7	FALSE
Acromyrmex	TACTTMPAcromyrmex08	Acromyrmex_aspersus	TACTTMPAcromyrmex08_aspersus	8	FALSE
Acromyrmex	TACTTMPAcromyrmex09	Acromyrmex_landolti	TACTTMPAcromyrmex09_landolti	9	FALSE
Acromyrmex	TACTTMPAcromyrmex10	Acromyrmex_balzani	TACTTMPAcromyrmex10_balzani	10	FALSE
Acromyrmex	TACTTMPAcromyrmex11	Acromyrmex_versicolor	TACTTMPAcromyrmex11_versicolor	11	FALSE
Aphaenogaster	TACTTMPAphaenogaster01	Aphaenogaster_quadrispina	TACTTMPAphaenogaster01_quadrispina	1	FALSE
Aphaenogaster	TACTTMPAphaenogaster02	Aphaenogaster_loriai	TACTTMPAphaenogaster02_loriai	2	FALSE
Aphaenogaster	TACTTMPAphaenogaster03	Aphaenogaster_gonacantha	TACTTMPAphaenogaster03_gonacantha	3	FALSE
Aphaenogaster	TACTTMPAphaenogaster04	Aphaenogaster_longiceps	TACTTMPAphaenogaster04_longiceps	4	FALSE
Aphaenogaster	TACTTMPAphaenogaster05	Aphaenogaster_swammerdami	TACTTMPAphaenogaster05_swammerdami	5	FALSE
Aphaenogaster	TACTTMPAphaenogaster06	Aphaenogaster_pythia	TACTTMPAphaenogaster06_pythia	6	FALSE
Aphaenogaster	TACTTMPAphaenogaster07	Aphaenogaster_feae	TACTTMPAphaenogaster07_feae	7	FALSE
Aphaenogaster	TACTTMPAphaenogaster08	Aphaenogaster_sahafina	TACTTMPAphaenogaster08_sahafina	8	FALSE
Aphaenogaster	TACTTMPAphaenogaster09	Aphaenogaster_bressleri	TACTTMPAphaenogaster09_bressleri	9	FALSE
Aphaenogaster	TACTTMPAphaenogaster10	Aphaenogaster_makay	TACTTMPAphaenogaster10_makay	10	FALSE
Aphaenogaster	TACTTMPAphaenogaster11	Aphaenogaster_phalangium	TACTTMPAphaenogaster11_phalangium	11	FALSE
Aphaenogaster	TACTTMPAphaenogaster12	Aphaenogaster_araneoides	TACTTMPAphaenogaster12_araneoides	12	FALSE
Aphaenogaster	TACTTMPAphaenogaster13	Aphaenogaster_honduriana	TACTTMPAphaenogaster13_honduriana	13	FALSE
Aphaenogaster	TACTTMPAphaenogaster14	Aphaenogaster_senilis	TACTTMPAphaenogaster14_senilis	14	FALSE
Aphaenogaster	TACTTMPAphaenogaster15	Aphaenogaster_balcanica	TACTTMPAphaenogaster15_balcanica	15	FALSE
Aphaenogaster	TACTTMPAphaenogaster16	Aphaenogaster_subterranea	TACTTMPAphaenogaster16_subterranea	16	FALSE
Aphaenogaster	TACTTMPAphaenogaster17	Aphaenogaster_pallida	TACTTMPAphaenogaster17_pallida	17	FALSE
Aphaenogaster	TACTTMPAphaenogaster18	Aphaenogaster_umphreyi	TACTTMPAphaenogaster18_umphreyi	18	FALSE
Aphaenogaster	TACTTMPAphaenogaster19	Aphaenogaster_fulva	TACTTMPAphaenogaster19_fulva	19	FALSE
Aphaenogaster	TACTTMPAphaenogaster20	Aphaenogaster_famelica	TACTTMPAphaenogaster20_famelica	20	FALSE
Aphaenogaster	TACTTMPAphaenogaster21	Aphaenogaster_tennesseensis	TACTTMPAphaenogaster21_tennesseensis	21	FALSE
Aphaenogaster	TACTTMPAphaenogaster22	Aphaenogaster_mariae	TACTTMPAphaenogaster22_mariae	22	FALSE
Aphaenogaster	TACTTMPAphaenogaster23	Aphaenogaster_mutica	TACTTMPAphaenogaster23_mutica	23	FALSE
Aphaenogaster	TACTTMPAphaenogaster24	Aphaenogaster_megommata	TACTTMPAphaenogaster24_megommata	24	FALSE
Aphaenogaster	TACTTMPAphaenogaster25	Aphaenogaster_uinta	TACTTMPAphaenogaster25_uinta	25	FALSE
Aphaenogaster	TACTTMPAphaenogaster26	Aphaenogaster_boulderensis	TACTTMPAphaenogaster26_boulderensis	26	FALSE
Aphaenogaster	TACTTMPAphaenogaster27	Aphaenogaster_patruelis	TACTTMPAphaenogaster27_patruelis	27	FALSE
Aphaenogaster	TACTTMPAphaenogaster28	Aphaenogaster_occidentalis	TACTTMPAphaenogaster28_occidentalis	28	FALSE
Aphaenogaster	TACTTMPAphaenogaster29	Aphaenogaster_texana	TACTTMPAphaenogaster29_texana	29	FALSE
Aphaenogaster	TACTTMPAphaenogaster30	Aphaenogaster_lamellidens	TACTTMPAphaenogaster30_lamellidens	30	FALSE
Aphaenogaster	TACTTMPAphaenogaster31	Aphaenogaster_rudis	TACTTMPAphaenogaster31_rudis	31	FALSE
Aphaenogaster	TACTTMPAphaenogaster32	Aphaenogaster_carolinensis	TACTTMPAphaenogaster32_carolinensis	32	FALSE
Aphaenogaster	TACTTMPAphaenogaster33	Aphaenogaster_miamiana	TACTTMPAphaenogaster33_miamiana	33	FALSE
Aphaenogaster	TACTTMPAphaenogaster34	Aphaenogaster_treatae	TACTTMPAphaenogaster34_treatae	34	FALSE
Aphaenogaster	TACTTMPAphaenogaster35	Aphaenogaster_ashmeadi	TACTTMPAphaenogaster35_ashmeadi	35	FALSE
Aphaenogaster	TACTTMPAphaenogaster36	Aphaenogaster_picea	TACTTMPAphaenogaster36_picea	36	FALSE
Aphaenogaster	TACTTMPAphaenogaster37	Aphaenogaster_flemingi	TACTTMPAphaenogaster37_flemingi	37	FALSE
Aphaenogaster	TACTTMPAphaenogaster38	Aphaenogaster_floridana	TACTTMPAphaenogaster38_floridana	38	FALSE
Aphaenogaster	TACTTMPAphaenogaster39	Aphaenogaster_huachucana	TACTTMPAphaenogaster39_huachucana	39	FALSE
Aphaenogaster	TACTTMPAphaenogaster40	Aphaenogaster_mauritanica	TACTTMPAphaenogaster40_mauritanica	40	FALSE
Aphaenogaster	TACTTMPAphaenogaster41	Aphaenogaster_gibbosa	TACTTMPAphaenogaster41_gibbosa	41	FALSE
Aphaenogaster	TACTTMPAphaenogaster42	Aphaenogaster_striativentris	TACTTMPAphaenogaster42_striativentris	42	FALSE
Aphaenogaster	TACTTMPAphaenogaster43	Aphaenogaster_sardoa	TACTTMPAphaenogaster43_sardoa	43	FALSE
Aphaenogaster	TACTTMPAphaenogaster44	Aphaenogaster_iberica	TACTTMPAphaenogaster44_iberica	44	FALSE
Aphaenogaster	TACTTMPAphaenogaster45	Aphaenogaster_japonica	TACTTMPAphaenogaster45_japonica	45	FALSE
Cataglyphis	TACTTMPCataglyphis01	Cataglyphis_italica	TACTTMPCataglyphis01_italica	1	FALSE
Cataglyphis	TACTTMPCataglyphis02	Cataglyphis_hellenica	TACTTMPCataglyphis02_hellenica	2	FALSE
Cataglyphis	TACTTMPCataglyphis03	Cataglyphis_cursor	TACTTMPCataglyphis03_cursor	3	FALSE
Cataglyphis	TACTTMPCataglyphis04	Cataglyphis_piliscapa	TACTTMPCataglyphis04_piliscapa	4	FALSE
Cataglyphis	TACTTMPCataglyphis05	Cataglyphis_cretica	TACTTMPCataglyphis05_cretica	5	FALSE
Cataglyphis	TACTTMPCataglyphis06	Cataglyphis_aenescens	TACTTMPCataglyphis06_aenescens	6	FALSE
Cataglyphis	TACTTMPCataglyphis07	Cataglyphis_velox	TACTTMPCataglyphis07_velox	7	FALSE
Cataglyphis	TACTTMPCataglyphis08	Cataglyphis_humeya	TACTTMPCataglyphis08_humeya	8	FALSE
Cataglyphis	TACTTMPCataglyphis09	Cataglyphis_hispanica	TACTTMPCataglyphis09_hispanica	9	FALSE
Cataglyphis	TACTTMPCataglyphis10	Cataglyphis_pilisquamis	TACTTMPCataglyphis10_pilisquamis	10	FALSE
Cataglyphis	TACTTMPCataglyphis11	Cataglyphis_mauritanica	TACTTMPCataglyphis11_mauritanica	11	FALSE
Cataglyphis	TACTTMPCataglyphis12	Cataglyphis_gaetula	TACTTMPCataglyphis12_gaetula	12	FALSE
Cataglyphis	TACTTMPCataglyphis13	Cataglyphis_altisquamis	TACTTMPCataglyphis13_altisquamis	13	FALSE
