taxon,birth,death,ccp,source
__TAXONOMIC_ROOT__,0.44638922694031546,0.3651456680463725,0.9996586659499218,computed
Formicidae,0.44638922694031546,0.3651456680463725,0.9996586659499218,computed
Acanthognathus,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Acanthomyrmex,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Acanthoponera,0.06413378005559904,0.0,0.8333333333333334,computed
Acanthostichus,0.44638922694031546,0.3651456680463725,0.7272727272727273,from Formicidae (crown capture probability)
Acropyga,0.18867491937697742,0.0,0.8864468864468864,computed
Adelomyrmex,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Adetomyrma,0.038727868266157595,0.0,0.9722222222222222,computed
Adlerzia,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Aenictogiton,0.44638922694031546,0.3651456680463725,0.41666666666666663,from Formicidae (crown capture probability)
Aenictus,1.4948450083586384,1.3440799561763388,0.913588850174216,computed
Agraulomyrmex,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Alfaria,0.44638922694031546,0.3651456680463725,0.625,from Formicidae (crown capture probability)
Alloformica,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Allomerus,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Amblyopone,0.44638922694031546,0.3651456680463725,0.40740740740740744,from Formicidae (crown capture probability)
Amoimyrmex,0.44638922694031546,0.3651456680463725,0.6666666666666667,from Formicidae (crown capture probability)
Ancyridris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Aneuretus,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Anillidris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Anillomyrma,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Ankylomyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Anochetus,0.19794305823757133,0.0,0.9800065552277941,computed
Anonychomyrma,0.44638922694031546,0.3651456680463725,0.5384615384615384,from Formicidae (crown capture probability)
Anoplolepis,0.44638922694031546,0.3651456680463725,0.6111111111111112,from Formicidae (crown capture probability)
Aphomomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Apomyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Apterostigma,0.20219448844773463,0.1131806339718947,0.8855098389982111,computed
Aptinoma,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Aretidris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Arnoldius,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Asphinctopone,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Atopomyrmex,0.44638922694031546,0.3651456680463725,0.6666666666666667,from Formicidae (crown capture probability)
Atta,0.4058318585702845,0.0,0.962962962962963,computed
Aulacopone,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Austromorium,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Austroponera,0.030741570827744723,0.0,0.8333333333333334,computed
Axinidris,0.44638922694031546,0.3651456680463725,0.3666666666666667,from Formicidae (crown capture probability)
Azteca,0.44638922694031546,0.3651456680463725,0.7680722891566265,from Formicidae (crown capture probability)
Bajcaridris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Baracidris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Bariamyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Basiceros,0.03919854292078864,0.0,0.9375,computed
