Family,genus,species
Formicidae,Acanthognathus,Acanthognathus brevicornis
Formicidae,Acanthognathus,Acanthognathus laevigatus
Formicidae,Acanthognathus,Acanthognathus lentus
Formicidae,Acanthognathus,Acanthognathus ocellatus
Formicidae,Acanthognathus,Acanthognathus rudis
Formicidae,Acanthognathus,Acanthognathus stipulosus
Formicidae,Acanthognathus,Acanthognathus teledectus
Formicidae,Acanthomyrmex,Acanthomyrmex basispinosus
Formicidae,Acanthomyrmex,Acanthomyrmex careoscrobis
Formicidae,Acanthomyrmex,Acanthomyrmex concavus
Formicidae,Acanthomyrmex,Acanthomyrmex crassispinus
Formicidae,Acanthomyrmex,Acanthomyrmex dusun
Formicidae,Acanthomyrmex,Acanthomyrmex ferox
Formicidae,Acanthomyrmex,Acanthomyrmex foveolatus
Formicidae,Acanthomyrmex,Acanthomyrmex glabfemoralis
Formicidae,Acanthomyrmex,Acanthomyrmex humilis
Formicidae,Acanthomyrmex,Acanthomyrmex laevis
Formicidae,Acanthomyrmex,Acanthomyrmex luciolae
Formicidae,Acanthomyrmex,Acanthomyrmex malikuli
Formicidae,Acanthomyrmex,Acanthomyrmex mindanao
Formicidae,Acanthomyrmex,Acanthomyrmex minus
Formicidae,Acanthomyrmex,Acanthomyrmex mizunoi
Formicidae,Acanthomyrmex,Acanthomyrmex notabilis
Formicidae,Acanthomyrmex,Acanthomyrmex padanensis
Formicidae,Acanthomyrmex,Acanthomyrmex sulawesiensis
Formicidae,Acanthomyrmex,Acanthomyrmex thailandensis
Formicidae,Acanthoponera,Acanthoponera goeldii
Formicidae,Acanthoponera,Acanthoponera minor
Formicidae,Acanthoponera,Acanthoponera mucronata
Formicidae,Acanthoponera,Acanthoponera peruviana
Formicidae,Acanthostichus,Acanthostichus arizonensis
Formicidae,Acanthostichus,Acanthostichus bentoni
Formicidae,Acanthostichus,Acanthostichus brevicornis
Formicidae,Acanthostichus,Acanthostichus brevinodis
Formicidae,Acanthostichus,Acanthostichus concavinodis
Formicidae,Acanthostichus,Acanthostichus davisi
Formicidae,Acanthostichus,Acanthostichus emmae
Formicidae,Acanthostichus,Acanthostichus femoralis
Formicidae,Acanthostichus,Acanthostichus flexuosus
