Subfamily	MRCA	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Input_tree_type	Stem_mode	Phylogeny_file_path	Notes	Original_Tree
Ectatomminae	Bazboltonia,Gnamptogenys	NA	Camacho et al 2022	UCEs	phylogram	crown	project/published/ectatomminae/extract_mrca_Bazboltonia_microps_GPC15-Gnamptogenys_boliviensis_GAB98_with_outgroup.tre		/home/marek/ant-megatree/working_code/package/project/published/ectatomminae/extract_mrca_Bazboltonia_microps_GPC15-Gnamptogenys_boliviensis_GAB98_with_outgroup.tre
Ponerinae	Platythyrea,Leptogenys	NA	Fisher et al 2025	UCEs	phylogram	crown	project/published/ponerinae/extract_mrca_Anochetus_afr01_EX2929_CASENT0845774-Platythyrea_arnoldi_D2118_CASENT0842276_20260311-154558_with_outgroup.tre		
Myrmicinae	Rostromyrmex,Leptothorax	NA	Blaimer et al 2018	UCEs	chronogram	crown	project/published/crematogastrini/blaimer2022/extract_mrca_Rostromyrmex_pasohensis-Atopomyrmex_cryptoceroides_20260404-132251_with_outgroup.tre		
Formicinae	Acropyga	NA	Blaimer et al 2016	UCEs	chronogram	outgroup	project/published/acropyga/blaimer2016/extract_mrca_Acropyga_donisthorpei_ACR86-Acropyga_arnoldi_ACR22_20260404-165022_with_outgroup.tre		
Formicinae	Calomyrmex	NA	Ward et al 2025	UCEs	chronogram	outgroup	project/published/camponotini/ward2025/extracted_genera/Calomyrmex/extract_Calomyrmex_20260410-123025_with_outgroup.tre	split into genera	
Formicinae	Colobopsis	NA	Ward et al 2025	UCEs	chronogram	outgroup	project/published/camponotini/ward2025/extracted_genera/Colobopsis/extract_Colobopsis_20260410-123025_with_outgroup.tre		
Formicinae	Camponotus	NA	Ward et al 2025	UCEs	chronogram	outgroup	project/published/camponotini/ward2025/extracted_genera/Camponotus/extract_Camponotus_20260410-123025_with_outgroup.tre		
Formicinae	Echinopla	NA	Ward et al 2025	UCEs	chronogram	outgroup	project/published/camponotini/ward2025/extracted_genera/Echinopla/extract_Echinopla_20260410-123025_with_outgroup.tre		
Formicinae	Overbeckia	NA	Ward et al 2025	UCEs	chronogram	outgroup	project/published/camponotini/ward2025/extracted_genera/Overbeckia/extract_Overbeckia_20260410-123025_with_outgroup.tre		
Formicinae	Opisthopsis	NA	Ward et al 2025	UCEs	chronogram	outgroup	project/published/camponotini/ward2025/extracted_genera/Opisthopsis/extract_Opisthopsis_20260410-123025_with_outgroup.tre		
Formicinae	Lathidris	NA	Ward et al 2025	UCEs	chronogram	outgroup	project/published/camponotini/ward2025/extracted_genera/Lathidris/extract_Lathidris_20260410-123026_with_outgroup.tre		
Myrmicinae	Cephalotes	NA	Price et al 2022	UCEs	phylogram	outgroup	project/published/cephalotes/price2022/Cephalotes_with_outgroup.tre	chronogram available but without outgroup	
