Subfamily	Genus	Species_subspecies_no	Species_no	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Phylogeny_file_path	Notes
Myrmicinae	Acanthognathus	7	7					
Myrmicinae	Acanthomyrmex	19	19					
Ectatomminae	Acanthoponera	4	4					
Dorylinae	Acanthostichus	23	23					
Myrmicinae	Acromyrmex	51	33					
Formicinae	Acropyga	42	42		Blaimer et al 2016	UCEs	genus_studies/acropyga/blaimer2016/Acropyga_with_outgroup.tre	Available
Myrmicinae	Adelomyrmex	31	31					
Amblyoponinae	Adetomyrma	9	9					
Myrmicinae	Adlerzia	1	1					
Dorylinae	Aenictogiton	7	7					
Dorylinae	Aenictus	229	204		Borowiec 2019	UCEs	genus_studies/aenictus/borowiec2019/Aenictus_with_outgroup.tre	Available
Formicinae	Agraulomyrmex	3	3					
Ectatomminae	Alfaria	9	9					
Formicinae	Alloformica	4	4					
Myrmicinae	Allomerus	8	8					
Amblyoponinae	Amblyopone	10	10					
Myrmicinae	Amoimyrmex	3	3					
Myrmicinae	Ancyridris	2	2					
Aneuretinae	Aneuretus	1	1					
Dolichoderinae	Anillidris	1	1					
Myrmicinae	Anillomyrma	2	2					
Agroecomyrmecinae	Ankylomyrma	1	1					
Ponerinae	Anochetus	115	115		Dore et al 2025	UCEs	genus_studies/anochetus/dore2025/Anochetus_with_outgroup.tre	Available
Dolichoderinae	Anonychomyrma	32	27					
Formicinae	Anoplolepis	15	10					
Myrmicinae	Aphaenogaster	219	207		Branstetter et al 2022	UCEs		Available
Formicinae	Aphomomyrmex	1	1					
Apomyrminae	Apomyrma	1	1					
Myrmicinae	Apterostigma	44	44					
Dolichoderinae	Aptinoma	2	2					
Myrmicinae	Aretidris	2	2					
Dolichoderinae	Arnoldius	4	3					
Ponerinae	Asphinctopone	3	3					
Myrmicinae	Atopomyrmex	3	3					
Myrmicinae	Atta	20	19		Barrera et al 2022			
Ectatomminae	Aulacopone	1	1					
Myrmicinae	Austromorium	2	2					
Ponerinae	Austroponera	3	3					
Dolichoderinae	Axinidris	21	21					
Dolichoderinae	Azteca	113	84					
Formicinae	Bajcaridris	3	3					
Myrmicinae	Baracidris	3	3					
Myrmicinae	Bariamyrma	1	1					
Myrmicinae	Basiceros	9	9					
Ectatomminae	Bazboltonia	1	1					
Ponerinae	Belonopelta	2	2					
Myrmicinae	Blepharidatta	4	4					
Ponerinae	Boloponera	2	2					
Ponerinae	Boltonopone	1	1					
Myrmicinae	Bondroitia	2	2					
Dolichoderinae	Bothriomyrmex	28	24					
Ponerinae	Bothroponera	46	43		Dore et al 2025			
Formicinae	Brachymyrmex	41	40					
Ponerinae	Brachyponera	28	23		Dore et al 2025			
Formicinae	Bregmatomyrma	1	1					
Ponerinae	Buniapone	2	1					
Formicinae	Calomyrmex	14	9					
Myrmicinae	Calyptomyrmex	38	38					
Formicinae	Camponotus	1507	1103		Ward et al 2025	UCEs	genus_studies/camponotus/ward2025/Camponotus_with_outgroup.tre	Available
Myrmicinae	Cardiocondyla	90	88		Oettler et al 2010			
Myrmicinae	Carebara	252	230					
Formicinae	Cataglyphis	125	107		Pletincx 2024			
Myrmicinae	Cataulacus	65	65					
Ponerinae	Centromyrmex	17	15					
Myrmicinae	Cephalotes	123	123		Price et al 2022	UCEs	genus_studies/cephalotes/price2022/Cephalotes_with_outgroup.tre	Available
Dorylinae	Cerapachys	6	6					
Myrmicinae	Chelaner	53	52					
Dorylinae	Cheliomyrmex	4	4					
Myrmicinae	Chimaeridris	2	2					
Dolichoderinae	Chronoxenus	9	6					
Dorylinae	Chrysapace	4	4					
Formicinae	Cladomyrma	13	13					
Formicinae	Colobopsis	119	97		Ward et al 2025	UCEs	genus_studies/camponotus/ward2025/Colobopsis_with_outgroup.tre	Available
Myrmicinae	Colobostruma	16	16					
uncertain	Condylodon	1	1					
Ponerinae	Corrieopone	1	1					
Myrmicinae	Crematogaster	788	528		Blaimer 2012	Multilocus	genus_studies/crematogaster/blaimer2012/Crematogaster_with_outgroup.tre	Not available, received by email
Myrmicinae	Cryptomyrmex	2	2					
Ponerinae	Cryptopone	24	23					
Myrmicinae	Cyatta	1	1					
Dorylinae	Cylindromyrmex	10	10					
Myrmicinae	Cyphoidris	4	4					
Myrmicinae	Cyphomyrmex	23	23					
Myrmicinae	Dacatria	1	1					
Myrmicinae	Dacetinops	7	7					
Myrmicinae	Daceton	2	2					
Ponerinae	Diacamma	67	44		Dore et al 2025	UCEs	genus_studies/diacamma/dore2025/Diacamma_with_outgroup.tre	Available
Myrmicinae	Diaphoromyrma	1	1					
Myrmicinae	Dicroaspis	2	2					
Myrmicinae	Dilobocondyla	22	21					
Formicinae	Dinomyrmex	2	1					
Ponerinae	Dinoponera	8	8					
Myrmicinae	Diplomorium	1	1					
Proceratiinae	Discothyrea	49	49					
Dolichoderinae	Doleromyrma	4	2					
Dolichoderinae	Dolichoderus	150	131					
Ponerinae	Dolioponera	1	1					
Myrmicinae	Dolopomyrmex	1	1					
