Country	UdvardyRealm
Afghanistan	Palearctic
Albania	Palearctic
Algeria	Palearctic
Algeria(?)	Palearctic
Andorra	Palearctic
Angola	Afrotropical
Antigua and Barbuda	Neotropical
Antilles	Neotropical
Antilles Is	Neotropical
Argentina	Neotropical
Armenia	Palearctic
Armenia, Azerbaijan	Palearctic
Australia	Australasian
Austria	Palearctic
Azerbaijan	Palearctic
Bahamas	Neotropical
Bahrain	Palearctic
Bangladesh	Indomalayan
Barbados	Neotropical
Belarus	Palearctic
Belgium	Palearctic
Belize	Neotropical
Benin	Afrotropical
Bhutan	Indomalayan
Bolivia	Neotropical
Borneo	Australasian
Bosnia and Herzegovina	Palearctic
Botswana	Afrotropical
Brasil	Neotropical
Brazil	Neotropical
British Virgin Islands	Neotropical
Brunei Darussalam	Indomalayan
Bulgaria	Palearctic
Burkina Faso	Afrotropical
Burundi	Afrotropical
Cambodia	Indomalayan
Cameroon	Afrotropical
Cameroun	Afrotropical
Canada	Nearctic
Canary Islands	Palearctic
Cape Verde	Afrotropical
Caucasus	Palearctic
Central African Republic	Afrotropical
Chad	Afrotropical
Chile	Neotropical
China	Palearctic
Chine	Palearctic
Christmas Island	Indomalayan
Cocos (Keeling) Islands	Indomalayan
Colombia	Neotropical
Colomblia	Neotropical
Comoros	Afrotropical
Congo	Afrotropical
Cook Islands	Oceanian
Costa Rica	Neotropical
Croatia	Palearctic
Cuba	Neotropical
Cyprus	Palearctic
Czechia	Palearctic
Czechia, Slovakia, Ukraine, Bulgaria	Palearctic
Czechoslovakia	Palearctic
Democratic Peoples Republic of Korea	Palearctic
Democratic Republic of Congo	Afrotropical
Denmark	Palearctic
Djibouti	Afrotropical
Dominica	Neotropical
Dominican Republic	Neotropical
Ecuador	Neotropical
Egypt	Palearctic
Egypt?	Palearctic
El Salvador	Neotropical
Equatorial Guinea	Afrotropical
Eritrea	Afrotropical
Estonia	Palearctic
Eswatini	Afrotropical
Ethiopia	Afrotropical
Fiji	Oceanian
Finland	Palearctic
Former USSR	Palearctic
France	Palearctic
French Guiana	Neotropical
French Polynesia	Oceanian
Gabon	Afrotropical
Galapagos Islands	Neotropical
Gambia	Afrotropical
Georgia	Palearctic
Germany	Palearctic
Ghana	Afrotropical
Gibraltar	Palearctic
Greece	Palearctic
Grenada	Neotropical
Guadeloupe	Neotropical
Guadelupe Island	Neotropical
Guam	Oceanian
Guatemala	Neotropical
Guinea	Afrotropical
Guyana	Neotropical
Haiti	Neotropical
Hawaii	Nearctic
Honduras	Neotropical
Hungary	Palearctic
Iceland	Palearctic
India	Indomalayan
India (locality in error)	Indomalayan
India?	Indomalayan
Indonesia	Indomalayan
Indonesia (Tanimbar Is)	Indomalayan
Indonesia (Verlaten Island)	Indomalayan
Iran	Palearctic
Iraq	Palearctic
Ireland	Palearctic
Israel	Palearctic
Israel?	Palearctic
Italy	Palearctic
Ivory Coast	Afrotropical
Jamaica	Neotropical
Japan	Palearctic
Jordan	Palearctic
Kashmir	Palearctic
Kazakhstan	Palearctic
Kenya	Afrotropical
Kerguelen Islands	Antarctic
Kiribati	Oceanian
Kuwait	Palearctic
Kyrgyzstan	Palearctic
Laos	Indomalayan
Latvia	Palearctic
Lebanon	Palearctic
Lesotho	Afrotropical
Lesser Antilles	Neotropical
Liberia	Afrotropical
Libya	Palearctic
Liechtenstein	Palearctic
Lithuania	Palearctic
Luxembourg	Palearctic
Madagascar	Malagasy
Madagascar (Johanna Island) This locality is in error	Malagasy
Malawi	Afrotropical
Malaysia	Indomalayan
Maldives	Indomalayan
Mali	Afrotropical
Malta	Palearctic
Marshall Islands	Oceanian
Mauritania	Afrotropical
Mauritius	Malagasy
Mayotte	Malagasy
Mexico	Neotropical
Micronesia	Oceanian
Micronesia (Federated States of)	Oceanian
Monaco	Palearctic
Mongolia	Palearctic
Montenegro	Palearctic
Morocco	Palearctic
Morocco (probably, exact country uncertain)	Palearctic
Mozambique	Afrotropical
Myanmar	Indomalayan
Namibia	Afrotropical
Nauru	Oceanian
Nepal	Palearctic
Netherlands	Palearctic
Netherlands Antilles	Neotropical
New Caledonia	Australasian
New Guinea	Australasian
New Zealand	Australasian
Nicaragua	Neotropical
Nicobar Island	Indomalayan
