Subfamily	GraftedTip	Function	Sister	shape1	shape2	min_frac	max_frac	include_terminal	include_stem	Reference	DOI
Ectatomminae	Poneracantha	graft sister to clade	Gnamptogenys,Typhlomyrmex	1	1	0.1	0.9	NA	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
Ectatomminae	Alfaria	graft sister to tip	Poneracantha	1	1	0.1	0.9	NA	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
Ectatomminae	Holcoponera	graft sister to tip	Alfaria	1	1	0.1	0.9	NA	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
Ectatomminae	Stictoponera	graft sister to clade	Alfaria,Gnamptogenys	1	1	0.1	0.9	NA	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
Ectatomminae	Bazboltonia	graft sister to clade	Acanthoponera,Heteroponera	1	1	0.1	0.9	NA	NA	Camacho et al (2022)	https://doi.org/10.1093/isd/ixab026
Ectatomminae	Aulacopone	graft sister to tip	Heteroponera	1	1	0.1	0.9	NA	NA	Taylor (1980)	NA
Formicinae	Uwari	graft sister to tip	Opisthopsis	1	1	0.1	0.9	NA	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
Formicinae	Overbeckia	graft sister to tip	Calomyrmex	1	1	0.1	0.9	NA	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
Formicinae	Lathidris	graft sister to clade	Dinomyrmex,Calomyrmex	1	1	0.1	0.9	NA	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
Formicinae	Retalimyrma	graft sister to clade	Camponotus,Calomyrmex	1	1	0.1	0.9	NA	NA	Ward et al (2025)	https://doi.org/10.1111/syen.12678
Formicinae	Alloformica	graft sister to tip	Proformica	1	1	0.1	0.9	NA	NA	Agosti (1994)	NA
Formicinae	Metalasius	graft sister to clade	Paraparatrechina,Paratrechina	1	1	0.1	0.9	NA	NA	Boudinot et al (2022)	https://doi.org/10.1111/syen.12522
Formicinae	Bregmatomyrma	graft within clade random	Anoplolepis,Lepisiota	1	1	0.1	0.9	TRUE	TRUE	Bolton (2003)	NA
Dolichoderinae	Chronoxenus	graft sister to tip	Bothriomyrmex	1	1	0.1	0.9	NA	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Dolichoderinae	Arnoldius	graft sister to clade	Bothriomyrmex,Chronoxenus	1	1	0.1	0.9	NA	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Dolichoderinae	Loweriella	graft sister to clade	Arnoldius,Chronoxenus	1	1	0.1	0.9	NA	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Dolichoderinae	Ravavy	graft sister to tip	Loweriella	1	1	0.1	0.9	NA	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Dolichoderinae	Aptinoma	graft sister to tip	Tapinoma	1	1	0.1	0.9	NA	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Dolichoderinae	Nebothriomyrmex	graft sister to tip	Anonychomyrma	1	1	0.1	0.9	NA	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Dolichoderinae	Doleromyrma	graft sister to clade	Anonychomyrma,Nebothriomyrmex	1	1	0.1	0.9	NA	NA	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Dolichoderinae	Ecphorella	graft within clade random	Tapinoma,Technomyrmex	1	1	0.1	0.9	TRUE	TRUE	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Dolichoderinae	Anillidris	graft within clade random	Leptomyrmex,Froggattella	1	1	0.1	0.9	TRUE	TRUE	Ward et al (2010)	https://doi.org/10.1093/sysbio/syq012
Agroecomyrmecinae	Ankylomyrma	graft sister to tip	Tatuidris	1	1	0.4	0.6	NA	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
Ponerine	Belonopelta	graft sister to tip	Thaumatomyrmex	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Wadeura	graft sister to tip	Parvaponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Sritoponera	graft sister to clade	Parvaponera,Wadeura	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Austroponera	graft sister to clade	Pseudoponera,Sritoponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Emeryopone	graft sister to clade	Cryptopone,Wadeura	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Ponera	graft sister to clade	Emeryopone,Wadeura	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Boloponera	graft sister to tip	Plectroctena	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Loboponera	graft sister to clade	Boloponera,Plectroctena	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	NewGenus	graft sister to clade	Odontomachus,Leptogenys	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Ophthalmopone	graft sister to tip	Megaponera	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Buniapone	graft sister to tip	Paltothyreus	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Promyopias	graft sister to tip	Buniapone	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Asphinctopone	graft sister to clade	Buniapone,Paltothyreus	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Corrieopone	graft sister to tip	Asphinctopone	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
Ponerine	Subiridopone	graft sister to clade	Asphinctopone,Corrieopone	1	1	0.1	0.9	NA	NA	Fisher et al (2025)	NA
